Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.2e-05,17.304867,[373  87] ; [78 45],[355.8490566 104.1509434] ; [95.1509434 27.8490566],1
a7,1,0.264465,1.245231,[341 119] ; [85 38],[336.12349914 123.87650086] ; [89.87650086 33.12349914],0
r1,1,0.270542,1.213999,[385  74] ; [98 25],[380.92268041  78.07731959] ; [102.07731959  20.92268041],0
d3,1,0.291454,1.112892,[321 138] ; [92 31],[325.71649485 133.28350515] ; [87.28350515 35.71649485],0
r4,1,0.297833,1.083871,[433  29] ; [112  11],[430.41025641  31.58974359] ; [114.58974359   8.41025641],0
p1,1,0.340697,0.907808,[ 36 421] ; [ 13 110],[ 38.60862069 418.39137931] ; [ 10.39137931 112.60862069],0
p6,1,0.406706,0.688411,[178 275] ; [53 69],[181.98782609 271.01217391] ; [49.01217391 72.98782609],0
d1,1,0.433098,0.614502,[275 187] ; [78 45],[278.77948718 183.22051282] ; [74.22051282 48.77948718],0
d4,1,0.482728,0.492693,[388  70] ; [101  22],[385.4767642  72.5232358] ; [103.5232358  19.4767642],0
p11,1,0.501093,0.452622,[366  96] ; [94 29],[363.28205128  98.71794872] ; [96.71794872 26.28205128],0
p7,1,0.532515,0.38959,[295 151] ; [83 37],[297.85865724 148.14134276] ; [80.14134276 39.85865724],0
a5,1,0.56325,0.334109,[349 112] ; [90 33],[346.53938356 114.46061644] ; [92.46061644 30.53938356],0
a6,1,0.57929,0.307383,[310 148] ; [80 43],[307.43545611 150.56454389] ; [82.56454389 40.43545611],0
a2,1,0.587693,0.293961,[120 342] ; [29 94],[117.67179487 344.32820513] ; [31.32820513 91.67179487],0
b4,1,0.587837,0.293735,[273 189] ; [76 47],[275.62051282 186.37948718] ; [73.37948718 49.62051282],0
p3,1,0.597303,0.279083,[242 218] ; [68 55],[244.59691252 215.40308748] ; [65.40308748 57.59691252],0
n2,1,0.667892,0.184078,[72 23] ; [27  7],[72.90697674 22.09302326] ; [26.09302326  7.90697674],0
b1,1,0.758894,0.094208,[176 286] ; [45 78],[174.53333333 287.46666667] ; [46.46666667 76.53333333],0
u1,1,0.763548,0.090496,[ 92 370] ; [26 97],[ 93.18974359 368.81025641] ; [24.81025641 98.18974359],0
r2,1,0.793879,0.068265,[434  21] ; [118   5],[434.53287197  20.46712803] ; [117.46712803   5.53287197],0
n3,1,0.802298,0.062687,[67 27] ; [25  9],[67.5625 26.4375] ; [24.4375  9.5625],0
a3,1,0.818133,0.052875,[328 132] ; [89 34],[329.02229846 130.97770154] ; [87.97770154 35.02229846],0
b5,1,0.818817,0.052472,[284 178] ; [77 46],[285.0974359 176.9025641] ; [75.9025641 47.0974359],0
a4,1,0.82996,0.046119,[204 255] ; [56 67],[205.05154639 253.94845361] ; [54.94845361 68.05154639],0
d2,1,0.842314,0.039575,[223 236] ; [61 62],[223.97938144 235.02061856] ; [60.02061856 62.97938144],0
v4,1,0.848552,0.036468,[443  17] ; [118   5],[442.64150943  17.35849057] ; [118.35849057   4.64150943],0
s1,1,0.85633,0.032778,[ 17 437] ; [  5 117],[ 17.34027778 436.65972222] ; [  4.65972222 117.34027778],0
p10,1,0.857749,0.032127,[380  73] ; [104  19],[380.64583333  72.35416667] ; [103.35416667  19.64583333],0
n6,1,0.867893,0.027668,[394  65] ; [104  18],[393.42857143  65.57142857] ; [104.57142857  17.42857143],0
u3,1,0.88432,0.021169,[83 48] ; [22 12],[83.36363636 47.63636364] ; [21.63636364 12.36363636],0
s8,1,0.889215,0.019404,[258 201] ; [70 53],[258.68041237 200.31958763] ; [69.31958763 53.68041237],0
p9,1,0.945011,0.004757,[398  57] ; [107  15],[398.22357019  56.77642981] ; [106.77642981  15.22357019],0
p8,1,0.970257,0.00139,[243 211] ; [64 56],[242.81881533 211.18118467] ; [64.18118467 55.81881533],0
d5,1,0.98333,0.000437,[381  78] ; [102  21],[380.92268041  78.07731959] ; [102.07731959  20.92268041],0
p4,1,0.995905,2.6e-05,[298 160] ; [80 43],[297.97590361 160.02409639] ; [80.02409639 42.97590361],0
