Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.4e-05,16.296196,[114  11] ; [34 17],[105.11363636  19.88636364] ; [42.88636364  8.11363636],1
a3,1,0.428621,0.626557,[94 30] ; [35 15],[91.93103448 32.06896552] ; [37.06896552 12.93103448],0
n3,1,0.457942,0.550919,[18  9] ; [19  6],[19.21153846  7.78846154] ; [17.78846154  7.21153846],0
n1,1,0.491731,0.472737,[10 16] ; [12 13],[11.21568627 14.78431373] ; [10.78431373 14.21568627],0
d2,1,0.494851,0.46596,[47 78] ; [22 29],[49.00568182 75.99431818] ; [19.99431818 31.00568182],0
s4,1,0.51934,0.415204,[ 17 106] ; [ 9 42],[ 18.37931034 104.62068966] ; [ 7.62068966 43.37931034],0
a5,1,0.552021,0.35371,[89 36] ; [34 17],[87.35795455 37.64204545] ; [35.64204545 15.35795455],0
r2,1,0.582768,0.30178,[118   5] ; [47  3],[117.31213873   5.68786127] ; [47.68786127  2.31213873],0
p3,1,0.614015,0.254369,[38 87] ; [13 36],[36.63793103 88.36206897] ; [14.36206897 34.63793103],0
a2,1,0.629067,0.233329,[ 23 102] ; [11 40],[ 24.14772727 100.85227273] ; [ 9.85227273 41.14772727],0
u1,1,0.639152,0.219853,[ 14 111] ; [ 7 44],[ 14.91477273 110.08522727] ; [ 6.08522727 44.91477273],0
p6,1,0.647182,0.209472,[23 96] ; [11 38],[24.08333333 94.91666667] ; [ 9.91666667 39.08333333],0
a7,1,0.655096,0.199535,[78 47] ; [33 17],[79.28571429 45.71428571] ; [31.71428571 18.28571429],0
n2,1,0.6789,0.171367,[21  5] ; [19  6],[20.39215686  5.60784314] ; [19.60784314  5.39215686],0
p1,1,0.697405,0.151186,[ 10 115] ; [ 5 46],[ 10.65340909 114.34659091] ; [ 4.34659091 46.65340909],0
d5,1,0.714566,0.133759,[94 31] ; [37 14],[93.03977273 31.96022727] ; [37.96022727 13.03977273],0
d3,1,0.807971,0.05907,[76 49] ; [30 21],[75.28409091 49.71590909] ; [30.71590909 20.28409091],0
s7,1,0.833218,0.044342,[53 69] ; [20 28],[52.38823529 69.61176471] ; [20.61176471 27.38823529],0
d4,1,0.858821,0.031639,[99 26] ; [41 10],[99.43181818 25.56818182] ; [40.56818182 10.43181818],0
s5,1,0.863691,0.029473,[38 84] ; [14 33],[37.53846154 84.46153846] ; [14.46153846 32.53846154],0
b5,1,0.892271,0.018342,[82 43] ; [34 17],[82.38636364 42.61363636] ; [33.61363636 17.38636364],0
b2,1,0.928733,0.007999,[38 40] ; [10 11],[37.81818182 40.18181818] ; [10.18181818 10.81818182],0
b3,1,0.928733,0.007999,[38 40] ; [10 11],[37.81818182 40.18181818] ; [10.18181818 10.81818182],0
d1,1,0.936645,0.006318,[58 67] ; [24 27],[58.23863636 66.76136364] ; [23.76136364 27.23863636],0
a8,1,0.962006,0.002269,[18 98] ; [ 7 39],[17.90123457 98.09876543] ; [ 7.09876543 38.90123457],0
s2,1,0.972647,0.001176,[58 66] ; [24 27],[58.10285714 65.89714286] ; [23.89714286 27.10285714],0
