Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,23.004608,[19 43] ; [33  9],[31. 31.] ; [21. 21.],1
n2,1,0.389529,0.740413,[14  6] ; [6 5],[12.90322581  7.09677419] ; [7.09677419 3.90322581],0
p1,1,0.442772,0.589088,[ 6 56] ; [ 6 35],[ 7.22330097 54.77669903] ; [ 4.77669903 36.22330097],0
r3,1,0.504983,0.444449,[55  7] ; [38  3],[55.98058252  6.01941748] ; [37.01941748  3.98058252],0
a6,1,0.52574,0.402619,[33 29] ; [25 17],[34.57692308 27.42307692] ; [23.42307692 18.57692308],0
b4,1,0.57885,0.308097,[32 30] ; [24 18],[33.38461538 28.61538462] ; [22.61538462 19.38461538],0
a8,1,0.624153,0.240073,[ 5 53] ; [ 4 30],[ 5.67391304 52.32608696] ; [ 3.32608696 30.67391304],0
v1,1,0.682332,0.167512,[28 33] ; [21 21],[29.01941748 31.98058252] ; [19.98058252 22.01941748],0
b1,1,0.682338,0.167506,[35 27] ; [22 20],[33.98076923 28.01923077] ; [23.01923077 18.98076923],0
a1,1,0.689383,0.159754,[ 2 60] ; [ 2 40],[ 2.38461538 59.61538462] ; [ 1.61538462 40.38461538],0
v3,1,0.798603,0.065104,[21 39] ; [15 25],[21.6 38.4] ; [14.4 25.6],0
s3,1,0.856461,0.032718,[38 24] ; [25 17],[37.55769231 24.44230769] ; [25.44230769 16.55769231],0
v4,1,0.923334,0.009261,[55  7] ; [37  5],[54.84615385  7.15384615] ; [37.15384615  4.84615385],0
s1,1,0.925411,0.008765,[ 4 56] ; [ 3 39],[ 4.11764706 55.88235294] ; [ 2.88235294 39.11764706],0
p12,1,0.985667,0.000323,[ 3 59] ; [ 2 40],[ 2.98076923 59.01923077] ; [ 2.01923077 39.98076923],0
