Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1.2e-05,19.237974,[44 24] ; [ 6 27],[33.66336634 34.33663366] ; [16.33663366 16.66336634],1
v2,1,0.326888,0.961188,[41 25] ; [16 15],[38.78350515 27.21649485] ; [18.21649485 12.78350515],0
b4,1,0.341236,0.905783,[42 28] ; [23 10],[44.17475728 25.82524272] ; [20.82524272 12.17475728],0
s1,1,0.348663,0.878317,[ 5 65] ; [ 4 27],[ 6.23762376 63.76237624] ; [ 2.76237624 28.23762376],0
r3,1,0.403784,0.697029,[65  5] ; [29  4],[63.88349515  6.11650485] ; [30.11650485  2.88349515],0
p8,1,0.428097,0.62798,[20 50] ; [ 7 26],[18.34951456 51.65048544] ; [ 8.65048544 24.34951456],0
s4,1,0.47461,0.511222,[18 50] ; [11 22],[19.52475248 48.47524752] ; [ 9.47524752 23.52475248],0
p1,1,0.508839,0.436453,[ 7 63] ; [ 2 31],[ 6.11650485 63.88349515] ; [ 2.88349515 30.11650485],0
p7,1,0.526439,0.401261,[24 44] ; [13 18],[25.41414141 42.58585859] ; [11.58585859 19.41414141],0
b5,1,0.588476,0.292731,[45 25] ; [23 10],[46.21359223 23.78640777] ; [21.78640777 11.21359223],0
p11,1,0.60718,0.264301,[43 27] ; [22 11],[44.17475728 25.82524272] ; [20.82524272 12.17475728],0
n4,1,0.619191,0.247006,[48 22] ; [21 12],[46.89320388 23.10679612] ; [22.10679612 10.89320388],0
a7,1,0.71799,0.130427,[45 25] ; [20 13],[44.17475728 25.82524272] ; [20.82524272 12.17475728],0
n5,1,0.72589,0.122919,[47 23] ; [21 12],[46.21359223 23.78640777] ; [21.78640777 11.21359223],0
u2,1,0.728532,0.120464,[8 7] ; [13  9],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
r4,1,0.744991,0.105788,[63  7] ; [29  4],[62.52427184  7.47572816] ; [29.47572816  3.52427184],0
u3,1,0.849647,0.035936,[10  5] ; [14  8],[9.72972973 5.27027027] ; [14.27027027  7.72972973],0
n1,1,0.854813,0.033482,[11 13] ; [3 3],[11.2 12.8] ; [2.8 3.2],0
p6,1,0.872102,0.025918,[23 47] ; [10 22],[22.64705882 47.35294118] ; [10.35294118 21.64705882],0
b1,1,0.885884,0.020596,[35 35] ; [17 16],[35.33980583 34.66019417] ; [16.66019417 16.33980583],0
n3,1,0.902425,0.01503,[16  9] ; [4 2],[16.12903226  8.87096774] ; [3.87096774 2.12903226],0
a8,1,0.913137,0.011899,[ 8 58] ; [ 4 27],[ 8.16494845 57.83505155] ; [ 3.83505155 27.16494845],0
s3,1,0.921932,0.009604,[43 26] ; [19 12],[42.78 26.22] ; [19.22 11.78],0
