Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.651321,[ 8 18] ; [94 24],[18.41666667  7.58333333] ; [83.58333333 34.41666667],1
a3,1,0.59712,0.279361,[15 11] ; [74 43],[16.18181818  9.81818182] ; [72.81818182 44.18181818],0
a7,1,0.611573,0.257891,[20  6] ; [85 33],[18.95833333  7.04166667] ; [86.04166667 31.95833333],0
r2,1,0.641017,0.217415,[23  3] ; [106  10],[23.61971831  2.38028169] ; [105.38028169  10.61971831],0
s3,1,0.657604,0.196447,[ 5 20] ; [28 88],[ 5.85106383 19.14893617] ; [27.14893617 88.85106383],0
r4,1,0.698349,0.150196,[21  5] ; [99 19],[21.66666667  4.33333333] ; [98.33333333 19.66666667],0
s5,1,0.701843,0.146562,[ 3 23] ; [ 17 101],[ 3.61111111 22.38888889] ; [ 16.38888889 101.61111111],0
a6,1,0.719881,0.128607,[16 10] ; [77 41],[16.79166667  9.20833333] ; [76.20833333 41.79166667],0
s4,1,0.737151,0.112647,[ 2 24] ; [  7 111],[ 1.625 24.375] ; [  7.375 110.625],0
s2,1,0.742165,0.108233,[ 4 21] ; [22 95],[ 4.57746479 20.42253521] ; [21.42253521 95.57746479],0
p12,1,0.784044,0.075105,[ 1 25] ; [  6 111],[ 1.27272727 24.72727273] ; [  5.72727273 111.27272727],0
b4,1,0.846352,0.037549,[14 12] ; [66 52],[14.44444444 11.55555556] ; [65.55555556 52.44444444],0
v2,1,0.854721,0.033525,[14 10] ; [70 46],[14.4  9.6] ; [69.6 46.4],0
n1,1,0.879193,0.023102,[2 3] ; [ 8 14],[1.85185185 3.14814815] ; [ 8.14814815 13.85185185],0
u3,1,0.891864,0.018481,[5 6] ; [19 25],[4.8 6.2] ; [19.2 24.8],0
r1,1,0.924644,0.008946,[20  6] ; [91 26],[20.18181818  5.81818182] ; [90.81818182 26.18181818],0
p6,1,0.943512,0.005021,[ 9 16] ; [43 74],[ 9.15492958 15.84507042] ; [42.84507042 74.15492958],0
d5,1,0.982865,0.000461,[20  6] ; [91 27],[20.04166667  5.95833333] ; [90.95833333 27.04166667],0
u2,1,1.0,0.0,[5 6] ; [20 24],[5. 6.] ; [20. 24.],0
