Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.009805,6.670074,[657 147] ; [9 7],[653.00487805 150.99512195] ; [12.99512195  3.00487805],0
d1,1,0.454566,0.559242,[479 329] ; [8 8],[477.54368932 330.45631068] ; [9.45631068 6.54368932],0
u2,1,0.461364,0.542583,[130 100] ; [2 3],[129.19148936 100.80851064] ; [2.80851064 2.19148936],0
p12,1,0.502197,0.45029,[ 63 734] ; [ 2 14],[ 63.72078721 733.27921279] ; [ 1.27921279 14.72078721],0
b5,1,0.51072,0.432592,[490 318] ; [11  5],[491.27184466 316.72815534] ; [9.72815534 6.27184466],0
s8,1,0.527498,0.39921,[362 440] ; [8 7],[363.20685435 438.79314565] ; [6.79314565 8.20685435],0
v3,1,0.566306,0.328903,[314 458] ; [ 5 10],[312.91994917 459.08005083] ; [6.08005083 8.91994917],0
s3,1,0.578359,0.308894,[457 339] ; [7 7],[455.98024691 340.01975309] ; [8.01975309 5.98024691],0
r1,1,0.593597,0.284761,[691 113] ; [13  3],[690.26341463 113.73658537] ; [13.73658537  2.26341463],0
a5,1,0.612036,0.257221,[600 207] ; [11  5],[599.12150668 207.87849332] ; [11.87849332  4.12150668],0
s7,1,0.619823,0.246116,[382 389] ; [6 8],[381.08025478 389.91974522] ; [6.91974522 7.08025478],0
p9,1,0.634948,0.225411,[670 123] ; [12  3],[669.33910891 123.66089109] ; [12.66089109  2.33910891],0
p3,1,0.64159,0.216669,[404 398] ; [9 7],[404.92176039 397.07823961] ; [8.07823961 7.92176039],0
a7,1,0.650357,0.205451,[594 211] ; [11  5],[593.20950061 211.79049939] ; [11.79049939  4.20950061],0
a1,1,0.710089,0.138188,[ 35 773] ; [ 1 15],[ 35.30097087 772.69902913] ; [ 0.69902913 15.30097087],0
s2,1,0.732588,0.116749,[415 384] ; [9 7],[415.67607362 383.32392638] ; [8.32392638 7.67607362],0
s4,1,0.839448,0.041047,[134 662] ; [ 3 13],[134.30049261 661.69950739] ; [ 2.69950739 13.30049261],0
a3,1,0.871418,0.026198,[575 230] ; [11  4],[575.2804878 229.7195122] ; [10.7195122  4.2804878],0
n3,1,0.914454,0.01154,[128  39] ; [6 2],[127.87428571  39.12571429] ; [6.12571429 1.87428571],0
p6,1,0.953435,0.00341,[291 500] ; [ 6 10],[291.11152416 499.88847584] ; [ 5.88847584 10.11152416],0
