Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.008338,6.959472,[ 3 26] ; [10 14],[ 7.11320755 21.88679245] ; [ 5.88679245 18.11320755],0
a1,1,0.487248,0.482597,[ 2 27] ; [ 3 21],[ 2.73584906 26.26415094] ; [ 2.26415094 21.73584906],0
v3,1,0.496829,0.461704,[ 4 25] ; [ 5 19],[ 4.9245283 24.0754717] ; [ 4.0754717 19.9245283],0
d3,1,0.498416,0.458307,[13 16] ; [13 11],[14.22641509 14.77358491] ; [11.77358491 12.22641509],0
p6,1,0.503008,0.448585,[ 4 24] ; [ 2 22],[ 3.23076923 24.76923077] ; [ 2.76923077 21.23076923],0
s5,1,0.532337,0.389928,[ 4 25] ; [ 2 22],[ 3.28301887 25.71698113] ; [ 2.71698113 21.28301887],0
b5,1,0.561125,0.33776,[18 11] ; [13 11],[16.96226415 12.03773585] ; [14.03773585  9.96226415],0
n3,1,0.599337,0.275996,[8 7] ; [7 4],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
p8,1,0.611151,0.258502,[ 7 22] ; [ 7 16],[ 7.80769231 21.19230769] ; [ 6.19230769 16.80769231],0
p12,1,0.668581,0.183266,[ 2 27] ; [ 1 23],[ 1.64150943 27.35849057] ; [ 1.35849057 22.64150943],0
p1,1,0.668581,0.183266,[ 2 27] ; [ 1 23],[ 1.64150943 27.35849057] ; [ 1.35849057 22.64150943],0
n2,1,0.691398,0.157576,[7 8] ; [6 5],[7.5 7.5] ; [5.5 5.5],0
s6,1,0.781955,0.076603,[11 18] ; [10 14],[11.49056604 17.50943396] ; [ 9.50943396 14.49056604],0
n5,1,0.781955,0.076603,[18 11] ; [14 10],[17.50943396 11.49056604] ; [14.49056604  9.50943396],0
u3,1,0.82176,0.050752,[ 4 15] ; [2 6],[ 4.22222222 14.77777778] ; [1.77777778 6.22222222],0
a8,1,0.826666,0.047952,[ 3 23] ; [ 3 19],[ 3.25 22.75] ; [ 2.75 19.25],0
n4,1,0.859265,0.031439,[15 14] ; [13 11],[15.32075472 13.67924528] ; [12.67924528 11.32075472],0
n6,1,0.922487,0.009468,[16 13] ; [13 10],[16.17307692 12.82692308] ; [12.82692308 10.17307692],0
p2,1,0.983139,0.000447,[17 12] ; [14 10],[16.96226415 12.03773585] ; [14.03773585  9.96226415],0
b1,1,0.983139,0.000447,[17 12] ; [14 10],[16.96226415 12.03773585] ; [14.03773585  9.96226415],0
