Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,39.439776,[37  5] ; [18 50],[21. 21.] ; [34. 34.],1
n6,1,0.199068,1.649201,[28 13] ; [38 30],[24.82568807 16.17431193] ; [41.17431193 26.82568807],0
r4,1,0.235624,1.406584,[30 12] ; [41 27],[27.10909091 14.89090909] ; [43.89090909 24.10909091],0
n2,1,0.237737,1.393966,[ 9 11] ; [18 11],[11.02040816  8.97959184] ; [15.97959184 13.02040816],0
r3,1,0.279421,1.169905,[33  9] ; [47 21],[30.54545455 11.45454545] ; [49.45454545 18.54545455],0
n5,1,0.307731,1.040387,[27 15] ; [37 31],[24.43636364 17.56363636] ; [39.56363636 28.43636364],0
p10,1,0.321662,0.982177,[11 31] ; [12 54],[ 8.94444444 33.05555556] ; [14.05555556 51.94444444],0
s6,1,0.327571,0.958477,[19 23] ; [24 43],[16.56880734 25.43119266] ; [26.43119266 40.56880734],0
p4,1,0.330163,0.948258,[17 25] ; [21 46],[14.64220183 27.35779817] ; [23.35779817 43.64220183],0
s7,1,0.335773,0.926503,[12 27] ; [14 49],[ 9.94117647 29.05882353] ; [16.05882353 46.94117647],0
a8,1,0.40867,0.682666,[ 2 39] ; [ 6 59],[ 3.09433962 37.90566038] ; [ 4.90566038 60.09433962],0
b4,1,0.409878,0.679155,[25 17] ; [35 33],[22.90909091 19.09090909] ; [37.09090909 30.90909091],0
s1,1,0.418379,0.654864,[ 3 39] ; [ 8 59],[ 4.23853211 37.76146789] ; [ 6.76146789 60.23853211],0
p1,1,0.434281,0.611346,[ 5 37] ; [ 5 62],[ 3.85321101 38.14678899] ; [ 6.14678899 60.85321101],0
s3,1,0.452618,0.564089,[20 22] ; [27 40],[18.11009174 23.88990826] ; [28.88990826 38.11009174],0
u3,1,0.471855,0.517628,[8 5] ; [19 19],[6.88235294 6.11764706] ; [20.11764706 17.88235294],0
p2,1,0.488499,0.47983,[20 22] ; [37 31],[21.76363636 20.23636364] ; [35.23636364 32.76363636],0
v4,1,0.522198,0.409551,[33  9] ; [49 18],[31.59633028 10.40366972] ; [50.40366972 16.59633028],0
n4,1,0.603595,0.269608,[28 14] ; [42 26],[26.72727273 15.27272727] ; [43.27272727 24.72727273],0
r1,1,0.639607,0.219257,[29 13] ; [44 24],[27.87272727 14.12727273] ; [45.12727273 22.87272727],0
b2,1,0.743182,0.10735,[ 8 19] ; [12 34],[ 7.39726027 19.60273973] ; [12.60273973 33.39726027],0
b3,1,0.743182,0.10735,[ 8 19] ; [12 34],[ 7.39726027 19.60273973] ; [12.60273973 33.39726027],0
n1,1,0.762369,0.091429,[ 7 13] ; [11 17],[ 7.5 12.5] ; [10.5 17.5],0
s5,1,0.807344,0.059465,[ 7 35] ; [10 57],[ 6.55045872 35.44954128] ; [10.44954128 56.55045872],0
p6,1,0.881336,0.022283,[ 8 34] ; [12 55],[ 7.70642202 34.29357798] ; [12.29357798 54.70642202],0
p3,1,0.899805,0.015853,[11 30] ; [19 49],[11.28440367 29.71559633] ; [18.71559633 49.28440367],0
p11,1,0.908549,0.013195,[19 23] ; [30 38],[18.70909091 23.29090909] ; [30.29090909 37.70909091],0
s4,1,0.94157,0.005372,[ 8 32] ; [14 54],[ 8.14814815 31.85185185] ; [13.85185185 54.14814815],0
p5,1,0.944953,0.004767,[ 2 40] ; [ 3 64],[ 1.9266055 40.0733945] ; [ 3.0733945 63.9266055],0
b5,1,1.0,0.0,[21 21] ; [34 34],[21. 21.] ; [34. 34.],0
