Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.1e-05,18.095238,[18 94] ; [20 20],[28. 84.] ; [10. 30.],1
b5,1,0.44249,0.589816,[64 56] ; [20 23],[61.8404908 58.1595092] ; [22.1595092 20.8404908],0
u4,1,0.445665,0.581652,[  1 119] ; [ 1 42],[  1.47239264 118.52760736] ; [ 0.52760736 42.47239264],0
a2,1,0.485643,0.486165,[22 98] ; [10 33],[23.55828221 96.44171779] ; [ 8.44171779 34.55828221],0
n3,1,0.504254,0.445972,[23  7] ; [7 1],[23.68421053  6.31578947] ; [6.31578947 1.68421053],0
b4,1,0.598559,0.277174,[67 53] ; [26 17],[68.46625767 51.53374233] ; [24.53374233 18.46625767],0
v4,1,0.636527,0.223313,[112   8] ; [41  2],[112.63803681   7.36196319] ; [40.36196319  2.63803681],0
u2,1,0.686884,0.162479,[14 20] ; [3 3],[14.45 19.55] ; [2.55 3.45],0
r1,1,0.709661,0.138616,[98 22] ; [34  9],[97.17791411 22.82208589] ; [34.82208589  8.17791411],0
n1,1,0.73927,0.110769,[ 8 22] ; [2 4],[ 8.33333333 21.66666667] ; [1.66666667 4.33333333],0
n2,1,0.740947,0.109296,[20  9] ; [6 2],[20.37837838  8.62162162] ; [5.62162162 2.37837838],0
a6,1,0.754951,0.097418,[84 36] ; [29 14],[83.19018405 36.80981595] ; [29.80981595 13.19018405],0
d5,1,0.754995,0.097381,[95 25] ; [35  8],[95.70552147 24.29447853] ; [34.29447853  8.70552147],0
b1,1,0.881689,0.02215,[49 71] ; [17 26],[48.58895706 71.41104294] ; [17.41104294 25.58895706],0
d4,1,0.888356,0.019708,[98 21] ; [35  8],[97.69753086 21.30246914] ; [35.30246914  7.69753086],0
s4,1,0.944555,0.004837,[  8 112] ; [ 3 40],[  8.09815951 111.90184049] ; [ 2.90184049 40.09815951],0
