Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,41.425391,[109   4] ; [12 12],[99.80291971 13.19708029] ; [21.19708029  2.80291971],1
n3,1,0.105193,2.625,[21  7] ; [7 7],[18.66666667  9.33333333] ; [9.33333333 4.66666667],0
p1,1,0.13134,2.276598,[  8 105] ; [ 4 20],[  9.89781022 103.10218978] ; [ 2.10218978 21.89781022],0
p4,1,0.17059,1.877749,[41 71] ; [ 5 18],[38.16296296 73.83703704] ; [ 7.83703704 15.16296296],0
n5,1,0.209007,1.578291,[80 33] ; [20  4],[82.48175182 30.51824818] ; [17.51824818  6.48175182],0
u2,1,0.21344,1.547938,[21 22] ; [2 6],[19.39215686 23.60784314] ; [3.60784314 4.39215686],0
s7,1,0.266263,1.235897,[46 61] ; [ 7 16],[43.62307692 63.37692308] ; [ 9.37692308 13.62307692],0
s1,1,0.287065,1.133333,[  7 105] ; [ 3 21],[  8.23529412 103.76470588] ; [ 1.76470588 22.23529412],0
d3,1,0.295371,1.094979,[65 48] ; [11 13],[62.68613139 50.31386861] ; [13.31386861 10.68613139],0
a5,1,0.295475,1.094507,[74 39] ; [13 11],[71.75912409 41.24087591] ; [15.24087591  8.75912409],0
u3,1,0.31335,1.016504,[25 19] ; [3 5],[23.69230769 20.30769231] ; [4.30769231 3.69230769],0
b5,1,0.336837,0.922434,[73 40] ; [13 11],[70.93430657 42.06569343] ; [15.06569343  8.93430657],0
a2,1,0.372853,0.794134,[23 90] ; [ 3 21],[21.44525547 91.55474453] ; [ 4.55474453 19.44525547],0
v3,1,0.383225,0.76033,[41 65] ; [ 7 17],[39.13846154 66.86153846] ; [ 8.86153846 15.13846154],0
a4,1,0.384247,0.757071,[50 62] ; [ 8 15],[48.11851852 63.88148148] ; [ 9.88148148 13.11851852],0
d2,1,0.421408,0.646385,[53 59] ; [13 10],[54.75555556 57.24444444] ; [11.24444444 11.75555556],0
p5,1,0.425892,0.634001,[ 10 100] ; [ 1 23],[  9.02985075 100.97014925] ; [ 1.97014925 22.02985075],0
p12,1,0.443247,0.587862,[ 10 103] ; [ 1 23],[  9.0729927 103.9270073] ; [ 1.9270073 22.0729927],0
n4,1,0.50015,0.454619,[83 30] ; [16  8],[81.65693431 31.34306569] ; [17.34306569  6.65693431],0
b4,1,0.501938,0.450836,[67 46] ; [16  8],[68.45985401 44.54014599] ; [14.54014599  9.45985401],0
d4,1,0.618808,0.247547,[84 29] ; [19  5],[84.95620438 28.04379562] ; [18.04379562  5.95620438],0
a3,1,0.642203,0.215873,[69 43] ; [16  8],[70. 42.] ; [15.  9.],0
n1,1,0.685795,0.163675,[13 15] ; [6 9],[12.37209302 15.62790698] ; [6.62790698 8.37209302],0
a1,1,0.700922,0.147514,[  7 106] ; [ 2 22],[  7.42335766 105.57664234] ; [ 1.57664234 22.42335766],0
d5,1,0.754189,0.098045,[79 34] ; [16  8],[78.35766423 34.64233577] ; [16.64233577  7.35766423],0
s4,1,0.784423,0.074835,[26 85] ; [ 5 19],[25.48888889 85.51111111] ; [ 5.51111111 18.48888889],0
d1,1,0.80041,0.063916,[58 55] ; [13 11],[58.5620438 54.4379562] ; [12.4379562 11.5620438],0
p8,1,0.83415,0.043841,[26 87] ; [ 6 18],[26.39416058 86.60583942] ; [ 5.60583942 18.39416058],0
v2,1,0.849832,0.035847,[54 54] ; [11 12],[53.58778626 54.41221374] ; [11.41221374 11.58778626],0
b1,1,0.861765,0.030321,[54 59] ; [11 13],[53.61313869 59.38686131] ; [11.38686131 12.61313869],0
b2,1,0.886926,0.020219,[26 47] ; [ 6 10],[26.24719101 46.75280899] ; [ 5.75280899 10.24719101],0
b3,1,0.886926,0.020219,[26 47] ; [ 6 10],[26.24719101 46.75280899] ; [ 5.75280899 10.24719101],0
u1,1,0.903814,0.014604,[20 93] ; [ 4 20],[19.79562044 93.20437956] ; [ 4.20437956 19.79562044],0
a8,1,0.9172,0.010808,[ 9 98] ; [ 2 20],[ 9.12403101 97.87596899] ; [ 1.87596899 20.12403101],0
