Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,1e-06,24.240632,[ 6 24] ; [73 31],[17.68656716 12.31343284] ; [61.31343284 42.68656716],1
p6,1,0.201204,1.633615,[ 3 26] ; [21 80],[ 5.35384615 23.64615385] ; [18.64615385 82.35384615],0
a5,1,0.257704,1.281048,[15 15] ; [64 40],[17.68656716 12.31343284] ; [61.31343284 42.68656716],0
n4,1,0.261229,1.262233,[21  9] ; [61 43],[18.35820896 11.64179104] ; [63.64179104 40.35820896],0
p4,1,0.283996,1.147865,[ 7 23] ; [34 67],[ 9.38931298 20.61068702] ; [31.61068702 69.38931298],0
b1,1,0.289906,1.120057,[18 12] ; [51 53],[15.44776119 14.55223881] ; [53.55223881 50.44776119],0
a2,1,0.339952,0.910611,[ 4 26] ; [22 82],[ 5.82089552 24.17910448] ; [20.17910448 83.82089552],0
p12,1,0.349447,0.875463,[ 1 29] ; [  1 102],[ 0.45112782 29.54887218] ; [  1.54887218 101.45112782],0
a3,1,0.368362,0.809184,[16 13] ; [65 36],[18.06923077 10.93076923] ; [62.93076923 38.06923077],0
a8,1,0.425907,0.63396,[ 4 26] ; [ 8 87],[ 2.88 27.12] ; [ 9.12 85.88],0
n1,1,0.450762,0.568736,[8 8] ; [16 25],[6.73684211 9.26315789] ; [17.26315789 23.73684211],0
v1,1,0.451028,0.568066,[ 8 22] ; [35 68],[ 9.69924812 20.30075188] ; [33.30075188 69.69924812],0
a4,1,0.540044,0.375458,[10 19] ; [42 61],[11.42424242 17.57575758] ; [40.57575758 62.42424242],0
n2,1,0.575578,0.313438,[8 8] ; [25 18],[8.94915254 7.05084746] ; [24.05084746 18.94915254],0
p5,1,0.607048,0.264496,[ 1 28] ; [ 6 96],[ 1.54961832 27.45038168] ; [ 5.45038168 96.54961832],0
s5,1,0.646536,0.210295,[ 4 26] ; [17 84],[ 4.80916031 25.19083969] ; [16.19083969 84.80916031],0
s1,1,0.686848,0.162519,[ 2 28] ; [ 5 99],[ 1.56716418 28.43283582] ; [ 5.43283582 98.56716418],0
n5,1,0.713691,0.134619,[19 11] ; [62 42],[18.13432836 11.86567164] ; [62.86567164 41.13432836],0
b4,1,0.714356,0.133965,[17 13] ; [55 49],[16.11940299 13.88059701] ; [55.88059701 48.11940299],0
d2,1,0.954381,0.003273,[13 16] ; [46 58],[12.86466165 16.13533835] ; [46.13533835 57.86466165],0
s3,1,0.967194,0.001692,[ 7 22] ; [25 77],[ 7.08396947 21.91603053] ; [24.91603053 77.08396947],0
s4,1,0.985526,0.000329,[ 4 26] ; [14 90],[ 4.02985075 25.97014925] ; [13.97014925 90.02985075],0
