Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,0.009391,6.746846,[ 7 85] ; [ 7 20],[10.82352941 81.17647059] ; [ 3.17647059 23.82352941],0
s1,1,0.418385,0.654848,[ 6 87] ; [ 3 24],[ 6.975 86.025] ; [ 2.025 24.975],0
n6,1,0.42359,0.640333,[57 35] ; [19  8],[58.75630252 33.24369748] ; [17.24369748  9.75630252],0
d1,1,0.454602,0.559153,[44 49] ; [11 17],[42.27272727 50.72727273] ; [12.72727273 15.27272727],0
p5,1,0.460822,0.543898,[ 6 86] ; [ 3 25],[ 6.9 85.1] ; [ 2.1 25.9],0
s8,1,0.463221,0.5381,[15 78] ; [ 6 21],[16.275 76.725] ; [ 4.725 22.275],0
s4,1,0.465971,0.531514,[12 81] ; [ 2 24],[10.94117647 82.05882353] ; [ 3.05882353 22.94117647],0
n5,1,0.483624,0.49068,[58 34] ; [19  8],[59.52941176 32.47058824] ; [17.47058824  9.52941176],0
u2,1,0.509358,0.435385,[16 21] ; [7 6],[17.02 19.98] ; [5.98 7.02],0
r2,1,0.545335,0.365742,[72 18] ; [23  4],[73.07692308 16.92307692] ; [21.92307692  5.07692308],0
n1,1,0.56594,0.329523,[17 21] ; [6 5],[17.83673469 20.16326531] ; [5.16326531 5.83673469],0
a1,1,0.575296,0.313901,[10 83] ; [ 2 26],[ 9.2231405 83.7768595] ; [ 2.7768595 25.2231405],0
d3,1,0.6305,0.231383,[45 48] ; [15 13],[46.11570248 46.88429752] ; [13.88429752 14.11570248],0
s3,1,0.664875,0.187656,[17 75] ; [ 6 21],[17.78151261 74.21848739] ; [ 5.21848739 21.78151261],0
n4,1,0.692761,0.156113,[59 34] ; [16 11],[58.125 34.875] ; [16.875 10.125],0
a3,1,0.694755,0.153986,[55 37] ; [15 12],[54.11764706 37.88235294] ; [15.88235294 11.11764706],0
r4,1,0.698425,0.150116,[56 37] ; [18 10],[56.87603306 36.12396694] ; [17.12396694 10.87603306],0
p1,1,0.733229,0.116167,[ 8 85] ; [ 3 25],[ 8.45454545 84.54545455] ; [ 2.54545455 25.45454545],0
r1,1,0.739463,0.110599,[55 38] ; [15 12],[54.25 38.75] ; [15.75 11.25],0
p7,1,0.774781,0.081869,[22 69] ; [ 7 19],[22.55555556 68.44444444] ; [ 6.44444444 19.55555556],0
a5,1,0.850774,0.035393,[55 38] ; [16 12],[54.57024793 38.42975207] ; [16.42975207 11.57024793],0
p12,1,0.86496,0.028922,[ 4 89] ; [ 1 27],[ 3.84297521 89.15702479] ; [ 1.15702479 26.84297521],0
p10,1,0.88254,0.02183,[40 50] ; [12 16],[39.66101695 50.33898305] ; [12.33898305 15.66101695],0
a8,1,0.976769,0.000848,[ 8 82] ; [ 2 21],[ 7.96460177 82.03539823] ; [ 2.03539823 20.96460177],0
n3,1,0.987964,0.000228,[19 16] ; [6 5],[19.02173913 15.97826087] ; [5.97826087 5.02173913],0
a6,1,0.988515,0.000207,[53 40] ; [16 12],[53.03305785 39.96694215] ; [15.96694215 12.03305785],0
