Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.2e-05,19.228095,[16 80] ; [14  9],[24.20168067 71.79831933] ; [ 5.79831933 17.20168067],1
s3,1,0.138341,2.196314,[40 56] ; [13  9],[43.11864407 52.88135593] ; [ 9.88135593 12.11864407],0
r4,1,0.194378,1.684118,[72 25] ; [20  3],[74.36666667 22.63333333] ; [17.63333333  5.36666667],0
u3,1,0.203628,1.616162,[16 16] ; [6 2],[17.6 14.4] ; [4.4 3.6],0
b5,1,0.220377,1.501914,[63 34] ; [18  5],[65.475 31.525] ; [15.525  7.475],0
a6,1,0.222184,1.490212,[66 30] ; [18  4],[68.33898305 27.66101695] ; [15.66101695  6.33898305],0
a2,1,0.227195,1.458334,[29 68] ; [ 4 19],[26.675 70.325] ; [ 6.325 16.675],0
r2,1,0.254918,1.296149,[83 12] ; [22  1],[84.53389831 10.46610169] ; [20.46610169  2.53389831],0
s1,1,0.261581,1.260373,[ 6 91] ; [ 3 20],[ 7.275 89.725] ; [ 1.725 21.275],0
u2,1,0.262943,1.253197,[17 15] ; [6 2],[18.4 13.6] ; [4.6 3.4],0
a4,1,0.294623,1.098375,[45 51] ; [ 8 15],[42.75630252 53.24369748] ; [10.24369748 12.75630252],0
n1,1,0.320305,0.987701,[16 21] ; [1 4],[14.97619048 22.02380952] ; [2.02380952 2.97619048],0
p1,1,0.363324,0.826372,[ 7 90] ; [ 3 20],[ 8.08333333 88.91666667] ; [ 1.91666667 21.08333333],0
v3,1,0.404693,0.694338,[33 59] ; [10 12],[34.70175439 57.29824561] ; [ 8.29824561 13.70175439],0
p11,1,0.420366,0.649292,[50 47] ; [14  9],[51.73333333 45.26666667] ; [12.26666667 10.73333333],0
r1,1,0.435043,0.609322,[68 29] ; [18  5],[69.51666667 27.48333333] ; [16.48333333  6.51666667],0
n2,1,0.457592,0.551779,[24 14] ; [4 1],[24.74418605 13.25581395] ; [3.25581395 1.74418605],0
d1,1,0.505135,0.444131,[58 39] ; [12 11],[56.58333333 40.41666667] ; [13.41666667  9.58333333],0
b1,1,0.529125,0.396072,[45 52] ; [ 9 14],[43.65 53.35] ; [10.35 12.65],0
d3,1,0.574594,0.315056,[67 29] ; [14  8],[65.89830508 30.10169492] ; [15.10169492  6.89830508],0
s4,1,0.581675,0.303534,[16 79] ; [ 5 18],[16.90677966 78.09322034] ; [ 4.09322034 18.90677966],0
n4,1,0.648267,0.208092,[68 29] ; [15  8],[67.09166667 29.90833333] ; [15.90833333  7.09166667],0
u1,1,0.727929,0.121022,[20 77] ; [ 4 19],[19.4 77.6] ; [ 4.6 18.4],0
d4,1,0.757669,0.095199,[77 19] ; [17  5],[76.47457627 19.52542373] ; [17.52542373  4.47457627],0
b4,1,0.764628,0.089646,[60 37] ; [15  8],[60.625 36.375] ; [14.375  8.625],0
a3,1,0.767966,0.087047,[65 30] ; [15  8],[64.40677966 30.59322034] ; [15.59322034  7.40677966],0
a8,1,0.783696,0.075353,[11 80] ; [ 3 18],[11.375 79.625] ; [ 2.625 18.375],0
b2,1,0.788673,0.071842,[20 42] ; [ 4 10],[19.57894737 42.42105263] ; [4.42105263 9.57894737],0
b3,1,0.788673,0.071842,[20 42] ; [ 4 10],[19.57894737 42.42105263] ; [4.42105263 9.57894737],0
n5,1,0.814052,0.05532,[65 32] ; [16  7],[65.475 31.525] ; [15.525  7.475],0
a1,1,0.816599,0.053788,[10 87] ; [ 2 21],[ 9.7 87.3] ; [ 2.3 20.7],0
n3,1,0.925551,0.008732,[23 14] ; [3 2],[22.9047619 14.0952381] ; [3.0952381 1.9047619],0
a5,1,0.963282,0.002119,[67 30] ; [16  7],[67.09166667 29.90833333] ; [15.90833333  7.09166667],0
d2,1,1.0,0.0,[48 48] ; [11 11],[48. 48.] ; [11. 11.],0
