Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,23.913049,[43 13] ; [ 9 27],[31.65217391 24.34782609] ; [20.34782609 15.65217391],1
a1,1,0.553797,0.350559,[ 3 53] ; [ 1 35],[ 2.43478261 53.56521739] ; [ 1.56521739 34.43478261],0
b2,1,0.564288,0.332333,[ 8 26] ; [ 3 15],[ 7.19230769 26.80769231] ; [ 3.80769231 14.19230769],0
b3,1,0.564288,0.332333,[ 8 26] ; [ 3 15],[ 7.19230769 26.80769231] ; [ 3.80769231 14.19230769],0
s3,1,0.611541,0.257937,[32 23] ; [19 17],[30.82417582 24.17582418] ; [20.17582418 15.82417582],0
n3,1,0.611732,0.25766,[14  5] ; [9 2],[14.56666667  4.43333333] ; [8.43333333 2.56666667],0
u3,1,0.635026,0.225306,[12 16] ; [9 9],[12.7826087 15.2173913] ; [8.2173913 9.7826087],0
p8,1,0.63601,0.223999,[29 25] ; [17 18],[27.91011236 26.08988764] ; [18.08988764 16.91011236],0
s2,1,0.684248,0.165383,[21 35] ; [12 24],[20.08695652 35.91304348] ; [12.91304348 23.08695652],0
n2,1,0.697893,0.150673,[15  4] ; [8 3],[14.56666667  4.43333333] ; [8.43333333 2.56666667],0
p3,1,0.77868,0.078984,[25 31] ; [15 21],[24.34782609 31.65217391] ; [15.65217391 20.34782609],0
r3,1,0.841179,0.040155,[49  7] ; [32  4],[49.30434783  6.69565217] ; [31.69565217  4.30434783],0
p6,1,0.868473,0.027423,[21 33] ; [13 22],[20.62921348 33.37078652] ; [13.37078652 21.62921348],0
u2,1,0.888117,0.019793,[11 15] ; [ 8 10],[11.22727273 14.77272727] ; [ 7.77272727 10.22727273],0
a3,1,0.894504,0.017585,[28 28] ; [18 17],[28.30769231 27.69230769] ; [17.69230769 17.30769231],0
b1,1,0.925929,0.008643,[29 27] ; [19 17],[29.2173913 26.7826087] ; [18.7826087 17.2173913],0
d4,1,0.958612,0.002693,[38 17] ; [24 11],[37.88888889 17.11111111] ; [24.11111111 10.88888889],0
