Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.1e-05,17.338696,[37 34] ; [ 35 112],[23.44954128 47.55045872] ; [48.55045872 98.44954128],1
b1,1,0.39323,0.728929,[29 44] ; [70 83],[31.97787611 41.02212389] ; [67.02212389 85.97787611],0
n6,1,0.499615,0.455754,[52 20] ; [103  49],[49.82142857 22.17857143] ; [105.17857143  46.82142857],0
a2,1,0.505195,0.444007,[13 60] ; [ 22 131],[11.30530973 61.69469027] ; [ 23.69469027 129.30530973],0
a1,1,0.509346,0.435411,[ 2 71] ; [  7 146],[ 2.90707965 70.09292035] ; [  6.09292035 146.90707965],0
n1,1,0.541882,0.372063,[7 9] ; [22 40],[ 5.94871795 10.05128205] ; [23.05128205 38.94871795],0
b4,1,0.552243,0.353314,[37 36] ; [84 69],[39.0840708 33.9159292] ; [81.9159292 71.0840708],0
a8,1,0.563253,0.334102,[ 5 63] ; [ 14 129],[ 6.12322275 61.87677725] ; [ 12.87677725 130.12322275],0
s7,1,0.589237,0.291537,[14 55] ; [ 25 120],[12.57476636 56.42523364] ; [ 26.42523364 118.57476636],0
a6,1,0.593323,0.285185,[48 25] ; [95 58],[46.19026549 26.80973451] ; [96.80973451 56.19026549],0
s3,1,0.641152,0.217239,[20 53] ; [ 37 114],[18.57589286 54.42410714] ; [ 38.42410714 112.57589286],0
u2,1,0.658019,0.195939,[ 8 11] ; [33 36],[ 8.85227273 10.14772727] ; [32.14772727 36.85227273],0
d1,1,0.709468,0.138809,[31 42] ; [69 84],[32.30088496 40.69911504] ; [67.69911504 85.30088496],0
d4,1,0.818288,0.052784,[52 21] ; [106  46],[51.26222222 21.73777778] ; [106.73777778  45.26222222],0
b5,1,0.927863,0.008196,[42 31] ; [89 64],[42.31415929 30.68584071] ; [88.68584071 64.31415929],0
a7,1,0.983256,0.00044,[46 27] ; [96 56],[46.07111111 26.92888889] ; [95.92888889 56.07111111],0
d5,1,0.991308,0.000119,[50 23] ; [104  48],[49.96444444 23.03555556] ; [104.03555556  47.96444444],0
d3,1,0.995872,2.7e-05,[43 30] ; [89 62],[43.01785714 29.98214286] ; [88.98214286 62.01785714],0
d2,1,0.998962,2e-06,[29 44] ; [60 91],[29.00446429 43.99553571] ; [59.99553571 91.00446429],0
