Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,52.739292,[ 37 117] ; [148  93],[72.12658228 81.87341772] ; [112.87341772 128.12658228],1
a8,1,0.145433,2.119513,[ 21 125] ; [ 44 172],[ 26.21546961 119.78453039] ; [ 38.78453039 177.21546961],0
s5,1,0.153361,2.038502,[64 90] ; [115 120],[70.86375321 83.13624679] ; [108.13624679 126.86375321],0
b4,1,0.153583,2.036297,[82 76] ; [146 101],[88.94814815 69.05185185] ; [139.05185185 107.94814815],0
r1,1,0.156739,2.005405,[127  30] ; [212  34],[132.06699752  24.93300248] ; [206.93300248  39.06699752],0
s2,1,0.201776,1.62947,[109  49] ; [184  62],[114.58910891  43.41089109] ; [178.41089109  67.58910891],0
p10,1,0.205832,1.600504,[130  27] ; [214  31],[134.34825871  22.65174129] ; [209.65174129  35.34825871],0
b1,1,0.212951,1.551248,[68 90] ; [ 91 156],[62.02962963 95.97037037] ; [ 96.97037037 150.02962963],0
p12,1,0.220912,1.498436,[ 12 145] ; [ 28 218],[ 15.58312655 141.41687345] ; [ 24.41687345 221.58312655],0
n5,1,0.262059,1.257848,[123  35] ; [201  43],[127.34328358  30.65671642] ; [196.65671642  47.34328358],0
p11,1,0.262466,1.255701,[122  36] ; [202  45],[126.4  31.6] ; [197.6  49.4],0
n4,1,0.298196,1.082244,[130  27] ; [213  33],[133.62531017  23.37468983] ; [209.37468983  36.62531017],0
a2,1,0.310837,1.027116,[ 40 118] ; [ 74 173],[ 44.47407407 113.52592593] ; [ 69.52592593 177.47407407],0
b5,1,0.376375,0.782508,[87 71] ; [147 100],[91.28888889 66.71111111] ; [142.71111111 104.28888889],0
p1,1,0.421189,0.646996,[ 18 140] ; [ 22 224],[ 15.64356436 142.35643564] ; [ 24.35643564 221.64356436],0
p5,1,0.445116,0.58306,[ 27 128] ; [ 36 211],[ 24.29104478 130.70895522] ; [ 38.70895522 208.29104478],0
a1,1,0.458043,0.550673,[  8 150] ; [ 17 230],[  9.75308642 148.24691358] ; [ 15.24691358 231.75308642],0
u4,1,0.535696,0.383576,[  4 154] ; [  9 238],[  5.07160494 152.92839506] ; [  7.92839506 239.07160494],0
p6,1,0.537298,0.380572,[70 87] ; [116 127],[73.005 83.995] ; [112.995 130.005],0
p3,1,0.566438,0.328679,[88 69] ; [145 101],[90.77171216 66.22828784] ; [142.22828784 103.77171216],0
n2,1,0.586061,0.296537,[28 10] ; [37 10],[29.05882353  8.94117647] ; [35.94117647 11.05882353],0
r4,1,0.614096,0.254254,[145  13] ; [230  17],[146.2962963  11.7037037] ; [228.7037037  18.2962963],0
d3,1,0.618973,0.247313,[110  47] ; [178  68],[112.19851117  44.80148883] ; [175.80148883  70.19851117],0
s6,1,0.630589,0.231263,[130  26] ; [206  36],[131.69849246  24.30150754] ; [204.30150754  37.69849246],0
p8,1,0.725547,0.12324,[87 71] ; [137 104],[88.70175439 69.29824561] ; [135.29824561 105.70175439],0
b3,1,0.793561,0.068481,[46 60] ; [ 74 103],[44.94699647 61.05300353] ; [ 75.05300353 101.94699647],0
b2,1,0.793561,0.068481,[46 60] ; [ 74 103],[44.94699647 61.05300353] ; [ 75.05300353 101.94699647],0
v4,1,0.79427,0.068001,[152   5] ; [236   9],[151.53233831   5.46766169] ; [236.46766169   8.53233831],0
u3,1,0.802825,0.062346,[27 11] ; [26 12],[26.5 11.5] ; [26.5 11.5],0
u2,1,0.81058,0.057445,[24 14] ; [25 13],[24.5 13.5] ; [24.5 13.5],0
n6,1,0.811186,0.057071,[139  18] ; [217  26],[139.73  17.27] ; [216.27  26.73],0
p2,1,0.855275,0.033267,[136  22] ; [211  36],[135.37283951  22.62716049] ; [211.62716049  35.37283951],0
s3,1,0.922396,0.00949,[117  41] ; [181  62],[117.41645885  40.58354115] ; [180.58354115  62.41645885],0
p4,1,0.937528,0.006143,[107  51] ; [165  80],[106.64019851  51.35980149] ; [165.35980149  79.64019851],0
a4,1,0.971814,0.001248,[78 80] ; [121 125],[77.82673267 80.17326733] ; [121.17326733 124.82673267],0
