Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,85.057395,[403 101] ; [72 97],[355.72065379 148.27934621] ; [119.27934621  49.72065379],1
v4,1,0.49692,0.461507,[498   8] ; [164   4],[496.99109792   9.00890208] ; [165.00890208   2.99109792],0
v3,1,0.551932,0.353867,[203 282] ; [73 91],[206.25577812 278.74422188] ; [69.74422188 94.25577812],0
s6,1,0.565085,0.330976,[355 143] ; [120  43],[357.86686838 140.13313162] ; [117.13313162  45.86686838],0
s2,1,0.619558,0.24649,[277 225] ; [89 79],[274.22686567 227.77313433] ; [91.77313433 76.22686567],0
u4,1,0.63,0.23206,[  9 497] ; [  4 165],[  9.74518519 496.25481481] ; [  3.25481481 165.74518519],0
p1,1,0.698296,0.150251,[ 47 457] ; [ 14 154],[ 45.75 458.25] ; [ 15.25 152.75],0
p11,1,0.698426,0.150114,[431  75] ; [146  23],[432.5362963  73.4637037] ; [144.4637037  24.5362963],0
n3,1,0.73792,0.111963,[69 19] ; [28  9],[68.288 19.712] ; [28.712  8.288],0
n2,1,0.846881,0.037287,[68 20] ; [28  9],[67.584 20.416] ; [28.416  8.584],0
n6,1,0.859217,0.03146,[446  57] ; [149  20],[445.36458333  57.63541667] ; [149.63541667  19.36458333],0
p5,1,0.880262,0.022691,[ 64 439] ; [ 22 145],[ 64.5641791 438.4358209] ; [ 21.4358209 145.5641791],0
p6,1,0.881309,0.022294,[198 304] ; [ 64 101],[197.1874063 304.8125937] ; [ 64.8125937 100.1874063],0
d2,1,0.893672,0.017865,[246 258] ; [83 85],[246.75 257.25] ; [82.25 85.75],0
p3,1,0.906718,0.013731,[274 230] ; [91 78],[273.34323923 230.65676077] ; [91.65676077 77.34323923],0
p9,1,0.91,0.012778,[480  25] ; [161   8],[480.27448071  24.72551929] ; [160.72551929   8.27448071],0
p7,1,0.94927,0.004048,[337 157] ; [113  52],[337.3292868 156.6707132] ; [112.6707132  52.3292868],0
a4,1,0.967486,0.001661,[231 274] ; [77 92],[230.77151335 274.22848665] ; [77.22848665 91.77151335],0
v1,1,0.974546,0.001018,[282 209] ; [95 70],[282.17530488 208.82469512] ; [94.82469512 70.17530488],0
p8,1,0.979235,0.000677,[288 212] ; [96 71],[287.85607196 212.14392804] ; [96.14392804 70.85607196],0
s1,1,0.996866,1.5e-05,[ 15 485] ; [  5 162],[ 14.99250375 485.00749625] ; [  5.00749625 161.99250375],0
