Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.231728,[268   8] ; [9 4],[264.53979239  11.46020761] ; [12.46020761  0.53979239],1
b4,1,0.545371,0.365676,[168 108] ; [9 4],[169.03806228 106.96193772] ; [7.96193772 5.03806228],0
u3,1,0.555033,0.348378,[42 23] ; [2 2],[41.44927536 23.55072464] ; [2.55072464 1.44927536],0
n5,1,0.577142,0.310878,[214  60] ; [11  2],[214.80836237  59.19163763] ; [10.19163763  2.80836237],0
p12,1,0.588862,0.292125,[ 35 239] ; [ 1 12],[ 34.36933798 239.63066202] ; [ 1.63066202 11.36933798],0
a7,1,0.599637,0.275543,[189  87] ; [8 5],[188.1384083  87.8615917] ; [8.8615917 4.1384083],0
s6,1,0.646989,0.209717,[238  35] ; [11  1],[238.51578947  34.48421053] ; [10.48421053  1.51578947],0
s4,1,0.668796,0.183014,[ 69 202] ; [4 9],[ 69.6584507 201.3415493] ; [3.3415493 9.6584507],0
n3,1,0.796477,0.066517,[43 17] ; [4 2],[42.72727273 17.27272727] ; [4.27272727 1.72727273],0
a5,1,0.807517,0.059356,[220  56] ; [10  3],[219.65397924  56.34602076] ; [10.34602076  2.65397924],0
a1,1,0.867824,0.027697,[ 18 258] ; [ 1 12],[ 18.14532872 257.85467128] ; [ 0.85467128 12.14532872],0
p5,1,0.869422,0.027025,[ 58 216] ; [ 3 10],[ 58.2369338 215.7630662] ; [ 2.7630662 10.2369338],0
d2,1,0.906998,0.013648,[143 131] ; [7 6],[143.20557491 130.79442509] ; [6.79442509 6.20557491],0
n2,1,0.91355,0.011786,[51  9] ; [5 1],[50.90909091  9.09090909] ; [5.09090909 0.90909091],0
p2,1,0.937549,0.006139,[234  40] ; [11  2],[233.90243902  40.09756098] ; [11.09756098  1.90243902],0
n1,1,0.968445,0.001565,[29 30] ; [3 3],[29.04615385 29.95384615] ; [2.95384615 3.04615385],0
