Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000366,12.695749,[34  8] ; [10 16],[27.17647059 14.82352941] ; [16.82352941  9.17647059],1
s1,1,0.383358,0.759905,[ 4 38] ; [ 1 25],[ 3.08823529 38.91176471] ; [ 1.91176471 24.08823529],0
s8,1,0.387065,0.748142,[19 23] ; [ 9 17],[17.29411765 24.70588235] ; [10.70588235 15.29411765],0
n4,1,0.387347,0.747253,[ 9 33] ; [ 8 18],[10.5 31.5] ; [ 6.5 19.5],0
n1,1,0.391805,0.733333,[6 5] ; [4 7],[5. 6.] ; [5. 6.],0
a4,1,0.392542,0.731052,[15 27] ; [12 14],[16.67647059 25.32352941] ; [10.32352941 15.67647059],0
p8,1,0.409597,0.679971,[19 22] ; [ 9 16],[17.39393939 23.60606061] ; [10.60606061 14.39393939],0
v1,1,0.469736,0.522597,[19 21] ; [10 16],[17.57575758 22.42424242] ; [11.42424242 14.57575758],0
a6,1,0.490063,0.476387,[23 19] ; [12 14],[21.61764706 20.38235294] ; [13.38235294 12.61764706],0
a3,1,0.50088,0.453072,[27 14] ; [15 11],[25.70149254 15.29850746] ; [16.29850746  9.70149254],0
p4,1,0.506924,0.440411,[20 22] ; [14 11],[21.31343284 20.68656716] ; [12.68656716 12.31343284],0
a1,1,0.53458,0.385679,[ 3 39] ; [ 3 23],[ 3.70588235 38.29411765] ; [ 2.29411765 23.70588235],0
b5,1,0.536849,0.38141,[21 21] ; [15 11],[22.23529412 19.76470588] ; [13.76470588 12.23529412],0
p10,1,0.578052,0.309395,[32  9] ; [18  7],[31.06060606  9.93939394] ; [18.93939394  6.06060606],0
u1,1,0.590474,0.289605,[ 6 36] ; [ 5 21],[ 6.79411765 35.20588235] ; [ 4.20588235 21.79411765],0
b1,1,0.600113,0.274825,[12 30] ; [ 9 17],[12.97058824 29.02941176] ; [ 8.02941176 17.97058824],0
p9,1,0.665294,0.187156,[33  8] ; [19  6],[32.3030303  8.6969697] ; [19.6969697  5.3030303],0
s4,1,0.67532,0.175442,[15 27] ; [ 8 18],[14.20588235 27.79411765] ; [ 8.79411765 17.20588235],0
b4,1,0.682598,0.167216,[31 11] ; [18  8],[30.26470588 11.73529412] ; [18.73529412  7.26470588],0
u2,1,0.691398,0.157576,[8 7] ; [5 6],[7.5 7.5] ; [5.5 5.5],0
a2,1,0.700199,0.148264,[ 8 34] ; [ 4 22],[ 7.41176471 34.58823529] ; [ 4.58823529 21.41176471],0
p2,1,0.744951,0.105823,[31 10] ; [18  7],[30.43939394 10.56060606] ; [18.56060606  6.43939394],0
a5,1,0.753695,0.098452,[29 13] ; [17  9],[28.41176471 13.58823529] ; [17.58823529  8.41176471],0
n3,1,0.757354,0.095455,[7 3] ; [7 4],[6.66666667 3.33333333] ; [7.33333333 3.66666667],0
u3,1,0.780914,0.077355,[9 6] ; [6 5],[8.65384615 6.34615385] ; [6.34615385 4.65384615],0
d1,1,0.790187,0.070792,[24 18] ; [14 12],[23.47058824 18.52941176] ; [14.52941176 11.47058824],0
d5,1,0.889039,0.019466,[35  7] ; [22  4],[35.20588235  6.79411765] ; [21.79411765  4.20588235],0
p12,1,0.89726,0.016673,[ 3 39] ; [ 2 23],[ 3.13432836 38.86567164] ; [ 1.86567164 23.13432836],0
r4,1,0.901046,0.01546,[36  6] ; [22  4],[35.82352941  6.17647059] ; [22.17647059  3.82352941],0
p1,1,0.906901,0.013677,[ 5 35] ; [ 3 23],[ 4.84848485 35.15151515] ; [ 3.15151515 22.84848485],0
v3,1,0.947025,0.004415,[12 28] ; [ 8 18],[12.12121212 27.87878788] ; [ 7.87878788 18.12121212],0
v4,1,0.95458,0.003244,[38  3] ; [24  2],[37.94029851  3.05970149] ; [24.05970149  1.94029851],0
v2,1,1.0,0.0,[21 21] ; [13 13],[21. 21.] ; [13. 13.],0
