Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.006047,7.536314,[ 2 43] ; [4 9],[ 4.65517241 40.34482759] ; [ 1.34482759 11.65517241],0
d4,1,0.30796,1.039403,[24 21] ; [9 4],[25.60344828 19.39655172] ; [7.39655172 5.60344828],0
n3,1,0.314069,1.013488,[ 9 16] ; [4 3],[10.15625 14.84375] ; [2.84375 4.15625],0
d1,1,0.314846,1.010238,[14 31] ; [6 7],[15.51724138 29.48275862] ; [4.48275862 8.51724138],0
p3,1,0.328034,0.956643,[ 9 36] ; [4 8],[10.26315789 34.73684211] ; [2.73684211 9.26315789],0
p10,1,0.329124,0.95234,[17 27] ; [7 6],[18.52631579 25.47368421] ; [5.47368421 7.52631579],0
a7,1,0.374561,0.788476,[18 27] ; [7 6],[19.39655172 25.60344828] ; [5.60344828 7.39655172],0
d5,1,0.377873,0.77761,[25 20] ; [9 4],[26.37931034 18.62068966] ; [7.62068966 5.37931034],0
n4,1,0.377873,0.77761,[25 20] ; [9 4],[26.37931034 18.62068966] ; [7.62068966 5.37931034],0
p5,1,0.45199,0.565657,[ 4 40] ; [ 2 10],[ 4.71428571 39.28571429] ; [ 1.28571429 10.71428571],0
v2,1,0.466092,0.531225,[ 7 37] ; [3 9],[ 7.85714286 36.14285714] ; [2.14285714 9.85714286],0
s7,1,0.476629,0.506567,[ 6 35] ; [ 3 10],[ 6.83333333 34.16666667] ; [ 2.16666667 10.83333333],0
a3,1,0.478161,0.503054,[27 17] ; [6 6],[25.92857143 18.07142857] ; [7.07142857 4.92857143],0
n1,1,0.484123,0.48956,[11 15] ; [4 3],[11.81818182 14.18181818] ; [3.18181818 3.81818182],0
s3,1,0.489997,0.476533,[ 7 36] ; [ 1 11],[ 6.25454545 36.74545455] ; [ 1.74545455 10.25454545],0
p1,1,0.58236,0.302435,[ 6 39] ; [ 1 12],[ 5.43103448 39.56896552] ; [ 1.56896552 11.43103448],0
n2,1,0.605591,0.266645,[12 14] ; [4 3],[12.60606061 13.39393939] ; [3.39393939 3.60606061],0
a4,1,0.627336,0.23569,[15 29] ; [5 7],[15.71428571 28.28571429] ; [4.28571429 7.71428571],0
p12,1,0.641398,0.216918,[ 2 43] ; [ 1 12],[ 2.32758621 42.67241379] ; [ 0.67241379 12.32758621],0
b1,1,0.643266,0.214496,[28 17] ; [9 4],[28.70689655 16.29310345] ; [8.29310345 4.70689655],0
a2,1,0.676955,0.173574,[ 5 40] ; [ 2 11],[ 5.43103448 39.56896552] ; [ 1.56896552 11.43103448],0
p4,1,0.678117,0.172253,[11 33] ; [4 9],[11.57894737 32.42105263] ; [3.42105263 9.57894737],0
p8,1,0.678117,0.172253,[11 33] ; [4 9],[11.57894737 32.42105263] ; [3.42105263 9.57894737],0
b5,1,0.6915,0.157466,[18 27] ; [6 7],[18.62068966 26.37931034] ; [5.37931034 7.62068966],0
a5,1,0.752858,0.099145,[23 22] ; [6 7],[22.5 22.5] ; [6.5 6.5],0
r2,1,0.8135,0.055655,[28 15] ; [8 5],[27.64285714 15.35714286] ; [8.35714286 4.64285714],0
p6,1,0.875546,0.024529,[ 4 40] ; [ 1 12],[ 3.85964912 40.14035088] ; [ 1.14035088 11.85964912],0
p7,1,0.881993,0.022035,[13 31] ; [3 8],[12.8 31.2] ; [3.2 7.8],0
n5,1,0.895622,0.017212,[32 13] ; [9 4],[31.81034483 13.18965517] ; [9.18965517 3.81034483],0
a6,1,0.973953,0.001066,[21 24] ; [6 7],[20.94827586 24.05172414] ; [6.05172414 6.94827586],0
a1,1,0.988037,0.000225,[ 7 38] ; [ 2 11],[ 6.98275862 38.01724138] ; [ 2.01724138 10.98275862],0
