Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.2e-05,16.048301,[27  7] ; [11 24],[18.72463768 15.27536232] ; [19.27536232 15.72463768],1
r3,1,0.64944,0.206607,[18 15] ; [21 14],[18.92647059 14.07352941] ; [20.07352941 14.92647059],0
s2,1,0.649954,0.205959,[ 9 25] ; [11 24],[ 9.85507246 24.14492754] ; [10.14492754 24.85507246],0
p4,1,0.685918,0.16354,[ 8 25] ; [10 25],[ 8.73529412 24.26470588] ; [ 9.26470588 25.73529412],0
d5,1,0.703836,0.144512,[14 20] ; [16 19],[14.7826087 19.2173913] ; [15.2173913 19.7826087],0
b1,1,0.721618,0.126948,[17 17] ; [16 19],[16.26086957 17.73913043] ; [16.73913043 18.26086957],0
u2,1,0.740923,0.109317,[ 9 11] ; [12 12],[ 9.54545455 10.45454545] ; [11.45454545 12.54545455],0
s8,1,0.782192,0.076432,[ 5 29] ; [ 6 29],[ 5.42028986 28.57971014] ; [ 5.57971014 29.42028986],0
p7,1,0.802312,0.062678,[14 19] ; [13 20],[13.5 19.5] ; [13.5 19.5],0
n3,1,0.861864,0.030277,[9 8] ; [9 9],[8.74285714 8.25714286] ; [9.25714286 8.74285714],0
b4,1,0.873096,0.025513,[22 12] ; [22 13],[21.68115942 12.31884058] ; [22.31884058 12.68115942],0
p11,1,0.899928,0.015814,[16 18] ; [17 18],[16.26086957 17.73913043] ; [16.73913043 18.26086957],0
d1,1,0.947257,0.004376,[ 8 26] ; [ 8 27],[ 7.88405797 26.11594203] ; [ 8.11594203 26.88405797],0
s1,1,0.970361,0.001381,[ 3 31] ; [ 3 32],[ 2.95652174 31.04347826] ; [ 3.04347826 31.95652174],0
s3,1,0.975914,0.000912,[12 20] ; [13 22],[11.94029851 20.05970149] ; [13.05970149 21.94029851],0
v1,1,1.0,0.0,[10 24] ; [10 24],[10. 24.] ; [10. 24.],0
d3,1,1.0,0.0,[14 20] ; [14 20],[14. 20.] ; [14. 20.],0
