Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,25.2,[27 78] ; [63 42],[45. 60.] ; [45. 60.],1
a1,1,0.700663,0.147783,[  4 101] ; [  3 102],[  3.5 101.5] ; [  3.5 101.5],0
u1,1,0.700663,0.147783,[  4 101] ; [  3 102],[  3.5 101.5] ; [  3.5 101.5],0
s5,1,0.72842,0.120567,[33 69] ; [35 66],[34.16748768 67.83251232] ; [33.83251232 67.16748768],0
r3,1,0.747251,0.103856,[96  7] ; [99  6],[96.5625  6.4375] ; [98.4375  6.5625],0
b3,1,0.758105,0.094845,[16 41] ; [19 43],[16.76470588 40.23529412] ; [18.23529412 43.76470588],0
b2,1,0.758105,0.094845,[16 41] ; [19 43],[16.76470588 40.23529412] ; [18.23529412 43.76470588],0
v1,1,0.829117,0.046584,[48 52] ; [51 52],[48.76847291 51.23152709] ; [50.23152709 52.76847291],0
v2,1,0.849328,0.036091,[46 51] ; [47 55],[45.33165829 51.66834171] ; [47.66834171 54.33165829],0
d2,1,0.849613,0.035953,[16 89] ; [17 88],[16.5 88.5] ; [16.5 88.5],0
r1,1,0.876462,0.024166,[76 28] ; [75 29],[75.5 28.5] ; [75.5 28.5],0
d4,1,0.888196,0.019765,[63 42] ; [62 43],[62.5 42.5] ; [62.5 42.5],0
b5,1,0.889511,0.0193,[58 47] ; [59 46],[58.5 46.5] ; [58.5 46.5],0
p9,1,0.913721,0.011739,[80 22] ; [83 22],[80.31884058 21.68115942] ; [82.68115942 22.31884058],0
n2,1,0.923909,0.009122,[26  3] ; [19  2],[26.1  2.9] ; [18.9  2.1],0
a7,1,0.930707,0.007561,[64 41] ; [64 40],[64.3062201 40.6937799] ; [63.6937799 40.3062201],0
