Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2.9e-05,17.503188,[89 55] ; [44 78],[72. 72.] ; [61. 61.],1
n3,1,0.538758,0.377846,[21  7] ; [21 10],[19.93220339  8.06779661] ; [22.06779661  8.93220339],0
b4,1,0.608716,0.262049,[93 53] ; [74 48],[90.97761194 55.02238806] ; [76.02238806 45.97761194],0
p5,1,0.612296,0.256845,[ 14 131] ; [ 14 107],[ 15.26315789 129.73684211] ; [ 12.73684211 108.26315789],0
p2,1,0.656024,0.198389,[118  27] ; [101  20],[119.37969925  25.62030075] ; [99.62030075 21.37969925],0
p7,1,0.770524,0.085083,[87 55] ; [69 47],[85.86046512 56.13953488] ; [70.13953488 45.86046512],0
n2,1,0.795809,0.066964,[22  6] ; [26  6],[22.4  5.6] ; [25.6  6.4],0
b3,1,0.819687,0.05196,[22 55] ; [18 49],[21.38888889 55.61111111] ; [18.61111111 48.38888889],0
b2,1,0.819687,0.05196,[22 55] ; [18 49],[21.38888889 55.61111111] ; [18.61111111 48.38888889],0
r4,1,0.869941,0.026809,[129  17] ; [107  15],[128.56716418  17.43283582] ; [107.43283582  14.56716418],0
r2,1,0.876717,0.024066,[134  10] ; [112   9],[133.6754717  10.3245283] ; [112.3245283   8.6754717],0
n5,1,0.889513,0.019299,[107  37] ; [89 32],[106.50566038  37.49433962] ; [89.49433962 31.50566038],0
s7,1,0.922971,0.009349,[51 90] ; [43 74],[51.37209302 89.62790698] ; [42.62790698 74.37209302],0
b5,1,0.931141,0.007467,[89 57] ; [75 47],[89.34328358 56.65671642] ; [74.65671642 47.34328358],0
a8,1,0.936908,0.006266,[ 15 114] ; [ 13 102],[ 14.80327869 114.19672131] ; [ 13.19672131 101.80327869],0
u2,1,0.970935,0.001328,[24 20] ; [26 22],[23.91304348 20.08695652] ; [26.08695652 21.91304348],0
p8,1,0.996995,1.4e-05,[67 74] ; [58 64],[67.01520913 73.98479087] ; [57.98479087 64.01520913],0
