Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,9.2e-05,15.298764,[ 3 23] ; [6 1],[ 7.09090909 18.90909091] ; [1.90909091 5.09090909],1
d1,1,0.435061,0.609274,[10 34] ; [ 2 13],[ 8.94915254 35.05084746] ; [ 3.05084746 11.94915254],0
a3,1,0.441706,0.591846,[18 25] ; [8 7],[19.27586207 23.72413793] ; [6.72413793 8.27586207],0
p8,1,0.454258,0.560006,[13 31] ; [6 9],[14.16949153 29.83050847] ; [ 4.83050847 10.16949153],0
v2,1,0.459502,0.547107,[16 27] ; [ 4 11],[14.82758621 28.17241379] ; [5.17241379 9.82758621],0
n5,1,0.502511,0.44963,[25 19] ; [10  5],[26.10169492 17.89830508] ; [8.89830508 6.10169492],0
b2,1,0.504985,0.444444,[ 6 21] ; [3 6],[ 6.75 20.25] ; [2.25 6.75],0
b3,1,0.504985,0.444444,[ 6 21] ; [3 6],[ 6.75 20.25] ; [2.25 6.75],0
p11,1,0.603393,0.269909,[26 18] ; [10  5],[26.84745763 17.15254237] ; [9.15254237 5.84745763],0
n6,1,0.621218,0.244159,[25 19] ; [9 5],[25.79310345 18.20689655] ; [8.20689655 5.79310345],0
r3,1,0.671077,0.180345,[29 14] ; [11  4],[29.65517241 13.34482759] ; [10.34482759  4.65517241],0
n1,1,0.68591,0.163549,[ 5 12] ; [3 5],[ 5.44 11.56] ; [2.56 5.44],0
p7,1,0.69676,0.151865,[18 26] ; [7 8],[18.6440678 25.3559322] ; [6.3559322 8.6440678],0
p6,1,0.770772,0.084894,[ 7 35] ; [ 3 12],[ 7.36842105 34.63157895] ; [ 2.63157895 12.36842105],0
a1,1,0.770949,0.084759,[ 4 40] ; [ 1 14],[ 3.72881356 40.27118644] ; [ 1.27118644 13.72881356],0
r4,1,0.875921,0.02438,[ 8 36] ; [ 3 12],[ 8.20338983 35.79661017] ; [ 2.79661017 12.20338983],0
d3,1,0.935144,0.006622,[20 24] ; [7 8],[20.13559322 23.86440678] ; [6.86440678 8.13559322],0
