Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,4.2e-05,16.759882,[29 22] ; [334  75],[40.24565217 10.75434783] ; [322.75434783  86.24565217],1
p11,1,0.571143,0.320773,[40 11] ; [335  75],[41.48590022  9.51409978] ; [333.51409978  76.48590022],0
p2,1,0.594782,0.282938,[42  9] ; [345  60],[43.28289474  7.71710526] ; [343.71710526  61.28289474],0
p12,1,0.596208,0.280752,[ 4 47] ; [ 41 361],[ 5.06622517 45.93377483] ; [ 39.93377483 362.06622517],0
u2,1,0.617738,0.24906,[9 9] ; [53 41],[9.96428571 8.03571429] ; [52.03571429 41.96428571],0
r3,1,0.66293,0.189983,[50  1] ; [403   5],[50.33333333  0.66666667] ; [402.66666667   5.33333333],0
b1,1,0.668025,0.183921,[16 35] ; [141 269],[17.36876356 33.63123644] ; [139.63123644 270.36876356],0
p9,1,0.687166,0.16217,[44  7] ; [352  47],[44.88  6.12] ; [351.12  47.88],0
v1,1,0.691451,0.157519,[35 16] ; [264 137],[33.73672566 17.26327434] ; [265.26327434 135.73672566],0
n5,1,0.694126,0.154655,[38 13] ; [311  93],[39.11868132 11.88131868] ; [309.88131868  94.11868132],0
d3,1,0.739278,0.110763,[36 15] ; [297 111],[37. 14.] ; [296. 112.],0
u4,1,0.760025,0.093298,[ 1 50] ; [ 11 399],[ 1.32754881 49.67245119] ; [ 10.67245119 399.32754881],0
b5,1,0.783783,0.075291,[31 20] ; [241 169],[30.09110629 20.90889371] ; [241.90889371 168.09110629],0
p4,1,0.788913,0.071675,[31 19] ; [257 145],[31.85840708 18.14159292] ; [256.14159292 145.85840708],0
n1,1,0.792226,0.069391,[4 8] ; [25 42],[4.40506329 7.59493671] ; [24.59493671 42.40506329],0
s3,1,0.799411,0.064571,[29 21] ; [225 176],[28.15964523 21.84035477] ; [225.84035477 175.15964523],0
b2,1,0.810193,0.057685,[13 19] ; [ 98 157],[12.37630662 19.62369338] ; [ 98.62369338 156.37630662],0
b3,1,0.810193,0.057685,[13 19] ; [ 98 157],[12.37630662 19.62369338] ; [ 98.62369338 156.37630662],0
p10,1,0.815874,0.054222,[43  8] ; [343  58],[43.55309735  7.44690265] ; [342.44690265  58.55309735],0
s4,1,0.866689,0.028179,[ 7 44] ; [ 59 345],[ 7.3978022 43.6021978] ; [ 58.6021978 345.3978022],0
a1,1,0.877927,0.023592,[ 3 48] ; [ 22 388],[ 2.76572668 48.23427332] ; [ 22.23427332 387.76572668],0
s1,1,0.897765,0.016509,[ 1 49] ; [  7 394],[ 0.88691796 49.11308204] ; [  7.11308204 393.88691796],0
p7,1,0.898245,0.016353,[35 15] ; [273 122],[34.60674157 15.39325843] ; [273.39325843 121.60674157],0
s5,1,0.914501,0.011527,[17 28] ; [146 249],[16.67045455 28.32954545] ; [146.32954545 248.67045455],0
p3,1,0.929471,0.007834,[28 23] ; [225 180],[28.29605263 22.70394737] ; [224.70394737 180.29605263],0
p1,1,0.943944,0.004944,[ 4 47] ; [ 33 373],[ 4.12910284 46.87089716] ; [ 32.87089716 373.12910284],0
n4,1,0.960455,0.002458,[41 10] ; [326  81],[40.86681223 10.13318777] ; [326.13318777  80.86681223],0
d4,1,1.0,0.0,[44  7] ; [352  56],[44.  7.] ; [352.  56.],0
