Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.3e-05,19.015263,[30 40] ; [ 9 70],[18.32214765 51.67785235] ; [20.67785235 58.32214765],1
s5,1,0.202385,1.625077,[26 43] ; [22 57],[22.37837838 46.62162162] ; [25.62162162 53.37837838],0
s8,1,0.206218,1.597777,[23 49] ; [18 61],[19.54966887 52.45033113] ; [21.45033113 57.54966887],0
d5,1,0.218151,1.516492,[54 18] ; [52 27],[50.54304636 21.45695364] ; [55.45695364 23.54304636],0
a4,1,0.257999,1.279461,[24 48] ; [20 60],[20.84210526 51.15789474] ; [23.15789474 56.84210526],0
n1,1,0.301654,1.066866,[ 4 22] ; [ 9 25],[ 5.63333333 20.36666667] ; [ 7.36666667 26.63333333],0
s2,1,0.333267,0.936161,[32 40] ; [29 50],[29.08609272 42.91390728] ; [31.91390728 47.08609272],0
b4,1,0.337382,0.920355,[46 26] ; [45 35],[43.10526316 28.89473684] ; [47.89473684 32.10526316],0
a1,1,0.363875,0.824474,[ 1 71] ; [ 3 77],[ 1.89473684 70.10526316] ; [ 2.10526316 77.89473684],0
p4,1,0.36973,0.804573,[34 38] ; [32 48],[31.26315789 40.73684211] ; [34.73684211 45.26315789],0
p3,1,0.417376,0.657692,[27 45] ; [25 55],[24.63157895 47.36842105] ; [27.36842105 52.63157895],0
s7,1,0.492096,0.47194,[24 47] ; [22 55],[22.06756757 48.93243243] ; [23.93243243 53.06756757],0
s1,1,0.498949,0.457171,[ 2 70] ; [ 1 79],[ 1.42105263 70.57894737] ; [ 1.57894737 78.42105263],0
p2,1,0.533832,0.387092,[56 16] ; [58 21],[54.35761589 17.64238411] ; [59.64238411 19.35761589],0
p5,1,0.607818,0.263364,[ 4 68] ; [ 3 76],[ 3.33774834 68.66225166] ; [ 3.66225166 75.33774834],0
u3,1,0.627925,0.234885,[13  9] ; [20 18],[12.1  9.9] ; [20.9 17.1],0
d2,1,0.721955,0.126627,[25 47] ; [30 50],[26.05263158 45.94736842] ; [28.94736842 51.05263158],0
s4,1,0.726722,0.122143,[18 54] ; [22 58],[18.94736842 53.05263158] ; [21.05263158 58.94736842],0
n5,1,0.766828,0.087928,[28 44] ; [33 47],[28.89473684 43.10526316] ; [32.10526316 47.89473684],0
p1,1,0.793532,0.068501,[ 3 69] ; [ 4 75],[ 3.33774834 68.66225166] ; [ 3.66225166 75.33774834],0
n2,1,0.829487,0.04638,[19  6] ; [25  9],[18.6440678  6.3559322] ; [25.3559322  8.6440678],0
b2,1,0.883513,0.021467,[ 9 23] ; [11 26],[ 9.27536232 22.72463768] ; [10.72463768 26.27536232],0
b3,1,0.883513,0.021467,[ 9 23] ; [11 26],[ 9.27536232 22.72463768] ; [10.72463768 26.27536232],0
n3,1,0.890763,0.018862,[15 10] ; [21 13],[15.25423729  9.74576271] ; [20.74576271 13.25423729],0
b5,1,0.986002,0.000308,[44 28] ; [49 31],[44.05263158 27.94736842] ; [48.94736842 31.05263158],0
