Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,120.270715,[104  49] ; [ 32 203],[53.62886598 99.37113402] ; [ 82.37113402 152.62886598],1
p8,1,0.240408,1.3782,[60 89] ; [ 80 153],[54.60732984 94.39267016] ; [ 85.39267016 147.60732984],0
u4,1,0.334893,0.929885,[  4 150] ; [  3 233],[  2.76410256 151.23589744] ; [  4.23589744 231.76410256],0
p2,1,0.364524,0.822248,[119  35] ; [172  63],[115.20308483  38.79691517] ; [175.79691517  59.20308483],0
a6,1,0.394577,0.72479,[100  54] ; [163  73],[103.85128205  50.14871795] ; [159.14871795  76.85128205],0
b1,1,0.528817,0.396665,[55 99] ; [ 77 159],[ 52.12307692 101.87692308] ; [ 79.87692308 156.12307692],0
p11,1,0.530132,0.394138,[116  38] ; [171  65],[113.32820513  40.67179487] ; [173.67179487  62.32820513],0
r3,1,0.54497,0.366405,[144   8] ; [220  16],[142.59793814   9.40206186] ; [221.40206186  14.59793814],0
p12,1,0.655944,0.198488,[  8 145] ; [ 10 225],[  7.09793814 145.90206186] ; [ 10.90206186 224.09793814],0
a1,1,0.659544,0.194077,[  8 146] ; [ 10 226],[  7.10769231 146.89230769] ; [ 10.89230769 225.10769231],0
n3,1,0.673003,0.178109,[26 17] ; [47 26],[27.06034483 15.93965517] ; [45.93965517 27.06034483],0
b4,1,0.736728,0.113024,[92 62] ; [145  91],[93.58461538 60.41538462] ; [143.41538462  92.58461538],0
n2,1,0.740997,0.109252,[32 12] ; [51 22],[31.21367521 12.78632479] ; [51.78632479 21.21367521],0
p1,1,0.762718,0.091152,[  5 149] ; [  9 226],[  5.54241645 148.45758355] ; [  8.45758355 226.54241645],0
r4,1,0.931477,0.007394,[131  23] ; [200  36],[130.7025641  23.2974359] ; [200.2974359  35.7025641],0
a7,1,0.982471,0.000483,[115  39] ; [176  60],[114.90769231  39.09230769] ; [176.09230769  59.90769231],0
