Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.001442,10.151363,[16 24] ; [15 84],[ 8.92086331 31.07913669] ; [22.07913669 76.92086331],0
s2,1,0.17714,1.82146,[17 24] ; [30 71],[13.57042254 27.42957746] ; [33.42957746 67.57042254],0
a2,1,0.279727,1.168414,[ 4 37] ; [ 5 97],[ 2.58041958 38.41958042] ; [ 6.41958042 95.58041958],0
d2,1,0.31732,0.999962,[21 20] ; [42 58],[18.31914894 22.68085106] ; [44.68085106 55.31914894],0
b5,1,0.351959,0.86638,[15 26] ; [46 56],[17.48951049 23.51048951] ; [43.51048951 58.48951049],0
p3,1,0.371966,0.797085,[19 22] ; [39 63],[16.62937063 24.37062937] ; [41.37062937 60.62937063],0
d1,1,0.371966,0.797085,[19 22] ; [39 63],[16.62937063 24.37062937] ; [41.37062937 60.62937063],0
a1,1,0.388127,0.744801,[ 1 40] ; [ 6 96],[ 2.00699301 38.99300699] ; [ 4.99300699 97.00699301],0
s1,1,0.388127,0.744801,[ 1 40] ; [ 6 96],[ 2.00699301 38.99300699] ; [ 4.99300699 97.00699301],0
u1,1,0.394752,0.724255,[ 3 38] ; [ 4 98],[ 2.00699301 38.99300699] ; [ 4.99300699 97.00699301],0
s5,1,0.455265,0.557512,[12 26] ; [25 74],[10.26277372 27.73722628] ; [26.73722628 72.26277372],0
s4,1,0.528175,0.397902,[ 7 34] ; [22 79],[ 8.37323944 32.62676056] ; [20.62676056 80.37323944],0
s7,1,0.55422,0.349811,[17 21] ; [38 59],[15.48148148 22.51851852] ; [39.51851852 57.48148148],0
p2,1,0.573727,0.316485,[26 15] ; [69 32],[27.42957746 13.57042254] ; [67.57042254 33.42957746],0
s3,1,0.592034,0.287179,[20 20] ; [45 55],[18.57142857 21.42857143] ; [46.42857143 53.57142857],0
d3,1,0.612087,0.257147,[15 26] ; [42 60],[16.34265734 24.65734266] ; [40.65734266 61.34265734],0
a4,1,0.617917,0.248806,[14 27] ; [39 62],[15.3028169 25.6971831] ; [37.6971831 63.3028169],0
u3,1,0.63704,0.222635,[3 8] ; [17 32],[3.66666667 7.33333333] ; [16.33333333 32.66666667],0
v4,1,0.726155,0.122671,[34  7] ; [82 20],[33.25874126  7.74125874] ; [82.74125874 19.25874126],0
b4,1,0.732051,0.117237,[23 18] ; [54 48],[22.07692308 18.92307692] ; [54.92307692 47.07692308],0
a8,1,0.755509,0.09696,[ 3 36] ; [ 9 87],[ 3.46666667 35.53333333] ; [ 8.53333333 87.46666667],0
u2,1,0.767896,0.087101,[5 5] ; [22 27],[4.57627119 5.42372881] ; [22.42372881 26.57627119],0
n4,1,0.78661,0.073287,[28 13] ; [72 30],[28.67132867 12.32867133] ; [71.32867133 30.67132867],0
p10,1,0.812637,0.056181,[25 16] ; [60 42],[24.37062937 16.62937063] ; [60.62937063 41.37062937],0
n1,1,0.820171,0.051677,[4 9] ; [11 29],[3.67924528 9.32075472] ; [11.32075472 28.67924528],0
s8,1,0.877533,0.023746,[13 28] ; [31 71],[12.61538462 28.38461538] ; [31.38461538 70.61538462],0
p6,1,0.906497,0.013797,[12 28] ; [29 71],[11.71428571 28.28571429] ; [29.28571429 70.71428571],0
n6,1,0.912923,0.011958,[31 10] ; [78 24],[31.25174825  9.74825175] ; [77.74825175 24.25174825],0
p9,1,0.922988,0.009345,[27 14] ; [65 35],[26.75177305 14.24822695] ; [65.24822695 34.75177305],0
b2,1,0.951999,0.003624,[ 9 19] ; [20 41],[ 9.12359551 18.87640449] ; [19.87640449 41.12359551],0
b3,1,0.951999,0.003624,[ 9 19] ; [20 41],[ 9.12359551 18.87640449] ; [19.87640449 41.12359551],0
a6,1,0.974855,0.000994,[17 24] ; [42 60],[16.91608392 24.08391608] ; [42.08391608 59.91608392],0
b1,1,0.979362,0.000669,[20 21] ; [50 52],[20.06993007 20.93006993] ; [49.93006993 52.06993007],0
s6,1,0.982915,0.000459,[21 20] ; [50 48],[20.94244604 20.05755396] ; [50.05755396 47.94244604],0
p11,1,0.984783,0.000364,[27 14] ; [67 35],[26.95104895 14.04895105] ; [67.04895105 34.95104895],0
