Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.3e-05,17.959232,[55  6] ; [20 18],[46.21212121 14.78787879] ; [28.78787879  9.21212121],1
p8,1,0.24238,1.366695,[23 38] ; [10 28],[20.33333333 40.66666667] ; [12.66666667 25.33333333],0
b4,1,0.242659,1.365081,[36 26] ; [18 21],[33.14851485 28.85148515] ; [20.85148515 18.14851485],0
a2,1,0.254897,1.296264,[ 5 57] ; [ 1 38],[ 3.68316832 58.31683168] ; [ 2.31683168 36.68316832],0
a6,1,0.256944,1.285147,[31 31] ; [15 24],[28.23762376 33.76237624] ; [17.76237624 21.23762376],0
s1,1,0.279253,1.170721,[ 3 59] ; [ 4 34],[ 4.34 57.66] ; [ 2.66 35.34],0
a5,1,0.281786,1.158458,[29 33] ; [14 25],[26.3960396 35.6039604] ; [16.6039604 22.3960396],0
p6,1,0.306464,1.045855,[17 45] ; [ 7 31],[14.88 47.12] ; [ 9.12 28.88],0
b1,1,0.312995,1.017997,[27 35] ; [21 18],[29.46534653 32.53465347] ; [18.53465347 20.46534653],0
p3,1,0.320742,0.985917,[20 42] ; [ 9 30],[17.8019802 44.1980198] ; [11.1980198 27.8019802],0
a8,1,0.327252,0.95974,[ 7 52] ; [ 2 33],[ 5.64893617 53.35106383] ; [ 3.35106383 31.64893617],0
n4,1,0.394471,0.725116,[38 24] ; [20 18],[35.96 26.04] ; [22.04 15.96],0
p4,1,0.414866,0.664814,[22 39] ; [11 28],[20.13 40.87] ; [12.87 26.13],0
v3,1,0.491606,0.47301,[17 44] ; [ 8 29],[15.56122449 45.43877551] ; [ 9.43877551 27.56122449],0
p12,1,0.557941,0.343281,[ 3 58] ; [ 1 38],[ 2.44 58.56] ; [ 1.56 37.44],0
s5,1,0.579738,0.306658,[ 5 56] ; [ 2 36],[ 4.31313131 56.68686869] ; [ 2.68686869 35.31313131],0
u1,1,0.633162,0.227798,[ 2 60] ; [ 2 37],[ 2.45544554 59.54455446] ; [ 1.54455446 37.45544554],0
s2,1,0.6536,0.201391,[12 50] ; [ 9 30],[12.89108911 49.10891089] ; [ 8.10891089 30.89108911],0
d2,1,0.724978,0.123773,[14 48] ; [10 29],[14.73267327 47.26732673] ; [ 9.26732673 29.73267327],0
b2,1,0.756201,0.096394,[17 26] ; [10 13],[17.59090909 25.40909091] ; [ 9.40909091 13.59090909],0
b3,1,0.756201,0.096394,[17 26] ; [10 13],[17.59090909 25.40909091] ; [ 9.40909091 13.59090909],0
b5,1,0.797571,0.065788,[35 27] ; [21 18],[34.37623762 27.62376238] ; [21.62376238 17.37623762],0
n1,1,0.84519,0.038126,[ 8 10] ; [ 7 10],[ 7.71428571 10.28571429] ; [7.28571429 9.71428571],0
s7,1,0.865041,0.028887,[12 47] ; [ 7 30],[11.67708333 47.32291667] ; [ 7.32291667 29.67708333],0
s4,1,0.924434,0.008997,[ 6 56] ; [ 4 35],[ 6.13861386 55.86138614] ; [ 3.86138614 35.13861386],0
d1,1,0.947936,0.004264,[ 3 59] ; [ 2 37],[ 3.06930693 58.93069307] ; [ 1.93069307 37.06930693],0
d3,1,0.9663,0.001785,[22 40] ; [14 25],[22.0990099 39.9009901] ; [13.9009901 25.0990099],0
n5,1,0.989774,0.000164,[37 24] ; [23 15],[36.96969697 24.03030303] ; [23.03030303 14.96969697],0
