Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,6.7e-05,15.884265,[38  4] ; [15 16],[30.49315068 11.50684932] ; [22.50684932  8.49315068],1
v4,1,0.375207,0.786348,[29 12] ; [24  6],[30.6056338 10.3943662] ; [22.3943662  7.6056338],0
p8,1,0.387534,0.746667,[14 28] ; [13 17],[15.75 26.25] ; [11.25 18.75],0
b1,1,0.458517,0.549513,[18 24] ; [16 15],[19.56164384 22.43835616] ; [14.43835616 16.56164384],0
p1,1,0.45952,0.547064,[ 5 37] ; [ 2 28],[ 4.08333333 37.91666667] ; [ 2.91666667 27.08333333],0
a7,1,0.467036,0.52898,[16 26] ; [14 16],[17.5 24.5] ; [12.5 17.5],0
a3,1,0.472192,0.516842,[17 25] ; [10 21],[15.53424658 26.46575342] ; [11.46575342 19.53424658],0
b4,1,0.541953,0.371932,[22 20] ; [14 17],[20.71232877 21.28767123] ; [15.28767123 15.71232877],0
a5,1,0.548027,0.360864,[15 27] ; [ 9 22],[13.80821918 28.19178082] ; [10.19178082 20.80821918],0
d2,1,0.564208,0.332471,[12 30] ; [ 7 24],[10.93150685 31.06849315] ; [ 8.06849315 22.93150685],0
n2,1,0.581206,0.304289,[9 5] ; [7 6],[8.2962963 5.7037037] ; [7.7037037 5.2962963],0
b3,1,0.588571,0.292581,[ 7 21] ; [4 8],[ 7.7 20.3] ; [3.3 8.7],0
b2,1,0.588571,0.292581,[ 7 21] ; [4 8],[ 7.7 20.3] ; [3.3 8.7],0
d5,1,0.597492,0.278795,[18 24] ; [11 19],[16.91666667 25.08333333] ; [12.08333333 17.91666667],0
s3,1,0.606309,0.265585,[17 24] ; [11 20],[15.94444444 25.05555556] ; [12.05555556 18.94444444],0
p10,1,0.617354,0.249604,[23 18] ; [18 11],[24.01428571 16.98571429] ; [16.98571429 12.01428571],0
s8,1,0.71192,0.136367,[ 8 34] ; [ 7 24],[ 8.63013699 33.36986301] ; [ 6.36986301 24.63013699],0
n3,1,0.744785,0.105965,[10  4] ; [10  3],[10.37037037  3.62962963] ; [9.62962963 3.37037037],0
s1,1,0.753853,0.098321,[ 2 40] ; [ 2 29],[ 2.30136986 39.69863014] ; [ 1.69863014 29.30136986],0
p9,1,0.766242,0.088384,[28 12] ; [20 10],[27.42857143 12.57142857] ; [20.57142857  9.42857143],0
b5,1,0.778635,0.079016,[23 19] ; [18 13],[23.5890411 18.4109589] ; [17.4109589 13.5890411],0
p11,1,0.778635,0.079016,[23 19] ; [18 13],[23.5890411 18.4109589] ; [17.4109589 13.5890411],0
p7,1,0.780249,0.077838,[21 21] ; [16 14],[21.58333333 20.41666667] ; [15.41666667 14.58333333],0
s2,1,0.787857,0.072412,[11 31] ; [ 9 22],[11.50684932 30.49315068] ; [ 8.49315068 22.50684932],0
r4,1,0.789773,0.071078,[19 23] ; [15 16],[19.56164384 22.43835616] ; [14.43835616 16.56164384],0
v2,1,0.812712,0.056135,[10 30] ; [ 7 24],[ 9.57746479 30.42253521] ; [ 7.42253521 23.57746479],0
d3,1,0.846616,0.037418,[ 8 34] ; [ 5 24],[ 7.69014085 34.30985915] ; [ 5.30985915 23.69014085],0
p6,1,0.857917,0.03205,[10 31] ; [ 7 24],[ 9.68055556 31.31944444] ; [ 7.31944444 23.68055556],0
r2,1,0.922326,0.009507,[30 11] ; [23  8],[30.18055556 10.81944444] ; [22.81944444  8.18055556],0
p4,1,0.957441,0.002848,[16 26] ; [12 19],[16.10958904 25.89041096] ; [11.89041096 19.10958904],0
a8,1,0.96265,0.002193,[ 4 36] ; [ 3 26],[ 4.05797101 35.94202899] ; [ 2.94202899 26.05797101],0
p2,1,1.0,0.0,[28 14] ; [20 10],[28. 14.] ; [20. 10.],0
