Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1.8e-05,18.436987,[249  82] ; [20 25],[236.80585106  94.19414894] ; [32.19414894 12.80585106],1
b4,1,0.37225,0.796139,[205 142] ; [24 22],[202.19592875 144.80407125] ; [26.80407125 19.19592875],0
p1,1,0.395726,0.721275,[ 37 307] ; [ 3 42],[ 35.37275064 308.62724936] ; [ 4.62724936 40.37275064],0
p11,1,0.426216,0.633112,[277  70] ; [39  7],[279.01272265  67.98727735] ; [36.98727735  9.01272265],0
a8,1,0.428382,0.627207,[ 45 275] ; [ 8 35],[ 46.72176309 273.27823691] ; [ 6.27823691 36.72176309],0
p2,1,0.47925,0.500569,[293  52] ; [40  5],[294.57692308  50.42307692] ; [38.42307692  6.57692308],0
u4,1,0.488327,0.480211,[ 15 332] ; [ 1 45],[ 14.12722646 332.87277354] ; [ 1.87277354 44.12722646],0
n3,1,0.497243,0.460816,[48 21] ; [8 2],[48.91139241 20.08860759] ; [7.08860759 2.91139241],0
d3,1,0.512179,0.429614,[247  99] ; [30 15],[245.1202046 100.8797954] ; [31.8797954 13.1202046],0
u2,1,0.541637,0.372515,[42 34] ; [7 8],[40.92307692 35.07692308] ; [8.07692308 6.92307692],0
n4,1,0.5625,0.335394,[290  56] ; [37  9],[288.62755102  57.37244898] ; [38.37244898  7.62755102],0
b1,1,0.563833,0.333112,[136 211] ; [16 30],[134.2086514 212.7913486] ; [17.7913486 28.2086514],0
p3,1,0.603992,0.269017,[191 155] ; [23 22],[189.37084399 156.62915601] ; [24.62915601 20.37084399],0
p10,1,0.605323,0.267042,[300  44] ; [38  7],[298.89974293  45.10025707] ; [39.10025707  5.89974293],0
n1,1,0.617908,0.248819,[29 40] ; [3 6],[28.30769231 40.69230769] ; [3.69230769 5.30769231],0
p7,1,0.641537,0.216738,[226 108] ; [32 13],[227.36675462 106.63324538] ; [30.63324538 14.36675462],0
n5,1,0.665961,0.186363,[288  59] ; [37  9],[286.95928753  60.04071247] ; [38.04071247  7.95928753],0
v2,1,0.678142,0.172224,[194 140] ; [27 17],[195.27513228 138.72486772] ; [25.72486772 18.27513228],0
v3,1,0.710671,0.137608,[150 187] ; [17 24],[148.88624339 188.11375661] ; [18.11375661 22.88624339],0
r2,1,0.740227,0.109927,[334  12] ; [43  2],[333.6112532  12.3887468] ; [43.3887468  1.6112532],0
a1,1,0.900481,0.015638,[ 21 326] ; [ 3 43],[ 21.19083969 325.80916031] ; [ 2.80916031 43.19083969],0
a7,1,0.933671,0.006927,[255  90] ; [33 12],[254.76923077  90.23076923] ; [33.23076923 11.76923077],0
n2,1,0.948409,0.004187,[53 16] ; [7 2],[53.07692308 15.92307692] ; [6.92307692 2.07692308],0
a6,1,0.969019,0.001508,[226 119] ; [30 16],[225.88235294 119.11764706] ; [30.11764706 15.88235294],0
