Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,27.533253,[10 17] ; [82 13],[20.36065574  6.63934426] ; [71.63934426 23.36065574],1
s3,1,0.194167,1.685714,[11 17] ; [48 42],[14. 14.] ; [45. 45.],0
p3,1,0.237729,1.394009,[10 18] ; [45 48],[12.72727273 15.27272727] ; [42.27272727 50.72727273],0
r3,1,0.257052,1.284565,[27  1] ; [85 10],[25.49593496  2.50406504] ; [86.50406504  8.49593496],0
p2,1,0.351173,0.869214,[19  9] ; [72 22],[20.8852459  7.1147541] ; [70.1147541 23.8852459],0
a8,1,0.394443,0.725201,[ 2 26] ; [11 73],[ 3.25 24.75] ; [ 9.75 74.25],0
p11,1,0.404351,0.695347,[20  8] ; [75 20],[21.62601626  6.37398374] ; [73.37398374 21.62601626],0
p4,1,0.407856,0.685042,[13 15] ; [52 42],[14.91803279 13.08196721] ; [50.08196721 43.91803279],0
p10,1,0.454234,0.560065,[19  9] ; [69 23],[20.53333333  7.46666667] ; [67.46666667 24.53333333],0
p12,1,0.460237,0.545319,[ 1 27] ; [ 7 86],[ 1.85123967 26.14876033] ; [ 6.14876033 86.85123967],0
s5,1,0.48604,0.485282,[ 6 22] ; [25 64],[ 7.41880342 20.58119658] ; [23.58119658 65.41880342],0
a4,1,0.562247,0.335828,[ 6 22] ; [25 68],[ 7.17355372 20.82644628] ; [23.82644628 69.17355372],0
a2,1,0.59592,0.281193,[ 2 26] ; [10 85],[ 2.73170732 25.26829268] ; [ 9.26829268 85.73170732],0
s2,1,0.601594,0.272598,[12 16] ; [34 57],[10.82352941 17.17647059] ; [35.17647059 55.82352941],0
a1,1,0.658487,0.195367,[ 1 27] ; [ 2 93],[ 0.68292683 27.31707317] ; [ 2.31707317 92.68292683],0
d5,1,0.658673,0.19514,[14 14] ; [43 52],[12.97560976 15.02439024] ; [44.02439024 50.97560976],0
u3,1,0.659996,0.193529,[7 5] ; [22 21],[6.32727273 5.67272727] ; [22.67272727 20.32727273],0
v4,1,0.707366,0.140923,[27  1] ; [89  5],[26.62295082  1.37704918] ; [89.37704918  4.62295082],0
b1,1,0.710346,0.137931,[12 16] ; [37 58],[11.15447154 16.84552846] ; [37.84552846 57.15447154],0
u2,1,0.720612,0.127907,[6 6] ; [19 24],[5.45454545 6.54545455] ; [19.54545455 23.45454545],0
d2,1,0.760537,0.092888,[ 6 22] ; [23 72],[ 6.60162602 21.39837398] ; [22.39837398 72.60162602],0
p9,1,0.794629,0.067758,[20  8] ; [68 24],[20.53333333  7.46666667] ; [67.46666667 24.53333333],0
a7,1,0.799197,0.064712,[19  9] ; [62 33],[18.43902439  9.56097561] ; [62.56097561 32.43902439],0
n2,1,0.803708,0.061778,[12  2] ; [19  4],[11.72972973  2.27027027] ; [19.27027027  3.72972973],0
s8,1,0.853777,0.033967,[10 18] ; [35 58],[10.41322314 17.58677686] ; [34.58677686 58.41322314],0
s6,1,0.872485,0.025761,[18 10] ; [60 31],[18.35294118  9.64705882] ; [59.64705882 31.35294118],0
r4,1,0.876057,0.024327,[26  2] ; [89  6],[26.17886179  1.82113821] ; [88.82113821  6.17886179],0
a3,1,0.908522,0.013203,[16 12] ; [52 41],[15.73553719 12.26446281] ; [52.26446281 40.73553719],0
p7,1,0.917947,0.010613,[16 12] ; [53 38],[16.23529412 11.76470588] ; [52.76470588 38.23529412],0
s1,1,0.91913,0.010308,[ 2 26] ; [ 6 85],[ 1.88235294 26.11764706] ; [ 6.11764706 84.88235294],0
s7,1,0.93695,0.006257,[11 15] ; [38 50],[11.1754386 14.8245614] ; [37.8245614 50.1754386],0
v2,1,0.959801,0.00254,[13 13] ; [44 45],[12.88695652 13.11304348] ; [44.11304348 44.88695652],0
