Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.014058,6.030842,[15  9] ; [ 8 20],[10.61538462 13.38461538] ; [12.38461538 15.61538462],0
b5,1,0.606498,0.265306,[12 12] ; [12 16],[11.07692308 12.92307692] ; [12.92307692 15.07692308],0
u2,1,0.656005,0.198413,[3 6] ; [ 4 12],[2.52 6.48] ; [ 4.48 11.52],0
r1,1,0.660059,0.193452,[10 14] ; [10 18],[ 9.23076923 14.76923077] ; [10.76923077 17.23076923],0
n3,1,0.664558,0.188034,[5 6] ; [4 7],[4.5 6.5] ; [4.5 6.5],0
n4,1,0.685622,0.163866,[15  9] ; [19  9],[15.69230769  8.30769231] ; [18.30769231  9.69230769],0
s7,1,0.69627,0.152381,[ 3 18] ; [ 5 22],[ 3.5 17.5] ; [ 4.5 22.5],0
p10,1,0.735359,0.114247,[10 14] ; [10 17],[ 9.41176471 14.58823529] ; [10.58823529 16.41176471],0
p2,1,0.75596,0.096591,[ 9 15] ; [ 9 18],[ 8.47058824 15.52941176] ; [ 9.52941176 17.47058824],0
s6,1,0.776011,0.080952,[ 8 16] ; [ 8 19],[ 7.52941176 16.47058824] ; [ 8.47058824 18.52941176],0
n1,1,0.827435,0.047521,[5 6] ; [6 6],[5.26086957 5.73913043] ; [5.73913043 6.26086957],0
s5,1,0.835366,0.043191,[ 5 19] ; [ 5 22],[ 4.70588235 19.29411765] ; [ 5.29411765 21.70588235],0
p5,1,0.837384,0.042124,[ 2 21] ; [ 2 26],[ 1.80392157 21.19607843] ; [ 2.19607843 25.80392157],0
n6,1,0.877192,0.02388,[11 12] ; [14 14],[11.2745098 11.7254902] ; [13.7254902 14.2745098],0
n5,1,0.893948,0.017772,[15  9] ; [18 10],[15.23076923  8.76923077] ; [17.76923077 10.23076923],0
d2,1,0.894949,0.017436,[12 12] ; [13 14],[11.76470588 12.23529412] ; [13.23529412 13.76470588],0
u3,1,0.918299,0.010522,[1 8] ; [ 2 14],[1.08 7.92] ; [ 1.92 14.08],0
p9,1,0.920746,0.009899,[11 13] ; [12 15],[10.82352941 13.17647059] ; [12.17647059 14.82352941],0
d1,1,0.930971,0.007504,[10 14] ; [12 16],[10.15384615 13.84615385] ; [11.84615385 16.15384615],0
p12,1,0.932248,0.007228,[ 1 23] ; [ 1 26],[ 0.94117647 23.05882353] ; [ 1.05882353 25.94117647],0
r2,1,0.945311,0.004705,[13 10] ; [15 12],[12.88 10.12] ; [15.12 11.88],0
