Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.135554,[92 16] ; [10 13],[84.09160305 23.90839695] ; [17.90839695  5.09160305],1
p7,1,0.13917,2.187109,[70 35] ; [11 11],[66.96850394 38.03149606] ; [14.03149606  7.96850394],0
r4,1,0.147684,2.096008,[93 15] ; [17  6],[90.6870229 17.3129771] ; [19.3129771  3.6870229],0
d2,1,0.157637,1.996749,[84 23] ; [21  2],[86.42307692 20.57692308] ; [18.57692308  4.42307692],0
s8,1,0.176755,1.824701,[59 49] ; [ 9 14],[56.0610687 51.9389313] ; [11.9389313 11.0610687],0
p3,1,0.223363,1.482635,[59 48] ; [ 9 13],[56.40310078 50.59689922] ; [11.59689922 10.40310078],0
a3,1,0.236342,1.402279,[91 17] ; [17  6],[89.03816794 18.96183206] ; [18.96183206  4.03816794],0
r1,1,0.243192,1.361995,[83 25] ; [15  8],[80.79389313 27.20610687] ; [17.20610687  5.79389313],0
s4,1,0.252632,1.30869,[21 86] ; [ 7 16],[23.04615385 83.95384615] ; [ 4.95384615 18.04615385],0
b4,1,0.276266,1.185365,[57 51] ; [15  8],[59.35877863 48.64122137] ; [12.64122137 10.35877863],0
r3,1,0.28188,1.158003,[101   7] ; [20  3],[99.75572519  8.24427481] ; [21.24427481  1.75572519],0
b5,1,0.314242,1.012761,[44 64] ; [12 11],[46.16793893 61.83206107] ; [ 9.83206107 13.16793893],0
p6,1,0.335867,0.926143,[46 60] ; [ 6 13],[44.096 61.904] ; [ 7.904 11.096],0
s2,1,0.350057,0.873251,[58 49] ; [10 13],[55.96923077 51.03076923] ; [12.03076923 10.96923077],0
p1,1,0.376203,0.783072,[  8 100] ; [ 3 20],[ 9.06870229 98.93129771] ; [ 1.93129771 21.06870229],0
u1,1,0.378221,0.776475,[11 97] ; [ 1 22],[ 9.89312977 98.10687023] ; [ 2.10687023 20.89312977],0
n2,1,0.378556,0.775385,[14 12] ; [7 3],[15.16666667 10.83333333] ; [5.83333333 4.16666667],0
u3,1,0.408451,0.683304,[8 9] ; [4 2],[8.86956522 8.13043478] ; [3.13043478 2.86956522],0
s6,1,0.424698,0.637277,[72 34] ; [13  9],[70.390625 35.609375] ; [14.609375  7.390625],0
r2,1,0.553348,0.351353,[99  6] ; [20  2],[98.38582677  6.61417323] ; [20.61417323  1.38582677],0
n3,1,0.58018,0.305944,[15 10] ; [7 3],[15.71428571  9.28571429] ; [6.28571429 3.71428571],0
b2,1,0.611974,0.25731,[32 40] ; [ 6 10],[31.09090909 40.90909091] ; [6.90909091 9.09090909],0
b3,1,0.611974,0.25731,[32 40] ; [ 6 10],[31.09090909 40.90909091] ; [6.90909091 9.09090909],0
s3,1,0.615397,0.25239,[59 48] ; [14  9],[60.08461538 46.91538462] ; [12.91538462 10.08461538],0
d3,1,0.626107,0.237377,[76 32] ; [15  8],[75.02290076 32.97709924] ; [15.97709924  7.02290076],0
a4,1,0.743286,0.10726,[69 38] ; [14  9],[68.31538462 38.68461538] ; [14.68461538  8.31538462],0
v2,1,0.88684,0.02025,[57 50] ; [11  9],[57.29133858 49.70866142] ; [10.70866142  9.29133858],0
a2,1,0.893528,0.017914,[13 95] ; [ 3 20],[13.19083969 94.80916031] ; [ 2.80916031 20.19083969],0
v1,1,0.919614,0.010185,[56 49] ; [12 11],[55.78125 49.21875] ; [12.21875 10.78125],0
u4,1,0.953192,0.003446,[  5 103] ; [ 1 22],[  4.94656489 103.05343511] ; [ 1.05343511 21.94656489],0
p12,1,0.992927,7.9e-05,[  5 101] ; [ 1 20],[  5.00787402 100.99212598] ; [ 0.99212598 20.00787402],0
