Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,20.928044,[ 14 107] ; [20 26],[24.63473054 96.36526946] ; [ 9.36526946 36.63473054],1
u2,1,0.197718,1.659149,[23 33] ; [10  7],[25.31506849 30.68493151] ; [7.68493151 9.31506849],0
d4,1,0.217563,1.520371,[83 38] ; [36 10],[86.22155689 34.77844311] ; [32.77844311 13.22155689],0
a3,1,0.238113,1.391732,[64 57] ; [29 17],[67.38323353 53.61676647] ; [25.61676647 20.38323353],0
r1,1,0.25168,1.313956,[81 40] ; [35 11],[84.04790419 36.95209581] ; [31.95209581 14.04790419],0
v4,1,0.28152,1.15974,[96 25] ; [39  6],[98.40361446 22.59638554] ; [36.59638554  8.40361446],0
a5,1,0.296957,1.087809,[66 56] ; [29 17],[68.98809524 53.01190476] ; [26.01190476 19.98809524],0
v2,1,0.301768,1.066366,[46 72] ; [22 24],[48.92682927 69.07317073] ; [19.07317073 26.92682927],0
r4,1,0.302058,1.065086,[80 42] ; [34 12],[82.78571429 39.21428571] ; [31.21428571 14.78571429],0
d1,1,0.339944,0.910642,[51 71] ; [23 23],[53.73809524 68.26190476] ; [20.26190476 25.73809524],0
n5,1,0.354519,0.857216,[64 57] ; [28 18],[66.65868263 54.34131737] ; [25.34131737 20.65868263],0
b1,1,0.413498,0.668721,[63 59] ; [27 19],[65.35714286 56.64285714] ; [24.64285714 21.35714286],0
p7,1,0.439837,0.596708,[52 68] ; [23 23],[54.21686747 65.78313253] ; [20.78313253 25.21686747],0
a4,1,0.451033,0.568055,[37 83] ; [17 29],[39.03614458 80.96385542] ; [14.96385542 31.03614458],0
a7,1,0.474703,0.511007,[71 49] ; [30 16],[73.01204819 46.98795181] ; [27.98795181 18.01204819],0
a6,1,0.505601,0.443161,[70 52] ; [29 17],[71.89285714 50.10714286] ; [27.10714286 18.89285714],0
b5,1,0.529332,0.395674,[65 57] ; [27 19],[66.80952381 55.19047619] ; [25.19047619 20.80952381],0
s1,1,0.707429,0.140858,[  6 113] ; [ 3 43],[  6.49090909 112.50909091] ; [ 2.50909091 43.49090909],0
p1,1,0.717117,0.131272,[ 10 112] ; [ 3 43],[  9.44047619 112.55952381] ; [ 3.55952381 42.44047619],0
b2,1,0.761365,0.092227,[21 48] ; [12 24],[21.68571429 47.31428571] ; [11.31428571 24.68571429],0
b3,1,0.761365,0.092227,[21 48] ; [12 24],[21.68571429 47.31428571] ; [11.31428571 24.68571429],0
d2,1,0.830938,0.045582,[57 63] ; [21 25],[56.38554217 63.61445783] ; [21.61445783 24.38554217],0
a1,1,0.848116,0.036681,[  7 115] ; [ 3 43],[  7.26190476 114.73809524] ; [ 2.73809524 43.26190476],0
n3,1,0.864411,0.02916,[27 19] ; [9 7],[26.70967742 19.29032258] ; [9.29032258 6.70967742],0
p3,1,0.920033,0.010079,[34 87] ; [13 32],[34.25903614 86.74096386] ; [12.74096386 32.25903614],0
b4,1,0.942685,0.005169,[75 47] ; [28 18],[74.79761905 47.20238095] ; [28.20238095 17.79761905],0
