Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,65.656566,[ 2 31] ; [128  34],[22. 11.] ; [108.  54.],1
u3,1,0.587042,0.294987,[8 3] ; [21  5],[8.62162162 2.37837838] ; [20.37837838  5.62162162],0
n6,1,0.616167,0.251292,[31  2] ; [147  14],[30.27835052  2.72164948] ; [147.72164948  13.27835052],0
n4,1,0.660343,0.193108,[28  5] ; [142  20],[28.76923077  4.23076923] ; [141.23076923  20.76923077],0
n2,1,0.719831,0.128655,[4 2] ; [28 10],[4.36363636 1.63636364] ; [27.63636364 10.36363636],0
s4,1,0.725866,0.122941,[ 9 24] ; [ 39 121],[ 8.20725389 24.79274611] ; [ 39.79274611 120.20725389],0
s3,1,0.732703,0.116645,[24  8] ; [116  45],[23.21243523  8.78756477] ; [116.78756477  44.21243523],0
r4,1,0.740797,0.109428,[30  3] ; [150  12],[30.46153846  2.53846154] ; [149.53846154  12.46153846],0
p2,1,0.783411,0.075557,[29  4] ; [145  17],[29.44615385  3.55384615] ; [144.55384615  17.44615385],0
b5,1,0.783873,0.075227,[20 13] ; [94 68],[19.29230769 13.70769231] ; [94.70769231 67.29230769],0
b4,1,0.818329,0.05276,[17 16] ; [87 75],[17.6 15.4] ; [86.4 75.6],0
n5,1,0.819458,0.052095,[28  5] ; [134  27],[27.55670103  5.44329897] ; [134.44329897  26.55670103],0
n3,1,0.826783,0.047886,[4 2] ; [27 11],[4.22727273 1.77272727] ; [26.77272727 11.22727273],0
v4,1,0.852529,0.034556,[32  1] ; [158   4],[32.15384615  0.84615385] ; [157.84615385   4.15384615],0
a6,1,0.86233,0.030071,[21 12] ; [105  56],[21.43298969 11.56701031] ; [104.56701031  56.43298969],0
p12,1,0.897413,0.016623,[ 5 28] ; [ 23 138],[ 4.7628866 28.2371134] ; [ 23.2371134 137.7628866],0
r1,1,0.90139,0.015353,[27  6] ; [134  28],[27.24615385  5.75384615] ; [133.75384615  28.24615385],0
s1,1,0.908746,0.013138,[ 2 31] ; [  9 153],[ 1.86153846 31.13846154] ; [  9.13846154 152.86153846],0
a8,1,0.91016,0.012732,[ 5 27] ; [ 24 122],[ 5.21348315 26.78651685] ; [ 23.78651685 122.21348315],0
b2,1,0.951812,0.003652,[10 11] ; [58 62],[10.12765957 10.87234043] ; [57.87234043 62.12765957],0
b3,1,0.951812,0.003652,[10 11] ; [58 62],[10.12765957 10.87234043] ; [57.87234043 62.12765957],0
p11,1,0.97699,0.000832,[26  7] ; [128  34],[26.06153846  6.93846154] ; [127.93846154  34.06153846],0
