Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,4e-06,21.337645,[ 4 62] ; [14 17],[12.24742268 53.75257732] ; [ 5.75257732 25.24742268],1
p3,1,0.862851,0.029841,[16 48] ; [ 8 22],[16.34042553 47.65957447] ; [ 7.65957447 22.34042553],0
a3,1,0.874478,0.024956,[43 22] ; [20 11],[42.65625 22.34375] ; [20.34375 10.65625],0
n4,1,0.882217,0.021951,[33 33] ; [16 15],[33.34020619 32.65979381] ; [15.65979381 15.34020619],0
n3,1,0.886436,0.020396,[13  9] ; [8 5],[13.2  8.8] ; [7.8 5.2],0
p11,1,0.896276,0.016996,[31 35] ; [15 16],[31.29896907 34.70103093] ; [14.70103093 16.29896907],0
r3,1,0.898558,0.016252,[46 20] ; [22  9],[46.26804124 19.73195876] ; [21.73195876  9.26804124],0
r4,1,0.923711,0.00917,[39 27] ; [18 13],[38.78350515 27.21649485] ; [18.21649485 12.78350515],0
a4,1,0.923711,0.00917,[27 39] ; [13 18],[27.21649485 38.78350515] ; [12.78350515 18.21649485],0
r1,1,0.937382,0.006172,[41 25] ; [19 12],[40.82474227 25.17525773] ; [19.17525773 11.82474227],0
p6,1,0.947823,0.004282,[10 52] ; [ 5 25],[10.10869565 51.89130435] ; [ 4.89130435 25.10869565],0
b1,1,0.978417,0.000732,[36 30] ; [17 14],[36.06185567 29.93814433] ; [16.93814433 14.06185567],0
p4,1,0.991499,0.000114,[17 47] ; [ 8 22],[17.0212766 46.9787234] ; [ 7.9787234 22.0212766],0
