Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,1e-06,24.87811,[39  3] ; [10 17],[29.82608696 12.17391304] ; [19.17391304  7.82608696],1
p12,1,0.412678,0.671072,[12 33] ; [10 18],[13.56164384 31.43835616] ; [ 8.43835616 19.56164384],0
p4,1,0.415,0.664431,[40  5] ; [23  5],[38.83561644  6.16438356] ; [24.16438356  3.83561644],0
p1,1,0.417279,0.657967,[13 32] ; [11 18],[14.59459459 30.40540541] ; [ 9.40540541 19.59459459],0
v2,1,0.423764,0.639852,[28 15] ; [15 12],[26.41428571 16.58571429] ; [16.58571429 10.41428571],0
a8,1,0.42698,0.631024,[ 8 33] ; [ 3 22],[ 6.83333333 34.16666667] ; [ 4.16666667 20.83333333],0
p6,1,0.444692,0.584144,[29 14] ; [17 12],[27.47222222 15.52777778] ; [18.52777778 10.47222222],0
p3,1,0.448853,0.573545,[36  9] ; [21  8],[34.66216216 10.33783784] ; [22.33783784  6.66216216],0
n4,1,0.451434,0.56705,[40  5] ; [24  5],[38.91891892  6.08108108] ; [25.08108108  3.91891892],0
u3,1,0.464214,0.535714,[4 3] ; [6 2],[4.66666667 2.33333333] ; [5.33333333 2.66666667],0
d5,1,0.506447,0.441402,[37  8] ; [22  7],[35.87837838  9.12162162] ; [23.12162162  5.87837838],0
r3,1,0.540368,0.374858,[42  3] ; [25  3],[41.30136986  3.69863014] ; [25.69863014  2.30136986],0
s1,1,0.545335,0.365741,[ 5 40] ; [ 2 27],[ 4.25675676 40.74324324] ; [ 2.74324324 26.25675676],0
p8,1,0.571011,0.320995,[38  7] ; [23  6],[37.09459459  7.90540541] ; [23.90540541  5.09459459],0
a2,1,0.599567,0.275649,[10 35] ; [ 8 21],[10.94594595 34.05405405] ; [ 7.05405405 21.94594595],0
d1,1,0.614069,0.254292,[29 16] ; [17 12],[27.97297297 17.02702703] ; [18.02702703 10.97297297],0
b1,1,0.63284,0.228229,[18 27] ; [10 19],[17.02702703 27.97297297] ; [10.97297297 18.02702703],0
n5,1,0.64456,0.212828,[39  6] ; [24  5],[38.31081081  6.68918919] ; [24.68918919  4.31081081],0
v4,1,0.731309,0.117913,[44  1] ; [27  1],[43.76712329  1.23287671] ; [27.23287671  0.76712329],0
d2,1,0.811782,0.056705,[22 23] ; [15 14],[22.5 22.5] ; [14.5 14.5],0
n2,1,0.86952,0.026984,[10  2] ; [4 1],[9.88235294 2.11764706] ; [4.11764706 0.88235294],0
a5,1,0.875766,0.024442,[35 10] ; [23  6],[35.27027027  9.72972973] ; [22.72972973  6.27027027],0
u2,1,0.875996,0.024351,[5 2] ; [6 2],[5.13333333 1.86666667] ; [5.86666667 2.13333333],0
a4,1,0.974178,0.001048,[20 25] ; [13 16],[20.06756757 24.93243243] ; [12.93243243 16.06756757],0
v3,1,0.983098,0.000449,[24 19] ; [15 12],[23.95714286 19.04285714] ; [15.04285714 11.95714286],0
