Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,119.454285,[554  13] ; [80 36],[526.32210835  40.67789165] ; [107.67789165   8.32210835],1
v1,1,0.025295,5.003551,[324 231] ; [52 59],[313.33333333 241.66666667] ; [62.66666667 48.33333333],0
s2,1,0.02685,4.900446,[304 255] ; [50 66],[293.16444444 265.83555556] ; [60.83555556 55.16444444],0
p4,1,0.032191,4.588308,[364 196] ; [62 52],[353.94658754 206.05341246] ; [72.05341246 41.94658754],0
s5,1,0.042184,4.1278,[198 346] ; [28 79],[188.85407066 355.14592934] ; [37.14592934 69.85407066],0
s3,1,0.048027,3.909025,[329 227] ; [56 58],[319.49253731 236.50746269] ; [65.50746269 48.49253731],0
p10,1,0.066773,3.360628,[471  89] ; [87 26],[464.30906389  95.69093611] ; [93.69093611 19.30906389],0
p8,1,0.069286,3.299857,[311 242] ; [53 60],[302.24024024 250.75975976] ; [61.75975976 51.24024024],0
a8,1,0.0942,2.801089,[ 84 422] ; [11 97],[ 78.28990228 427.71009772] ; [16.71009772 91.28990228],0
v3,1,0.101092,2.688229,[246 298] ; [42 72],[238.10334347 305.89665653] ; [49.89665653 64.10334347],0
a1,1,0.157896,1.994259,[ 26 541] ; [  9 107],[ 29.0556369 537.9443631] ; [  5.9443631 110.0556369],0
p3,1,0.176667,1.825441,[307 254] ; [55 60],[300.41715976 260.58284024] ; [61.58284024 53.41715976],0
n3,1,0.183437,1.76956,[72 26] ; [28  5],[74.80916031 23.19083969] ; [25.19083969  7.80916031],0
p12,1,0.234786,1.411628,[ 54 506] ; [  7 107],[ 50.68249258 509.31750742] ; [ 10.31750742 103.68249258],0
u4,1,0.247238,1.338844,[ 15 552] ; [  1 115],[ 13.28257687 553.71742313] ; [  2.71742313 113.28257687],0
p2,1,0.318071,0.996861,[480  82] ; [94 21],[476.49630724  85.50369276] ; [97.50369276 17.49630724],0
b5,1,0.363725,0.82499,[336 231] ; [74 42],[340.36603221 226.63396779] ; [69.63396779 46.36603221],0
n5,1,0.386636,0.749495,[489  76] ; [96 19],[486.06617647  78.93382353] ; [98.93382353 16.06617647],0
p11,1,0.437037,0.604051,[467 100] ; [92 24],[464.06002928 102.93997072] ; [94.93997072 21.06002928],0
n2,1,0.437097,0.603891,[76 25] ; [27  6],[77.63432836 23.36567164] ; [25.36567164  7.63432836],0
p6,1,0.45372,0.561342,[227 330] ; [41 70],[223.46706587 333.53293413] ; [44.53293413 66.46706587],0
s4,1,0.463689,0.536974,[ 81 475] ; [20 96],[ 83.56547619 472.43452381] ; [17.43452381 98.56547619],0
n6,1,0.468833,0.524725,[505  60] ; [101  15],[502.7753304  62.2246696] ; [103.2246696  12.7753304],0
b2,1,0.551895,0.353933,[142 219] ; [26 47],[139.74193548 221.25806452] ; [28.25806452 44.74193548],0
b3,1,0.551895,0.353933,[142 219] ; [26 47],[139.74193548 221.25806452] ; [28.25806452 44.74193548],0
n1,1,0.632547,0.228622,[45 54] ; [13 19],[43.83206107 55.16793893] ; [14.16793893 17.83206107],0
b1,1,0.725006,0.123746,[225 342] ; [44 72],[223.31332357 343.68667643] ; [45.68667643 70.31332357],0
b4,1,0.74155,0.108769,[332 235] ; [66 50],[330.40409956 236.59590044] ; [67.59590044 48.40409956],0
p9,1,0.941192,0.005442,[477  81] ; [98 17],[476.74591382  81.25408618] ; [98.25408618 16.74591382],0
s1,1,0.950182,0.003904,[ 20 536] ; [  4 111],[ 19.88673621 536.11326379] ; [  4.11326379 110.88673621],0
p5,1,0.955267,0.003146,[ 74 485] ; [ 15 100],[ 73.81454006 485.18545994] ; [15.18545994 99.81454006],0
p1,1,0.986045,0.000306,[ 53 509] ; [ 11 105],[ 53.05014749 508.94985251] ; [ 10.94985251 105.05014749],0
u2,1,0.998372,4e-06,[79 61] ; [22 17],[78.99441341 61.00558659] ; [22.00558659 16.99441341],0
