Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,8e-06,19.898704,[ 17 101] ; [18 18],[26.81818182 91.18181818] ; [ 8.18181818 27.81818182],1
n3,1,0.152177,2.050292,[30 21] ; [9 2],[32.08064516 18.91935484] ; [6.91935484 4.08064516],0
a2,1,0.158712,1.986455,[26 94] ; [ 4 32],[23.07692308 96.92307692] ; [ 6.92307692 29.07692308],0
p9,1,0.158826,1.985367,[57 56] ; [23 13],[60.67114094 52.32885906] ; [19.32885906 16.67114094],0
p1,1,0.169099,1.890909,[  8 112] ; [ 5 31],[ 10. 110.] ; [ 3. 33.],0
s4,1,0.196167,1.670685,[22 97] ; [10 25],[24.72727273 94.27272727] ; [ 7.27272727 27.72727273],0
u3,1,0.196375,1.669134,[21 22] ; [9 4],[23.03571429 19.96428571] ; [6.96428571 6.03571429],0
s1,1,0.297582,1.085,[  7 110] ; [ 4 32],[  8.41176471 108.58823529] ; [ 2.58823529 33.41176471],0
r1,1,0.354363,0.857773,[76 43] ; [26 10],[78.30967742 40.69032258] ; [23.69032258 12.30967742],0
u1,1,0.364377,0.822753,[ 16 104] ; [ 7 29],[ 17.69230769 102.30769231] ; [ 5.30769231 30.69230769],0
b5,1,0.370192,0.80302,[70 50] ; [24 12],[72.30769231 47.69230769] ; [21.69230769 14.30769231],0
d3,1,0.385076,0.754434,[66 53] ; [17 19],[63.72258065 55.27741935] ; [19.27741935 16.72258065],0
d1,1,0.396498,0.718922,[57 63] ; [20 16],[59.23076923 60.76923077] ; [17.76923077 18.23076923],0
d5,1,0.427817,0.628744,[81 38] ; [27  9],[82.91612903 36.08387097] ; [25.08387097 10.91612903],0
b4,1,0.440767,0.594286,[68 52] ; [23 13],[70. 50.] ; [21. 15.],0
p12,1,0.460687,0.544225,[  7 112] ; [ 1 35],[  6.14193548 112.85806452] ; [ 1.85806452 34.14193548],0
n1,1,0.499051,0.456954,[23 30] ; [6 5],[24.015625 28.984375] ; [4.984375 6.015625],0
b2,1,0.534924,0.385028,[29 48] ; [12 15],[30.35576923 46.64423077] ; [10.64423077 16.35576923],0
b3,1,0.534924,0.385028,[29 48] ; [12 15],[30.35576923 46.64423077] ; [10.64423077 16.35576923],0
u2,1,0.58696,0.295117,[23 19] ; [6 7],[22.14545455 19.85454545] ; [6.85454545 6.14545455],0
v2,1,0.638031,0.221326,[44 66] ; [16 20],[45.20547945 64.79452055] ; [14.79452055 21.20547945],0
a4,1,0.643756,0.213864,[51 68] ; [17 19],[52.20645161 66.79354839] ; [15.79354839 20.20645161],0
a8,1,0.645581,0.211517,[ 11 106] ; [ 4 29],[ 11.7 105.3] ; [ 3.3 29.7],0
d2,1,0.656019,0.198396,[59 59] ; [19 16],[60.15686275 57.84313725] ; [17.84313725 17.15686275],0
a6,1,0.694605,0.154145,[65 54] ; [21 15],[66.02580645 52.97419355] ; [19.97419355 16.02580645],0
u4,1,0.868172,0.02755,[  4 116] ; [ 1 35],[  3.84615385 116.15384615] ; [ 1.15384615 34.84615385],0
v3,1,0.870186,0.026707,[35 75] ; [11 22],[35.38461538 74.61538462] ; [10.61538462 22.38461538],0
a7,1,0.899278,0.016021,[68 51] ; [21 15],[68.32903226 50.67096774] ; [20.67096774 15.32903226],0
a3,1,0.928471,0.008059,[77 42] ; [23 13],[76.77419355 42.22580645] ; [23.22580645 12.77419355],0
a1,1,0.962585,0.002201,[ 13 107] ; [ 4 32],[ 13.07692308 106.92307692] ; [ 3.92307692 32.07692308],0
d4,1,0.979694,0.000648,[89 30] ; [27  9],[89.05806452 29.94193548] ; [26.94193548  9.05806452],0
