Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.0,26.00886,[66  5] ; [ 7 10],[58.89772727 12.10227273] ; [14.10227273  2.89772727],1
p7,1,0.279758,1.168264,[52 20] ; [10  7],[50.15730337 21.84269663] ; [11.84269663  5.15730337],0
p8,1,0.391846,0.733206,[40 32] ; [7 9],[38.45454545 33.54545455] ; [8.54545455 7.45454545],0
p6,1,0.396379,0.719285,[26 46] ; [ 4 12],[24.54545455 47.45454545] ; [ 5.45454545 10.54545455],0
p3,1,0.399404,0.710121,[42 30] ; [8 9],[40.4494382 31.5505618] ; [9.5505618 7.4494382],0
s6,1,0.413431,0.668914,[45 25] ; [12  4],[46.39534884 23.60465116] ; [10.60465116  5.39534884],0
u3,1,0.430223,0.622222,[10  8] ; [4 6],[9. 9.] ; [5. 5.],0
r4,1,0.461449,0.542377,[64  8] ; [14  3],[63.1011236  8.8988764] ; [14.8988764  2.1011236],0
b5,1,0.468021,0.526646,[27 45] ; [8 9],[28.31460674 43.68539326] ; [ 6.68539326 10.31460674],0
n2,1,0.482016,0.494298,[13  6] ; [2 2],[12.39130435  6.60869565] ; [2.60869565 1.39130435],0
v4,1,0.510401,0.433244,[63  8] ; [16  1],[63.73863636  7.26136364] ; [15.26136364  1.73863636],0
u2,1,0.515759,0.422366,[9 8] ; [4 6],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
s3,1,0.51917,0.415543,[13 58] ; [ 2 15],[12.10227273 58.89772727] ; [ 2.89772727 14.10227273],0
p11,1,0.520731,0.412444,[54 18] ; [14  3],[55.01123596 16.98876404] ; [12.98876404  4.01123596],0
p5,1,0.530039,0.394317,[16 56] ; [ 5 12],[16.98876404 55.01123596] ; [ 4.01123596 12.98876404],0
n1,1,0.534428,0.385965,[10  9] ; [1 2],[9.5 9.5] ; [1.5 1.5],0
s7,1,0.545623,0.365217,[24 45] ; [ 4 11],[23. 46.] ; [ 5. 10.],0
n6,1,0.617569,0.2493,[60 12] ; [15  2],[60.6741573 11.3258427] ; [14.3258427  2.6741573],0
p1,1,0.69312,0.155728,[10 62] ; [ 3 14],[10.51685393 61.48314607] ; [ 2.48314607 14.51685393],0
r1,1,0.69312,0.155728,[62 10] ; [14  3],[61.48314607 10.51685393] ; [14.51685393  2.48314607],0
p9,1,0.714067,0.134249,[57 15] ; [12  4],[56.45454545 15.54545455] ; [12.54545455  3.45454545],0
b4,1,0.779013,0.078739,[45 27] ; [10  7],[44.49438202 27.50561798] ; [10.50561798  6.49438202],0
r2,1,0.815834,0.054245,[64  7] ; [15  2],[63.73863636  7.26136364] ; [15.26136364  1.73863636],0
v3,1,0.81928,0.052199,[23 48] ; [ 6 11],[23.39772727 47.60227273] ; [ 5.60227273 11.39772727],0
n3,1,0.860503,0.030882,[12  5] ; [3 1],[12.14285714  4.85714286] ; [2.85714286 1.14285714],0
a1,1,0.875178,0.024675,[ 5 67] ; [ 1 16],[ 4.85393258 67.14606742] ; [ 1.14606742 15.85393258],0
b1,1,0.887963,0.019848,[31 41] ; [ 7 10],[30.74157303 41.25842697] ; [7.25842697 9.74157303],0
n5,1,0.892749,0.018178,[52 20] ; [12  5],[51.7752809 20.2247191] ; [12.2247191  4.7752809],0
s4,1,0.941457,0.005393,[12 59] ; [ 3 14],[12.10227273 58.89772727] ; [ 2.89772727 14.10227273],0
a6,1,0.970576,0.001361,[42 30] ; [10  7],[42.06741573 29.93258427] ; [9.93258427 7.06741573],0
