Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,9.4e-05,15.249817,[26 83] ; [12  5],[32.87301587 76.12698413] ; [ 5.12698413 11.87301587],1
d3,1,0.255914,1.290729,[61 48] ; [12  5],[63.15079365 45.84920635] ; [9.84920635 7.15079365],0
r2,1,0.275095,1.191164,[89 18] ; [15  1],[90.47154472 16.52845528] ; [13.52845528  2.47154472],0
a7,1,0.304017,1.056492,[62 46] ; [12  5],[63.936 44.064] ; [10.064  6.936],0
p5,1,0.308625,1.036552,[  2 107] ; [ 1 16],[  2.5952381 106.4047619] ; [ 0.4047619 16.5952381],0
a5,1,0.317667,0.998528,[63 46] ; [12  5],[64.88095238 44.11904762] ; [10.11904762  6.88095238],0
n6,1,0.352043,0.866078,[64 45] ; [12  5],[65.74603175 43.25396825] ; [10.25396825  6.74603175],0
u2,1,0.366526,0.815407,[16 24] ; [2 1],[16.74418605 23.25581395] ; [1.25581395 1.74418605],0
s1,1,0.379787,0.771391,[  7 102] ; [ 2 14],[  7.848 101.152] ; [ 1.152 14.848],0
s6,1,0.448444,0.574582,[47 62] ; [9 8],[48.44444444 60.55555556] ; [7.55555556 9.44444444],0
b5,1,0.498099,0.458985,[61 48] ; [11  6],[62.28571429 46.71428571] ; [9.71428571 7.28571429],0
r4,1,0.51351,0.426908,[68 41] ; [12  5],[69.20634921 39.79365079] ; [10.79365079  6.20634921],0
p1,1,0.538195,0.378896,[  8 100] ; [ 2 15],[ 8.64 99.36] ; [ 1.36 15.64],0
u3,1,0.549773,0.357724,[20 21] ; [2 1],[20.5 20.5] ; [1.5 1.5],0
b1,1,0.567426,0.327008,[53 56] ; [ 7 10],[51.9047619 57.0952381] ; [8.0952381 8.9047619],0
v2,1,0.573454,0.316937,[39 68] ; [7 9],[40.01626016 66.98373984] ; [ 5.98373984 10.01626016],0
a1,1,0.582375,0.302411,[11 98] ; [ 1 16],[10.38095238 98.61904762] ; [ 1.61904762 15.38095238],0
u1,1,0.589792,0.29067,[14 95] ; [ 3 14],[14.70634921 94.29365079] ; [ 2.29365079 14.70634921],0
a6,1,0.590528,0.289521,[63 46] ; [11  6],[64.01587302 44.98412698] ; [9.98412698 7.01587302],0
p11,1,0.706634,0.141662,[46 63] ; [8 9],[46.71428571 62.28571429] ; [7.28571429 9.71428571],0
a2,1,0.751192,0.100532,[22 87] ; [ 4 13],[22.49206349 86.50793651] ; [ 3.50793651 13.49206349],0
d5,1,0.788467,0.071986,[80 29] ; [13  4],[80.45238095 28.54761905] ; [12.54761905  4.45238095],0
v1,1,0.799352,0.06461,[37 71] ; [ 6 10],[37.4516129 70.5483871] ; [ 5.5483871 10.4516129],0
v3,1,0.848883,0.036307,[28 75] ; [ 5 12],[28.325 74.675] ; [ 4.675 12.325],0
a8,1,0.870685,0.0265,[11 88] ; [ 2 14],[11.19130435 87.80869565] ; [ 1.80869565 14.19130435],0
s4,1,0.919948,0.0101,[18 90] ; [ 3 14],[18.144 89.856] ; [ 2.856 14.144],0
