Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,4e-06,21.181954,[19 94] ; [11  5],[26.27906977 86.72093023] ; [ 3.72093023 12.27906977],1
d4,1,0.554417,0.349464,[88 28] ; [14  3],[88.96240602 27.03759398] ; [13.03759398  3.96240602],0
p7,1,0.607324,0.26409,[95 19] ; [15  2],[95.72519084 18.27480916] ; [14.27480916  2.72519084],0
s8,1,0.607333,0.264077,[40 75] ; [ 7 10],[40.9469697 74.0530303] ; [ 6.0530303 10.9469697],0
r4,1,0.628463,0.23415,[105  11] ; [16  1],[105.53383459  10.46616541] ; [15.46616541  1.53383459],0
b1,1,0.633264,0.22766,[48 68] ; [ 6 11],[47.09774436 68.90225564] ; [ 6.90225564 10.09774436],0
n5,1,0.652664,0.202558,[87 28] ; [12  5],[86.25 28.75] ; [12.75  4.25],0
d3,1,0.6628,0.19014,[75 40] ; [12  5],[75.79545455 39.20454545] ; [11.20454545  5.79545455],0
a3,1,0.6628,0.19014,[75 40] ; [12  5],[75.79545455 39.20454545] ; [11.20454545  5.79545455],0
p5,1,0.671501,0.179851,[ 16 100] ; [ 3 14],[16.57142857 99.42857143] ; [ 2.42857143 14.57142857],0
p9,1,0.676491,0.174103,[97 18] ; [15  2],[97.57575758 17.42424242] ; [14.42424242  2.57575758],0
a4,1,0.678702,0.17159,[48 67] ; [8 9],[48.78787879 66.21212121] ; [7.21212121 9.78787879],0
d5,1,0.723059,0.12558,[93 23] ; [13  4],[92.45112782 23.54887218] ; [13.54887218  3.45112782],0
u1,1,0.74722,0.103882,[17 99] ; [ 3 14],[17.44360902 98.55639098] ; [ 2.55639098 14.44360902],0
v2,1,0.781289,0.077084,[65 50] ; [9 8],[64.46969697 50.53030303] ; [9.53030303 7.46969697],0
a2,1,0.832325,0.044825,[23 93] ; [ 3 14],[22.67669173 93.32330827] ; [ 3.32330827 13.67669173],0
b2,1,0.86155,0.030416,[32 43] ; [5 6],[32.26744186 42.73255814] ; [4.73255814 6.26744186],0
b3,1,0.86155,0.030416,[32 43] ; [5 6],[32.26744186 42.73255814] ; [4.73255814 6.26744186],0
p12,1,0.862954,0.029796,[  8 106] ; [ 1 16],[  7.83206107 106.16793893] ; [ 1.16793893 15.83206107],0
s7,1,0.868444,0.027435,[40 67] ; [ 6 11],[39.69354839 67.30645161] ; [ 6.30645161 10.69354839],0
v4,1,0.902563,0.014988,[110   6] ; [16  1],[109.89473684   6.10526316] ; [16.10526316  0.89473684],0
r2,1,0.966944,0.001717,[107   7] ; [16  1],[107.03816794   6.96183206] ; [15.96183206  1.03816794],0
s3,1,0.996295,2.2e-05,[27 88] ; [ 4 13],[27.00757576 87.99242424] ; [ 3.99242424 13.00757576],0
