Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,5e-06,21.036009,[ 10 153] ; [15 35],[ 19.1314554 143.8685446] ; [ 5.8685446 44.1314554],1
r4,1,0.250693,1.31944,[154  10] ; [49  1],[155.57009346   8.42990654] ; [47.42990654  2.57009346],0
u3,1,0.259709,1.270306,[21 16] ; [9 3],[22.65306122 14.34693878] ; [7.34693878 4.65306122],0
a6,1,0.271674,1.208274,[104  59] ; [27 22],[100.72169811  62.27830189] ; [30.27830189 18.72169811],0
d5,1,0.286309,1.136897,[140  23] ; [39 10],[137.62735849  25.37264151] ; [41.37264151  7.62735849],0
d2,1,0.316551,1.003142,[87 77] ; [22 27],[83.92488263 80.07511737] ; [25.07511737 23.92488263],0
n1,1,0.346073,0.887803,[16 21] ; [6 4],[17.31914894 19.68085106] ; [4.68085106 5.31914894],0
v1,1,0.34836,0.879424,[101  60] ; [35 15],[103.77251185  57.22748815] ; [32.22748815 17.77251185],0
v4,1,0.385577,0.752846,[158   3] ; [48  2],[157.18483412   3.81516588] ; [48.81516588  1.18483412],0
n6,1,0.408745,0.682449,[144  16] ; [46  3],[145.45454545  14.54545455] ; [44.54545455  4.45454545],0
s3,1,0.426647,0.631934,[115  45] ; [33 17],[112.76190476  47.23809524] ; [35.23809524 14.76190476],0
a5,1,0.482258,0.493754,[134  30] ; [43  7],[135.64485981  28.35514019] ; [41.35514019  8.64485981],0
n2,1,0.505499,0.443373,[30  7] ; [9 1],[30.70212766  6.29787234] ; [8.29787234 1.70212766],0
a7,1,0.533222,0.388247,[107  57] ; [35 15],[108.82242991  55.17757009] ; [33.17757009 16.82242991],0
d4,1,0.538546,0.378241,[142  21] ; [41  8],[140.70283019  22.29716981] ; [42.29716981  6.70283019],0
b4,1,0.608362,0.262567,[95 69] ; [31 19],[96.56074766 67.43925234] ; [29.43925234 20.56074766],0
b2,1,0.613299,0.255398,[43 56] ; [16 17],[44.25 54.75] ; [14.75 18.25],0
b3,1,0.613299,0.255398,[43 56] ; [16 17],[44.25 54.75] ; [14.75 18.25],0
p10,1,0.614192,0.254116,[146  17] ; [46  4],[146.92957746  16.07042254] ; [45.07042254  4.92957746],0
s2,1,0.624237,0.239957,[116  46] ; [34 16],[114.62264151  47.37735849] ; [35.37735849 14.62264151],0
d1,1,0.674778,0.176064,[107  57] ; [31 19],[105.75700935  58.24299065] ; [32.24299065 17.75700935],0
n3,1,0.714955,0.133378,[28  9] ; [7 3],[27.55319149  9.44680851] ; [7.44680851 2.55319149],0
a3,1,0.721542,0.12702,[127  35] ; [38 12],[126.08490566  35.91509434] ; [38.91509434 11.08490566],0
d3,1,0.727617,0.121311,[118  46] ; [34 15],[117.03286385  46.96713615] ; [34.96713615 14.03286385],0
r1,1,0.759046,0.094086,[142  20] ; [43  7],[141.36792453  20.63207547] ; [43.63207547  6.36792453],0
p2,1,0.80299,0.06224,[149  15] ; [46  4],[149.43925234  14.56074766] ; [45.56074766  4.43925234],0
a8,1,0.813005,0.055956,[ 25 128] ; [ 7 40],[ 24.48 128.52] ; [ 7.52 39.48],0
r3,1,0.848455,0.036516,[158   4] ; [49  1],[158.17924528   3.82075472] ; [48.82075472  1.17924528],0
b1,1,0.957896,0.002787,[ 63 101] ; [19 31],[ 62.8411215 101.1588785] ; [19.1588785 30.8411215],0
s6,1,0.988587,0.000205,[141  20] ; [42  6],[140.97129187  20.02870813] ; [42.02870813  5.97129187],0
