Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.314655,[17  5] ; [21 70],[ 7.39823009 14.60176991] ; [30.60176991 60.39823009],1
b5,1,0.284503,1.145452,[16  6] ; [55 36],[13.82300885  8.17699115] ; [57.17699115 33.82300885],0
v3,1,0.311415,1.024666,[ 6 13] ; [19 72],[ 4.31818182 14.68181818] ; [20.68181818 70.31818182],0
r2,1,0.397589,0.715606,[17  4] ; [64 25],[15.46363636  5.53636364] ; [65.53636364 23.46363636],0
a8,1,0.427173,0.630498,[ 1 18] ; [10 78],[ 1.95327103 17.04672897] ; [ 9.04672897 78.95327103],0
b4,1,0.48486,0.487913,[12 10] ; [57 34],[13.43362832  8.56637168] ; [55.56637168 35.43362832],0
s4,1,0.491081,0.474156,[ 5 17] ; [15 76],[ 3.89380531 18.10619469] ; [16.10619469 74.89380531],0
a2,1,0.491459,0.473331,[ 3 19] ; [ 8 83],[ 2.14159292 19.85840708] ; [ 8.85840708 82.14159292],0
a1,1,0.509211,0.435689,[ 1 21] ; [ 8 83],[ 1.75221239 20.24778761] ; [ 7.24778761 83.75221239],0
n6,1,0.51657,0.420735,[17  5] ; [64 27],[15.7699115  6.2300885] ; [65.2300885 25.7699115],0
n5,1,0.542319,0.371259,[16  6] ; [60 31],[14.79646018  7.20353982] ; [61.20353982 29.79646018],0
p12,1,0.545174,0.366033,[ 1 21] ; [ 2 88],[ 0.58928571 21.41071429] ; [ 2.41071429 87.58928571],0
b3,1,0.545891,0.36473,[6 9] ; [23 24],[7.01612903 7.98387097] ; [21.98387097 25.01612903],0
b2,1,0.545891,0.36473,[6 9] ; [23 24],[7.01612903 7.98387097] ; [21.98387097 25.01612903],0
n4,1,0.562835,0.334819,[15  7] ; [56 35],[13.82300885  8.17699115] ; [57.17699115 33.82300885],0
a3,1,0.579212,0.30751,[14  8] ; [52 39],[12.84955752  9.15044248] ; [53.15044248 37.84955752],0
p1,1,0.726917,0.121962,[ 3 19] ; [10 81],[ 2.53097345 19.46902655] ; [10.46902655 80.53097345],0
n3,1,0.733625,0.115809,[5 3] ; [19 15],[4.57142857 3.42857143] ; [19.42857143 14.57142857],0
s1,1,0.744324,0.106363,[ 1 20] ; [ 3 88],[ 0.75 20.25] ; [ 3.25 87.75],0
n2,1,0.78112,0.077206,[5 3] ; [23 11],[5.33333333 2.66666667] ; [22.66666667 11.33333333],0
a7,1,0.825397,0.048668,[12 10] ; [52 39],[12.46017699  9.53982301] ; [51.53982301 39.46017699],0
a6,1,0.889599,0.019269,[11 11] ; [47 44],[11.2920354 10.7079646] ; [46.7079646 44.2920354],0
p5,1,0.893091,0.018062,[ 1 20] ; [ 5 86],[ 1.125 19.875] ; [ 4.875 86.125],0
d3,1,0.963106,0.00214,[11 11] ; [46 45],[11.09734513 10.90265487] ; [45.90265487 45.09734513],0
