Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,30.3197,[ 6 21] ; [50 10],[17.37931034  9.62068966] ; [38.62068966 21.37931034],1
p2,1,0.48294,0.492216,[20  6] ; [50 10],[21.1627907  4.8372093] ; [48.8372093 11.1627907],0
r2,1,0.505445,0.443486,[20  6] ; [49 10],[21.10588235  4.89411765] ; [47.89411765 11.10588235],0
s4,1,0.615048,0.25289,[ 5 22] ; [14 46],[ 5.89655172 21.10344828] ; [13.10344828 46.89655172],0
p12,1,0.682347,0.167496,[ 2 25] ; [ 6 53],[ 2.51162791 24.48837209] ; [ 5.48837209 53.51162791],0
d3,1,0.710963,0.137317,[16 11] ; [33 27],[15.20689655 11.79310345] ; [33.79310345 26.20689655],0
s5,1,0.720305,0.128201,[ 6 20] ; [15 41],[ 6.65853659 19.34146341] ; [14.34146341 41.65853659],0
d5,1,0.736686,0.11306,[17 10] ; [40 20],[17.68965517  9.31034483] ; [39.31034483 20.68965517],0
n1,1,0.740797,0.109428,[3 8] ; [ 5 10],[3.38461538 7.61538462] ; [ 4.61538462 10.38461538],0
a7,1,0.793291,0.068664,[17 10] ; [36 24],[16.44827586 10.55172414] ; [36.55172414 23.44827586],0
s2,1,0.847422,0.037021,[12 15] ; [28 32],[12.4137931 14.5862069] ; [27.5862069 32.4137931],0
a1,1,0.883217,0.021577,[ 2 25] ; [ 5 55],[ 2.17241379 24.82758621] ; [ 4.82758621 55.17241379],0
s1,1,0.899618,0.015912,[ 2 25] ; [ 4 56],[ 1.86206897 25.13793103] ; [ 4.13793103 55.86206897],0
p7,1,0.922409,0.009487,[19  6] ; [45 15],[18.82352941  6.17647059] ; [45.17647059 14.82352941],0
u1,1,0.930203,0.007672,[ 1 26] ; [ 2 58],[ 0.93103448 26.06896552] ; [ 2.06896552 57.93103448],0
d2,1,0.942218,0.005254,[ 7 20] ; [16 44],[ 7.13793103 19.86206897] ; [15.86206897 44.13793103],0
u2,1,0.950927,0.003788,[10  9] ; [15 14],[9.89583333 9.10416667] ; [15.10416667 13.89583333],0
b1,1,1.0,0.0,[ 9 18] ; [20 40],[ 9. 18.] ; [20. 40.],0
