Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,4.4e-05,16.707921,[12 12] ; [13 88],[ 4.8 19.2] ; [20.2 80.8],1
d1,1,0.707339,0.14095,[ 1 23] ; [  3 107],[ 0.71641791 23.28358209] ; [  3.28358209 106.71641791],0
a6,1,0.73528,0.114319,[14 10] ; [60 50],[13.25373134 10.74626866] ; [60.74626866 49.25373134],0
p9,1,0.742188,0.108213,[15  9] ; [70 36],[15.69230769  8.30769231] ; [69.30769231 36.69230769],0
v4,1,0.75509,0.097303,[19  4] ; [92 16],[19.48854962  3.51145038] ; [91.51145038 16.48854962],0
r4,1,0.81657,0.053805,[16  8] ; [76 34],[16.47761194  7.52238806] ; [75.52238806 34.47761194],0
d5,1,0.820007,0.051773,[10 13] ; [45 65],[ 9.5112782 13.4887218] ; [45.4887218 64.5112782],0
r1,1,0.832138,0.044927,[14 10] ; [61 48],[13.53383459 10.46616541] ; [61.46616541 47.53383459],0
n4,1,0.838163,0.041716,[16  8] ; [75 34],[16.42105263  7.57894737] ; [74.57894737 34.42105263],0
u2,1,0.869784,0.026874,[6 9] ; [23 38],[5.72368421 9.27631579] ; [23.27631579 37.72368421],0
p5,1,0.886412,0.020405,[ 2 22] ; [ 8 99],[ 1.83206107 22.16793893] ; [ 8.16793893 98.83206107],0
r2,1,0.896424,0.016947,[20  4] ; [92 17],[20.21052632  3.78947368] ; [91.78947368 17.21052632],0
p11,1,0.909782,0.01284,[16  8] ; [72 38],[15.76119403  8.23880597] ; [72.23880597 37.76119403],0
n2,1,0.931419,0.007406,[7 3] ; [24 11],[6.88888889 3.11111111] ; [24.11111111 10.88888889],0
r3,1,0.959977,0.002518,[19  5] ; [85 23],[18.90909091  5.09090909] ; [85.09090909 22.90909091],0
a5,1,0.962347,0.002229,[11 13] ; [51 59],[11.10447761 12.89552239] ; [50.89552239 59.10447761],0
u3,1,0.962873,0.002167,[6 9] ; [24 37],[5.92105263 9.07894737] ; [24.07894737 36.92105263],0
p8,1,0.988739,0.000199,[10 14] ; [44 62],[ 9.96923077 14.03076923] ; [44.03076923 61.96923077],0
