Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,115.285469,[530  14] ; [82 38],[501.39759036  42.60240964] ; [110.60240964   9.39759036],1
v2,1,0.002365,9.242456,[313 210] ; [51 64],[298.38871473 224.61128527] ; [65.61128527 49.38871473],0
n4,1,0.002456,9.173436,[489  55] ; [96 24],[479.27710843  64.72289157] ; [105.72289157  14.27710843],0
v3,1,0.00408,8.247871,[242 282] ; [37 80],[228.074883 295.925117] ; [50.925117 66.074883],0
s7,1,0.006987,7.276182,[290 228] ; [47 65],[277.08888889 240.91111111] ; [59.91111111 52.08888889],0
v1,1,0.007141,7.237082,[323 210] ; [54 61],[310.0941358 222.9058642] ; [66.9058642 48.0941358],0
p4,1,0.007439,7.163725,[355 183] ; [63 56],[342.2891933 195.7108067] ; [75.7108067 43.2891933],0
a6,1,0.008138,7.002921,[382 158] ; [70 50],[369.81818182 170.18181818] ; [82.18181818 37.81818182],0
s2,1,0.008374,6.951697,[299 237] ; [51 69],[285.97560976 250.02439024] ; [64.02439024 55.97560976],0
a4,1,0.009079,6.807291,[269 271] ; [44 76],[256.09090909 283.90909091] ; [56.90909091 63.09090909],0
s5,1,0.011083,6.451944,[198 328] ; [28 84],[186.32601881 339.67398119] ; [39.67398119 72.32601881],0
n6,1,0.01154,6.380194,[497  45] ; [101  19],[489.60120846  52.39879154] ; [108.39879154  11.60120846],0
p8,1,0.022805,5.183302,[308 222] ; [55 63],[296.89814815 233.10185185] ; [66.10185185 51.89814815],0
s3,1,0.035485,4.421683,[318 215] ; [59 61],[307.71975498 225.28024502] ; [69.28024502 50.71975498],0
a8,1,0.041387,4.160106,[ 80 406] ; [ 10 103],[ 73.02170284 412.97829716] ; [16.97829716 96.02170284],0
p3,1,0.041951,4.137185,[291 248] ; [52 67],[280.96808511 258.03191489] ; [62.03191489 56.96808511],0
p12,1,0.046636,3.958482,[ 54 485] ; [  5 113],[ 48.40334855 490.59665145] ; [ 10.59665145 107.40334855],0
p2,1,0.051437,3.793974,[461  79] ; [93 26],[453.96054628  86.03945372] ; [100.03945372  18.96054628],0
p10,1,0.053162,3.738805,[462  75] ; [94 25],[455.1402439  81.8597561] ; [100.8597561  18.1402439],0
s4,1,0.094247,2.800299,[ 82 451] ; [26 94],[ 88.15313936 444.84686064] ; [ 19.84686064 100.15313936],0
u2,1,0.231715,1.430302,[76 55] ; [22 24],[72.53107345 58.46892655] ; [25.46892655 20.53107345],0
a1,1,0.296521,1.089774,[ 24 520] ; [  8 112],[ 26.21686747 517.78313253] ; [  5.78313253 114.21686747],0
p11,1,0.30341,1.059148,[448  96] ; [94 26],[444.04819277  99.95180723] ; [97.95180723 22.04819277],0
s1,1,0.330512,0.946892,[ 18 514] ; [  2 117],[ 16.34408602 515.65591398] ; [  3.65591398 115.34408602],0
p6,1,0.347593,0.882225,[215 319] ; [42 76],[210.48773006 323.51226994] ; [46.51226994 71.48773006],0
u4,1,0.436479,0.605521,[ 16 528] ; [  2 118],[ 14.74698795 529.25301205] ; [  3.25301205 116.74698795],0
b4,1,0.661844,0.191292,[310 234] ; [71 49],[312.14457831 231.85542169] ; [68.85542169 51.14457831],0
p5,1,0.696127,0.152532,[ 75 462] ; [ 15 104],[ 73.67378049 463.32621951] ; [ 16.32621951 102.67378049],0
n1,1,0.730509,0.118645,[46 58] ; [16 23],[45.09090909 58.90909091] ; [16.90909091 22.09090909],0
b2,1,0.751835,0.099996,[136 201] ; [28 45],[134.8 202.2] ; [29.2 43.8],0
b3,1,0.751835,0.099996,[136 201] ; [28 45],[134.8 202.2] ; [29.2 43.8],0
p1,1,0.796983,0.06618,[ 49 491] ; [ 10 110],[ 48.27272727 491.72727273] ; [ 10.72727273 109.27272727],0
p9,1,0.803091,0.062175,[467  68] ; [102  16],[466.17917305  68.82082695] ; [102.82082695  15.17917305],0
n3,1,0.80811,0.058983,[74 30] ; [30 11],[74.59310345 29.40689655] ; [29.40689655 11.59310345],0
n2,1,0.866874,0.0281,[84 22] ; [33  8],[84.36734694 21.63265306] ; [32.63265306  8.36734694],0
b1,1,0.912951,0.01195,[216 328] ; [47 73],[215.46987952 328.53012048] ; [47.53012048 72.46987952],0
b5,1,0.928955,0.00795,[324 220] ; [72 48],[324.43373494 219.56626506] ; [71.56626506 48.43373494],0
