Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,7e-06,20.283824,[19 24] ; [244  74],[31.32686981 11.67313019] ; [231.67313019  86.32686981],1
u3,1,0.159714,1.976932,[7 6] ; [52 19],[9.13095238 3.86904762] ; [49.86904762 21.13095238],0
n3,1,0.218276,1.51567,[8 5] ; [49 14],[9.75 3.25] ; [47.25 15.75],0
p10,1,0.248046,1.334273,[35  9] ; [285  46],[37.54666667  6.45333333] ; [282.45333333  48.54666667],0
r3,1,0.251024,1.317594,[43  2] ; [325   6],[44.04255319  0.95744681] ; [323.95744681   7.04255319],0
a3,1,0.256341,1.288413,[32 13] ; [261  71],[34.9734748 10.0265252] ; [258.0265252  73.9734748],0
b3,1,0.265519,1.23975,[14 13] ; [ 82 120],[11.31877729 15.68122271] ; [ 84.68122271 117.31877729],0
b2,1,0.265519,1.23975,[14 13] ; [ 82 120],[11.31877729 15.68122271] ; [ 84.68122271 117.31877729],0
a5,1,0.273088,1.201169,[32 13] ; [261  72],[34.88095238 10.11904762] ; [258.11904762  74.88095238],0
a7,1,0.285361,1.141379,[31 14] ; [253  79],[33.89920424 11.10079576] ; [250.10079576  81.89920424],0
v3,1,0.304624,1.053841,[22 19] ; [145 176],[18.91436464 22.08563536] ; [148.08563536 172.91436464],0
n2,1,0.335574,0.927267,[8 4] ; [50 13],[9.28 2.72] ; [48.72 14.28],0
p3,1,0.340614,0.908118,[20 23] ; [180 152],[22.93333333 20.06666667] ; [177.06666667 154.93333333],0
d3,1,0.340983,0.906733,[30 15] ; [243  88],[32.67287234 12.32712766] ; [240.32712766  90.67287234],0
p2,1,0.355268,0.854552,[35  9] ; [282  50],[37.09574468  6.90425532] ; [279.90425532  52.09574468],0
d2,1,0.494941,0.465767,[23 22] ; [187 144],[25.13297872 19.86702128] ; [184.86702128 146.13297872],0
b1,1,0.552843,0.352249,[20 25] ; [133 201],[18.16622691 26.83377309] ; [134.83377309 199.16622691],0
p12,1,0.566348,0.328832,[ 4 40] ; [ 40 292],[ 5.14893617 38.85106383] ; [ 38.85106383 293.14893617],0
u4,1,0.577135,0.31089,[ 1 44] ; [ 13 321],[ 1.66226913 43.33773087] ; [ 12.33773087 321.66226913],0
n4,1,0.585644,0.297199,[38  7] ; [270  63],[36.66666667  8.33333333] ; [271.33333333  61.66666667],0
a1,1,0.588195,0.293172,[ 3 42] ; [ 16 318],[ 2.25593668 42.74406332] ; [ 16.74406332 317.25593668],0
a8,1,0.638584,0.220598,[ 8 35] ; [ 48 256],[ 6.93948127 36.06051873] ; [ 49.06051873 254.93948127],0
n5,1,0.647666,0.208855,[35 10] ; [267  64],[36.14361702  8.85638298] ; [265.85638298  65.14361702],0
p11,1,0.677505,0.172948,[36  9] ; [258  76],[34.90765172 10.09234828] ; [259.09234828  74.90765172],0
p7,1,0.682185,0.167677,[29 15] ; [220  99],[30.18181818 13.81818182] ; [218.81818182 100.18181818],0
r2,1,0.718652,0.129788,[44  1] ; [327   5],[44.28381963  0.71618037] ; [326.71618037   5.28381963],0
s1,1,0.743861,0.106762,[ 3 42] ; [ 18 311],[ 2.52673797 42.47326203] ; [ 18.47326203 310.52673797],0
b4,1,0.74718,0.103916,[25 20] ; [194 140],[26.00263852 18.99736148] ; [192.99736148 141.00263852],0
v2,1,0.772886,0.083291,[27 16] ; [193 126],[26.13259669 16.86740331] ; [193.86740331 125.13259669],0
d4,1,0.816139,0.054062,[39  6] ; [290  40],[39.48  5.52] ; [289.52  40.48],0
u2,1,0.928077,0.008148,[8 5] ; [44 26],[8.14457831 4.85542169] ; [43.85542169 26.14457831],0
n1,1,0.939086,0.00584,[5 7] ; [27 36],[5.12 6.88] ; [26.88 36.12],0
v1,1,0.985837,0.000315,[26 18] ; [191 133],[25.94565217 18.05434783] ; [191.05434783 132.94565217],0
