Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,6e-06,20.641317,[76  5] ; [108  52],[61.84232365 19.15767635] ; [122.15767635  37.84232365],1
p11,1,0.215899,1.531423,[53 28] ; [117  43],[57.13692946 23.86307054] ; [112.86307054  47.13692946],0
p1,1,0.223371,1.482581,[ 8 73] ; [  9 151],[ 5.71369295 75.28630705] ; [ 11.28630705 148.71369295],0
u3,1,0.291971,1.110511,[10  3] ; [35 22],[8.35714286 4.64285714] ; [36.64285714 20.35714286],0
p2,1,0.330445,0.947154,[62 19] ; [113  47],[58.81742739 22.18257261] ; [116.18257261  43.81742739],0
r4,1,0.341652,0.904221,[72  9] ; [135  25],[69.57261411 11.42738589] ; [137.42738589  22.57261411],0
v1,1,0.344323,0.89427,[41 38] ; [68 82],[37.60262009 41.39737991] ; [71.39737991 78.60262009],0
a1,1,0.352049,0.86606,[ 2 79] ; [  8 152],[ 3.36099585 77.63900415] ; [  6.63900415 153.36099585],0
b5,1,0.354952,0.855673,[56 25] ; [101  59],[52.76763485 28.23236515] ; [104.23236515  55.76763485],0
v4,1,0.361039,0.834275,[76  4] ; [145  13],[74.28571429  5.71428571] ; [146.71428571  11.28571429],0
v3,1,0.445819,0.58126,[22 55] ; [50 99],[24.53097345 52.46902655] ; [ 47.46902655 101.53097345],0
p3,1,0.453877,0.560952,[32 49] ; [ 55 104],[29.3625 51.6375] ; [ 57.6375 101.3625],0
p10,1,0.48744,0.482173,[63 17] ; [118  40],[60.84033613 19.15966387] ; [120.15966387  37.84033613],0
a8,1,0.490121,0.476261,[ 8 64] ; [ 22 130],[ 9.64285714 62.35714286] ; [ 20.35714286 131.64285714],0
b4,1,0.527182,0.399821,[52 29] ; [96 64],[49.74273859 31.25726141] ; [98.25726141 61.74273859],0
d3,1,0.563538,0.333615,[55 26] ; [102  57],[52.9875 28.0125] ; [104.0125  54.9875],0
r1,1,0.674563,0.176311,[63 16] ; [123  36],[61.7394958 17.2605042] ; [124.2605042  34.7394958],0
u1,1,0.678767,0.171518,[17 64] ; [ 30 130],[15.7966805 65.2033195] ; [ 31.2033195 128.7966805],0
b2,1,0.695287,0.153421,[19 32] ; [33 64],[17.91891892 33.08108108] ; [34.08108108 62.91891892],0
b3,1,0.695287,0.153421,[19 32] ; [33 64],[17.91891892 33.08108108] ; [34.08108108 62.91891892],0
r3,1,0.69691,0.151707,[76  4] ; [150  10],[75.33333333  4.66666667] ; [150.66666667   9.33333333],0
a6,1,0.699365,0.149133,[56 25] ; [106  53],[54.675 26.325] ; [107.325  51.675],0
b1,1,0.762023,0.091703,[32 49] ; [ 60 100],[30.92116183 50.07883817] ; [61.07883817 98.92116183],0
n5,1,0.784038,0.075109,[57 22] ; [112  47],[56.09663866 22.90336134] ; [112.90336134  46.09663866],0
v2,1,0.825479,0.048622,[37 41] ; [72 75],[37.78666667 40.21333333] ; [71.21333333 75.78666667],0
n3,1,0.880751,0.022505,[19  6] ; [38 11],[19.25675676  5.74324324] ; [37.74324324 11.25675676],0
p7,1,0.887215,0.020116,[39 40] ; [75 80],[38.48717949 40.51282051] ; [75.51282051 79.48717949],0
u2,1,0.939681,0.005726,[7 5] ; [32 24],[6.88235294 5.11764706] ; [32.11764706 23.88235294],0
n4,1,0.956261,0.003008,[58 21] ; [118  42],[58.17573222 20.82426778] ; [117.82426778  42.17573222],0
s1,1,0.971516,0.001275,[ 5 75] ; [ 10 147],[ 5.06329114 74.93670886] ; [  9.93670886 147.06329114],0
a7,1,0.971927,0.001238,[55 26] ; [109  51],[55.12033195 25.87966805] ; [108.87966805  51.12033195],0
u4,1,0.98841,0.000211,[ 2 79] ; [  4 156],[ 2.01659751 78.98340249] ; [  3.98340249 156.01659751],0
