Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,32.59127,[69 30] ; [ 1 22],[56.80327869 42.19672131] ; [13.19672131  9.80327869],1
p4,1,0.407976,0.684692,[46 52] ; [13 10],[47.78512397 50.21487603] ; [11.21487603 11.78512397],0
n1,1,0.425031,0.636364,[12 21] ; [2 7],[11. 22.] ; [3. 6.],0
v2,1,0.430772,0.620742,[50 45] ; [10 13],[48.30508475 46.69491525] ; [11.69491525 11.30508475],0
u2,1,0.446805,0.578743,[13 13] ; [4 7],[11.94594595 14.05405405] ; [5.05405405 5.94594595],0
n6,1,0.453618,0.561595,[73 24] ; [19  4],[74.36666667 22.63333333] ; [17.63333333  5.36666667],0
s3,1,0.469426,0.523326,[52 47] ; [14  9],[53.55737705 45.44262295] ; [12.44262295 10.55737705],0
s6,1,0.504467,0.445527,[68 30] ; [13  8],[66.70588235 31.29411765] ; [14.29411765  6.70588235],0
s1,1,0.506464,0.441366,[ 5 93] ; [ 2 21],[ 5.66942149 92.33057851] ; [ 1.33057851 21.66942149],0
p5,1,0.530265,0.393884,[ 8 90] ; [ 1 22],[ 7.2892562 90.7107438] ; [ 1.7107438 21.2892562],0
a5,1,0.53356,0.387607,[67 32] ; [14  9],[65.7295082 33.2704918] ; [15.2704918  7.7295082],0
r3,1,0.608331,0.262612,[85 13] ; [19  4],[84.23140496 13.76859504] ; [19.76859504  3.23140496],0
n3,1,0.634309,0.226263,[23 10] ; [7 2],[23.57142857  9.42857143] ; [6.42857143 2.57142857],0
v1,1,0.684564,0.165033,[47 52] ; [12 11],[47.87704918 51.12295082] ; [11.12295082 11.87704918],0
p2,1,0.70623,0.142071,[73 25] ; [18  5],[73.70247934 24.29752066] ; [17.29752066  5.70247934],0
s2,1,0.706926,0.141367,[56 43] ; [14  9],[56.80327869 42.19672131] ; [13.19672131  9.80327869],0
s4,1,0.772034,0.083935,[23 76] ; [ 6 17],[23.53278689 75.46721311] ; [ 5.46721311 17.53278689],0
s8,1,0.795708,0.067032,[46 53] ; [10 13],[45.44262295 53.55737705] ; [10.55737705 12.44262295],0
p8,1,0.816534,0.053827,[37 62] ; [ 8 15],[36.51639344 62.48360656] ; [ 8.48360656 14.51639344],0
v3,1,0.860966,0.030676,[36 62] ; [ 8 15],[35.63636364 62.36363636] ; [ 8.36363636 14.63636364],0
p6,1,0.875566,0.024521,[37 62] ; [ 9 14],[37.32786885 61.67213115] ; [ 8.67213115 14.32786885],0
n2,1,0.899628,0.015909,[25  8] ; [7 2],[25.14285714  7.85714286] ; [6.85714286 2.14285714],0
p7,1,0.909371,0.012958,[53 43] ; [13 10],[53.24369748 42.75630252] ; [12.75630252 10.24369748],0
u3,1,0.935518,0.006545,[14 11] ; [6 5],[13.88888889 11.11111111] ; [6.11111111 4.88888889],0
a8,1,0.950762,0.003813,[ 8 80] ; [ 2 19],[ 8.0733945 79.9266055] ; [ 1.9266055 19.0733945],0
b2,1,0.978379,0.000734,[14 32] ; [3 7],[13.96428571 32.03571429] ; [3.03571429 6.96428571],0
b3,1,0.978379,0.000734,[14 32] ; [3 7],[13.96428571 32.03571429] ; [3.03571429 6.96428571],0
a7,1,1.0,0.0,[72 27] ; [16  6],[72. 27.] ; [16.  6.],0
