Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.036198,4.387755,[14  2] ; [19 14],[10.7755102  5.2244898] ; [22.2244898 10.7755102],0
d3,1,0.656192,0.198183,[32  9] ; [70 24],[30.97777778 10.02222222] ; [71.02222222 22.97777778],0
r4,1,0.678428,0.171901,[36  5] ; [80 14],[35.22962963  5.77037037] ; [80.77037037 13.22962963],0
p11,1,0.684312,0.165312,[26 15] ; [63 31],[27.02962963 13.97037037] ; [61.97037037 32.02962963],0
d1,1,0.728909,0.120116,[24 17] ; [52 42],[23.08148148 17.91851852] ; [52.91851852 41.08148148],0
s8,1,0.745081,0.105711,[20 21] ; [43 51],[19.13333333 21.86666667] ; [43.86666667 50.13333333],0
a3,1,0.752156,0.099728,[25 16] ; [60 34],[25.81481481 15.18518519] ; [59.18518519 34.81481481],0
n4,1,0.760498,0.09292,[15 26] ; [37 57],[15.79259259 25.20740741] ; [36.20740741 57.79259259],0
a2,1,0.816139,0.054063,[ 8 33] ; [20 74],[ 8.5037037 32.4962963] ; [19.4962963 74.5037037],0
n6,1,0.820649,0.051397,[26 14] ; [63 31],[26.56716418 13.43283582] ; [62.43283582 31.56716418],0
s4,1,0.82195,0.050642,[11 30] ; [27 67],[11.54074074 29.45925926] ; [26.45925926 67.54074074],0
p7,1,0.831991,0.045007,[22 18] ; [53 40],[22.55639098 17.44360902] ; [52.44360902 40.55639098],0
u3,1,0.83371,0.044077,[10  5] ; [23 10],[10.3125  4.6875] ; [22.6875 10.3125],0
a1,1,0.841417,0.040033,[ 3 38] ; [ 6 88],[ 2.73333333 38.26666667] ; [ 6.26666667 87.73333333],0
v4,1,0.853668,0.034018,[38  3] ; [87  6],[38.24626866  2.75373134] ; [86.75373134  6.24626866],0
s1,1,0.871735,0.026068,[ 2 39] ; [ 4 90],[ 1.82222222 39.17777778] ; [ 4.17777778 89.82222222],0
a7,1,0.90141,0.015346,[31 10] ; [72 22],[31.28148148  9.71851852] ; [71.71851852 22.28148148],0
d2,1,0.933295,0.007006,[18 23] ; [42 52],[18.22222222 22.77777778] ; [41.77777778 52.22222222],0
s5,1,0.961504,0.00233,[17 23] ; [37 51],[16.875 23.125] ; [37.125 50.875],0
d4,1,0.96887,0.001523,[35  6] ; [80 14],[34.92592593  6.07407407] ; [80.07407407 13.92592593],0
s3,1,0.976494,0.000868,[27 14] ; [61 32],[26.92537313 14.07462687] ; [61.07462687 31.92537313],0
