Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.002284,9.306394,[11  4] ; [ 5 17],[6.48648649 8.51351351] ; [ 9.51351351 12.48648649],0
s8,1,0.692108,0.156813,[ 5 10] ; [ 6 16],[ 4.45945946 10.54054054] ; [ 6.54054054 15.45945946],0
n4,1,0.728532,0.120464,[8 7] ; [13  9],[8.51351351 6.48648649] ; [12.48648649  9.51351351],0
a1,1,0.790827,0.070351,[ 1 14] ; [ 2 20],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
s1,1,0.790827,0.070351,[ 1 14] ; [ 2 20],[ 1.21621622 13.78378378] ; [ 1.78378378 20.21621622],0
n5,1,0.822818,0.050141,[9 6] ; [14  8],[9.32432432 5.67567568] ; [13.67567568  8.32432432],0
p2,1,0.84316,0.039146,[12  3] ; [17  5],[11.75675676  3.24324324] ; [17.24324324  4.75675676],0
p6,1,0.849647,0.035936,[ 5 10] ; [ 8 14],[5.27027027 9.72972973] ; [ 7.72972973 14.27027027],0
b5,1,0.942094,0.005276,[8 7] ; [12 10],[8.10810811 6.89189189] ; [11.89189189 10.10810811],0
a5,1,0.955901,0.003058,[9 6] ; [13  9],[8.91891892 6.08108108] ; [13.08108108  8.91891892],0
s7,1,0.962527,0.002207,[4 9] ; [ 6 14],[3.93939394 9.06060606] ; [ 6.06060606 13.93939394],0
