Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.001986,9.562042,[ 2 32] ; [14 25],[ 7.45205479 26.54794521] ; [ 8.54794521 30.45205479],0
s8,1,0.586665,0.295582,[23 11] ; [24 15],[21.89041096 12.10958904] ; [25.10958904 13.89041096],0
d1,1,0.694283,0.154488,[15 19] ; [19 20],[15.83561644 18.16438356] ; [18.16438356 20.83561644],0
d5,1,0.737194,0.112608,[25  9] ; [30  9],[25.61643836  8.38356164] ; [29.38356164  9.61643836],0
b1,1,0.789773,0.071078,[15 19] ; [16 23],[14.43835616 19.56164384] ; [16.56164384 22.43835616],0
r3,1,0.807638,0.059279,[31  3] ; [34  4],[30.69444444  3.30555556] ; [34.30555556  3.69444444],0
p4,1,0.835165,0.043298,[20 14] ; [22 17],[19.56164384 14.43835616] ; [22.43835616 16.56164384],0
b4,1,0.836486,0.042597,[21 13] ; [25 14],[21.42465753 12.57534247] ; [24.57534247 14.42465753],0
p8,1,0.898652,0.016222,[16 17] ; [19 19],[16.26760563 16.73239437] ; [18.73239437 19.26760563],0
u4,1,0.921575,0.009692,[ 1 33] ; [ 1 38],[ 0.93150685 33.06849315] ; [ 1.06849315 37.93150685],0
p11,1,0.929124,0.007911,[23 11] ; [26 13],[22.82191781 11.17808219] ; [26.17808219 12.82191781],0
n5,1,0.936392,0.006369,[14 20] ; [16 22],[14.16666667 19.83333333] ; [15.83333333 22.16666667],0
a8,1,0.939831,0.005698,[ 3 30] ; [ 3 32],[ 2.91176471 30.08823529] ; [ 3.08823529 31.91176471],0
p2,1,0.963608,0.002082,[26  8] ; [30  9],[26.08219178  7.91780822] ; [29.91780822  9.08219178],0
s2,1,0.984179,0.000393,[21 13] ; [24 15],[20.95890411 13.04109589] ; [24.04109589 14.95890411],0
p6,1,0.988821,0.000196,[12 22] ; [13 24],[11.97183099 22.02816901] ; [13.02816901 23.97183099],0
