Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,3e-06,21.937515,[115  36] ; [26 35],[100.42924528  50.57075472] ; [40.57075472 20.42924528],1
s2,1,0.146892,2.104237,[79 73] ; [25 36],[74.21596244 77.78403756] ; [29.78403756 31.21596244],0
a3,1,0.154285,2.029368,[106  45] ; [36 24],[101.62085308  49.37914692] ; [40.37914692 19.62085308],0
b3,1,0.214941,1.537831,[19 53] ; [13 21],[21.73584906 50.26415094] ; [10.26415094 23.73584906],0
b2,1,0.214941,1.537831,[19 53] ; [13 21],[21.73584906 50.26415094] ; [10.26415094 23.73584906],0
n6,1,0.220031,1.504166,[107  45] ; [37 23],[103.24528302  48.75471698] ; [40.75471698 19.24528302],0
d4,1,0.257305,1.283197,[120  32] ; [43 17],[116.86792453  35.13207547] ; [46.13207547 13.86792453],0
s7,1,0.274758,1.192836,[66 75] ; [21 34],[62.58673469 78.41326531] ; [24.41326531 30.58673469],0
n1,1,0.324798,0.969529,[21 31] ; [15 14],[23.11111111 28.88888889] ; [12.88888889 16.11111111],0
u2,1,0.344889,0.892175,[21 23] ; [ 9 16],[19.13043478 24.86956522] ; [10.86956522 14.13043478],0
p6,1,0.348796,0.877832,[ 47 102] ; [15 45],[ 44.20095694 104.79904306] ; [17.79904306 42.20095694],0
u3,1,0.353987,0.859114,[25 20] ; [11 14],[23.14285714 21.85714286] ; [12.85714286 12.14285714],0
d2,1,0.356238,0.851113,[78 74] ; [35 25],[81.01886792 70.98113208] ; [31.98113208 28.01886792],0
b4,1,0.471589,0.518251,[82 71] ; [36 25],[84.36448598 68.63551402] ; [33.63551402 27.36448598],0
s4,1,0.548933,0.359232,[ 33 119] ; [11 50],[ 31.39906103 120.60093897] ; [12.60093897 48.39906103],0
s1,1,0.561102,0.3378,[  9 141] ; [ 5 56],[  9.95260664 140.04739336] ; [ 4.04739336 56.95260664],0
v1,1,0.562951,0.33462,[70 82] ; [25 35],[68.11320755 83.88679245] ; [26.88679245 33.11320755],0
s5,1,0.582051,0.30293,[46 97] ; [21 37],[47.66666667 95.33333333] ; [19.33333333 38.66666667],0
n5,1,0.605632,0.266585,[93 59] ; [39 21],[94.64150943 57.35849057] ; [37.35849057 22.64150943],0
a8,1,0.646982,0.209726,[ 14 120] ; [ 5 55],[ 13.12371134 120.87628866] ; [ 5.87628866 54.12371134],0
p12,1,0.672147,0.179101,[  4 147] ; [ 1 59],[  3.57819905 147.42180095] ; [ 1.42180095 58.57819905],0
s8,1,0.695747,0.152935,[55 97] ; [20 40],[53.77358491 98.22641509] ; [21.22641509 38.77358491],0
v2,1,0.700407,0.148049,[70 76] ; [27 33],[68.74757282 77.25242718] ; [28.25242718 31.74757282],0
p1,1,0.705334,0.142982,[ 15 137] ; [ 5 56],[ 14.27230047 137.72769953] ; [ 5.72769953 55.27230047],0
a4,1,0.720112,0.128385,[70 82] ; [26 34],[68.83018868 83.16981132] ; [27.16981132 32.83018868],0
n4,1,0.733841,0.115614,[95 57] ; [39 21],[96.0754717 55.9245283] ; [37.9245283 22.0754717],0
n3,1,0.774161,0.082333,[37 16] ; [18  9],[36.4375 16.5625] ; [18.5625  8.4375],0
p8,1,0.816307,0.053962,[ 50 100] ; [19 41],[ 49.28571429 100.71428571] ; [19.71428571 40.28571429],0
v3,1,0.819763,0.051916,[50 97] ; [20 36],[50.68965517 96.31034483] ; [19.31034483 36.68965517],0
p4,1,0.82268,0.050221,[68 83] ; [26 34],[67.27014218 83.72985782] ; [26.72985782 33.27014218],0
p5,1,0.874762,0.024842,[ 11 140] ; [ 4 56],[ 10.73459716 140.26540284] ; [ 4.26540284 55.73459716],0
u4,1,0.87545,0.024567,[  3 150] ; [ 1 60],[  2.85981308 150.14018692] ; [ 1.14018692 59.85981308],0
n2,1,0.894186,0.017691,[38 16] ; [20  9],[37.73493976 16.26506024] ; [20.26506024  8.73493976],0
s3,1,0.899165,0.016057,[80 72] ; [31 29],[79.58490566 72.41509434] ; [31.41509434 28.58490566],0
p3,1,0.948194,0.004222,[59 93] ; [23 37],[58.79245283 93.20754717] ; [23.20754717 36.79245283],0
p7,1,0.967258,0.001685,[70 79] ; [28 32],[69.86602871 79.13397129] ; [28.13397129 31.86602871],0
