Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.333333,[14 18] ; [70 10],[24.  8.] ; [60. 20.],1
n3,1,0.306504,1.045679,[7 8] ; [17 10],[8.57142857 6.42857143] ; [15.42857143 11.57142857],0
b1,1,0.309273,1.033777,[16 16] ; [32 49],[13.59292035 18.40707965] ; [34.40707965 46.59292035],0
s1,1,0.309574,1.032494,[ 2 29] ; [ 2 79],[ 1.10714286 29.89285714] ; [ 2.89285714 78.10714286],0
s3,1,0.361235,0.833594,[ 9 22] ; [31 50],[11.07142857 19.92857143] ; [28.92857143 52.07142857],0
d3,1,0.371137,0.799855,[14 18] ; [43 38],[16.14159292 15.85840708] ; [40.85840708 40.14159292],0
a4,1,0.387534,0.746667,[14 18] ; [28 52],[12. 20.] ; [30. 50.],0
a8,1,0.404919,0.693669,[ 2 29] ; [ 9 67],[ 3.18691589 27.81308411] ; [ 7.81308411 68.18691589],0
s5,1,0.450262,0.569991,[ 5 26] ; [17 58],[ 6.43396226 24.56603774] ; [15.56603774 59.43396226],0
p6,1,0.463117,0.538351,[ 4 27] ; [15 65],[ 5.30630631 25.69369369] ; [13.69369369 66.30630631],0
n2,1,0.494525,0.466667,[9 6] ; [19  8],[10.  5.] ; [18.  9.],0
d1,1,0.501044,0.452724,[12 20] ; [36 45],[13.59292035 18.40707965] ; [34.40707965 46.59292035],0
s8,1,0.51657,0.420735,[ 5 27] ; [17 64],[ 6.2300885 25.7699115] ; [15.7699115 65.2300885],0
s7,1,0.525108,0.403848,[ 7 24] ; [22 55],[ 8.32407407 22.67592593] ; [20.67592593 56.32407407],0
v1,1,0.536338,0.38237,[12 19] ; [25 52],[10.62037037 20.37962963] ; [26.37962963 50.62037037],0
a7,1,0.635843,0.22422,[17 15] ; [47 34],[18.12389381 13.87610619] ; [45.87610619 35.12389381],0
u1,1,0.672199,0.17904,[ 2 30] ; [ 7 74],[ 2.54867257 29.45132743] ; [ 6.45132743 74.54867257],0
a5,1,0.678367,0.17197,[16 16] ; [44 37],[16.99115044 15.00884956] ; [43.00884956 37.99115044],0
r2,1,0.690685,0.158345,[22  9] ; [59 20],[22.82727273  8.17272727] ; [58.17272727 20.82727273],0
s4,1,0.854036,0.033845,[ 6 26] ; [14 67],[ 5.66371681 26.33628319] ; [14.33628319 66.66371681],0
u3,1,0.865283,0.028782,[5 8] ; [14 20],[5.25531915 7.74468085] ; [13.74468085 20.25531915],0
a3,1,0.895609,0.017216,[19 13] ; [47 34],[18.69026549 13.30973451] ; [47.30973451 33.69026549],0
v3,1,0.98166,0.000528,[ 7 24] ; [18 61],[ 7.04545455 23.95454545] ; [17.95454545 61.04545455],0
