Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,5.8e-05,16.183244,[40 20] ; [59  3],[48.68852459 11.31147541] ; [50.31147541 11.68852459],1
p1,1,0.345717,0.889118,[ 8 52] ; [ 5 57],[ 6.39344262 53.60655738] ; [ 6.60655738 55.39344262],0
a6,1,0.374993,0.787053,[44 15] ; [41 20],[41.79166667 17.20833333] ; [43.20833333 17.79166667],0
v1,1,0.401651,0.703379,[20 37] ; [26 35],[22.22033898 34.77966102] ; [23.77966102 37.22033898],0
b1,1,0.46883,0.524731,[32 28] ; [29 33],[30. 30.] ; [31. 31.],0
b2,1,0.499484,0.456032,[18 22] ; [17 28],[16.47058824 23.52941176] ; [18.52941176 26.47058824],0
b3,1,0.499484,0.456032,[18 22] ; [17 28],[16.47058824 23.52941176] ; [18.52941176 26.47058824],0
n3,1,0.583152,0.301167,[16 12] ; [13  7],[16.91666667 11.08333333] ; [12.08333333  7.91666667],0
d3,1,0.601794,0.272298,[34 25] ; [38 23],[35.4 23.6] ; [36.6 24.4],0
n6,1,0.604455,0.268329,[40 19] ; [44 17],[41.3 17.7] ; [42.7 18.3],0
d1,1,0.605463,0.266834,[35 25] ; [39 23],[36.39344262 23.60655738] ; [37.60655738 24.39344262],0
n4,1,0.637308,0.222281,[43 17] ; [42 20],[41.80327869 18.19672131] ; [43.19672131 18.80327869],0
b4,1,0.697051,0.151558,[35 25] ; [34 28],[33.93442623 26.06557377] ; [35.06557377 26.93442623],0
s4,1,0.714963,0.13337,[11 48] ; [13 48],[11.8 47.2] ; [12.2 48.8],0
d5,1,0.751223,0.100506,[45 14] ; [48 13],[45.725 13.275] ; [47.275 13.725],0
n2,1,0.777464,0.079877,[21 10] ; [15  6],[21.46153846  9.53846154] ; [14.53846154  6.46153846],0
a8,1,0.890498,0.018954,[ 7 53] ; [ 7 49],[ 7.24137931 52.75862069] ; [ 6.75862069 49.24137931],0
u1,1,0.924914,0.008882,[13 47] ; [13 49],[12.78688525 47.21311475] ; [13.21311475 48.78688525],0
a1,1,0.948013,0.004251,[ 7 53] ; [ 7 55],[ 6.8852459 53.1147541] ; [ 7.1147541 54.8852459],0
u4,1,0.973402,0.001112,[ 2 58] ; [ 2 60],[ 1.96721311 58.03278689] ; [ 2.03278689 59.96721311],0
b5,1,0.985719,0.00032,[33 27] ; [34 28],[32.95081967 27.04918033] ; [34.04918033 27.95081967],0
