Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,2e-06,22.805538,[50  9] ; [ 3 11],[42.83561644 16.16438356] ; [10.16438356  3.83561644],1
s8,1,0.366111,0.816822,[25 35] ; [ 4 10],[23.51351351 36.48648649] ; [5.48648649 8.51351351],0
p9,1,0.416308,0.660714,[45 15] ; [9 5],[43.78378378 16.21621622] ; [10.21621622  3.78378378],0
d3,1,0.501495,0.45177,[40 20] ; [8 6],[38.91891892 21.08108108] ; [9.08108108 4.91891892],0
p8,1,0.517701,0.418472,[31 29] ; [8 5],[32.05479452 27.94520548] ; [6.94520548 6.05479452],0
n1,1,0.55409,0.350041,[7 9] ; [4 3],[7.65217391 8.34782609] ; [3.34782609 3.65217391],0
s4,1,0.556799,0.345276,[ 9 51] ; [ 3 11],[ 9.72972973 50.27027027] ; [ 2.27027027 11.72972973],0
s5,1,0.650649,0.205082,[13 44] ; [ 4 10],[13.64788732 43.35211268] ; [ 3.35211268 10.64788732],0
p11,1,0.677427,0.173036,[42 18] ; [9 5],[41.35135135 18.64864865] ; [9.64864865 4.35135135],0
a4,1,0.682929,0.166847,[25 35] ; [5 9],[24.32432432 35.67567568] ; [5.67567568 8.32432432],0
s2,1,0.688464,0.160754,[26 33] ; [7 7],[26.67123288 32.32876712] ; [6.32876712 7.67123288],0
p6,1,0.740861,0.109371,[21 38] ; [4 9],[20.48611111 38.51388889] ; [4.51388889 8.48611111],0
u2,1,0.770831,0.084848,[16  4] ; [6 2],[15.71428571  4.28571429] ; [6.28571429 1.71428571],0
s1,1,0.77267,0.083454,[ 3 55] ; [ 1 13],[ 3.22222222 54.77777778] ; [ 0.77777778 13.22222222],0
s7,1,0.85272,0.034466,[20 36] ; [5 8],[20.28985507 35.71014493] ; [4.71014493 8.28985507],0
n5,1,0.934588,0.006736,[26 33] ; [6 8],[25.8630137 33.1369863] ; [6.1369863 7.8630137],0
s6,1,0.959795,0.002541,[39 21] ; [9 5],[38.91891892 21.08108108] ; [9.08108108 4.91891892],0
v1,1,0.97371,0.001086,[25 34] ; [6 8],[25.05479452 33.94520548] ; [5.94520548 8.05479452],0
a8,1,0.985861,0.000314,[ 4 49] ; [ 1 12],[ 4.01515152 48.98484848] ; [ 0.98484848 12.01515152],0
