Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,176.14706,[ 34 240] ; [174  78],[108.34980989 165.65019011] ; [ 99.65019011 152.34980989],1
p6,1,0.053576,3.725847,[ 56 214] ; [ 70 180],[ 65.42307692 204.57692308] ; [ 60.57692308 189.42307692],0
n4,1,0.054227,3.705699,[176  97] ; [185  71],[186.30056711  86.69943289] ; [174.69943289  81.30056711],0
p9,1,0.071787,3.241683,[185  83] ; [191  60],[194.15799615  73.84200385] ; [181.84200385  69.15799615],0
s6,1,0.086657,2.935412,[118 152] ; [130 124],[127.78625954 142.21374046] ; [120.21374046 133.78625954],0
s5,1,0.087878,2.912817,[ 47 222] ; [ 59 192],[ 54.83461538 214.16538462] ; [ 51.16538462 199.83461538],0
b1,1,0.093141,2.819231,[114 161] ; [ 88 168],[104.61393597 170.38606403] ; [ 97.38606403 158.61393597],0
v1,1,0.113539,2.504255,[107 162] ; [118 135],[115.94827586 153.05172414] ; [109.05172414 143.94827586],0
v4,1,0.113866,2.499723,[236  35] ; [233  22],[241.63307985  29.36692015] ; [227.36692015  27.63307985],0
s4,1,0.128325,2.312655,[ 51 221] ; [ 35 218],[ 44.55619048 227.44380952] ; [ 41.44380952 211.55619048],0
n2,1,0.131304,2.277018,[59 19] ; [45 25],[54.81081081 23.18918919] ; [49.18918919 20.81081081],0
v3,1,0.137751,2.202902,[ 70 199] ; [ 78 166],[ 77.60623782 191.39376218] ; [ 70.39376218 173.60623782],0
u3,1,0.144832,2.125853,[61 76] ; [34 27],[65.73232323 71.26767677] ; [29.26767677 31.73232323],0
s2,1,0.149274,2.079656,[ 79 193] ; [ 89 166],[ 86.70967742 185.29032258] ; [ 81.29032258 173.70967742],0
a1,1,0.187612,1.736273,[ 15 260] ; [  8 248],[ 11.91148776 263.08851224] ; [ 11.08851224 244.91148776],0
p7,1,0.189416,1.722153,[134 132] ; [142 111],[141.4566474 124.5433526] ; [134.5433526 118.4566474],0
p8,1,0.223222,1.483537,[106 166] ; [111 140],[112.85659656 159.14340344] ; [104.14340344 146.85659656],0
p2,1,0.234246,1.414889,[201  74] ; [197  57],[206.89981096  68.10018904] ; [191.10018904  62.89981096],0
p11,1,0.240916,1.375225,[187  88] ; [186  70],[193.173258  81.826742] ; [179.826742  76.173258],0
p3,1,0.315355,1.008114,[ 96 179] ; [ 99 154],[101.5625 173.4375] ; [ 93.4375 159.5625],0
b2,1,0.340102,0.910047,[ 38 103] ; [45 95],[41.64768683 99.35231317] ; [41.35231317 98.64768683],0
b3,1,0.340102,0.910047,[ 38 103] ; [45 95],[41.64768683 99.35231317] ; [41.35231317 98.64768683],0
u2,1,0.392405,0.731475,[64 73] ; [32 28],[66.76142132 70.23857868] ; [29.23857868 30.76142132],0
b4,1,0.427389,0.629908,[155 120] ; [153 103],[159.51035782 115.48964218] ; [148.48964218 107.51035782],0
s1,1,0.429501,0.624173,[ 12 256] ; [  8 246],[ 10.26819923 257.73180077] ; [  9.73180077 244.26819923],0
b5,1,0.513292,0.42735,[161 114] ; [157  99],[164.68926554 110.31073446] ; [153.31073446 102.68926554],0
n1,1,0.566044,0.329346,[28 50] ; [22 48],[26.35135135 51.64864865] ; [23.64864865 46.35135135],0
n5,1,0.673998,0.17696,[175  94] ; [171  85],[177.28380952  91.71619048] ; [168.71619048  87.28380952],0
n3,1,0.774084,0.08239,[53 24] ; [49 20],[53.79452055 23.20547945] ; [48.20547945 20.79452055],0
p12,1,0.889799,0.019198,[  8 265] ; [  8 247],[  8.27272727 264.72727273] ; [  7.72727273 247.27272727],0
p1,1,0.991603,0.000111,[ 16 257] ; [ 15 240],[ 16.02840909 256.97159091] ; [ 14.97159091 240.02840909],0
s3,1,0.991795,0.000106,[109 160] ; [102 150],[108.94241843 160.05758157] ; [102.05758157 149.94241843],0
a8,1,0.995628,3e-05,[ 27 231] ; [ 24 205],[ 27.01848049 230.98151951] ; [ 23.98151951 205.01848049],0
