Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.000183,13.99373,[17 70] ; [45 54],[29. 58.] ; [33. 66.],1
p2,1,0.245961,1.3461,[71 19] ; [87 15],[74.0625 15.9375] ; [83.9375 18.0625],0
a3,1,0.255633,1.292256,[62 29] ; [77 25],[65.5388601 25.4611399] ; [73.4611399 28.5388601],0
n6,1,0.258884,1.274713,[73 18] ; [88 14],[75.9119171 15.0880829] ; [85.0880829 16.9119171],0
p9,1,0.274625,1.193499,[72 19] ; [86 15],[74.88541667 16.11458333] ; [83.11458333 17.88541667],0
n1,1,0.281614,1.159286,[11 14] ; [ 7 17],[ 9.18367347 15.81632653] ; [ 8.81632653 15.18367347],0
p1,1,0.299217,1.077681,[ 9 82] ; [ 6 96],[ 7.07253886 83.92746114] ; [ 7.92746114 94.07253886],0
n2,1,0.315041,1.009424,[18  7] ; [14 10],[16.32653061  8.67346939] ; [15.67346939  8.32653061],0
b3,1,0.341281,0.905614,[27 36] ; [24 45],[24.34090909 38.65909091] ; [26.65909091 42.34090909],0
b2,1,0.341281,0.905614,[27 36] ; [24 45],[24.34090909 38.65909091] ; [26.65909091 42.34090909],0
n5,1,0.351743,0.867158,[63 28] ; [76 25],[65.88020833 25.11979167] ; [73.11979167 27.88020833],0
a8,1,0.366439,0.815706,[12 69] ; [ 9 79],[10.06508876 70.93491124] ; [10.93491124 77.06508876],0
v4,1,0.373426,0.792231,[86  5] ; [93  9],[84.39896373  6.60103627] ; [94.60103627  7.39896373],0
p11,1,0.404085,0.696136,[61 30] ; [74 28],[63.65284974 27.34715026] ; [71.34715026 30.65284974],0
n4,1,0.418522,0.654461,[68 22] ; [82 20],[70.3125 19.6875] ; [79.6875 22.3125],0
u4,1,0.494927,0.465798,[ 2 89] ; [  1 101],[ 1.41450777 89.58549223] ; [  1.58549223 100.41450777],0
s7,1,0.501428,0.451914,[45 41] ; [55 41],[47.25274725 38.74725275] ; [52.74725275 43.25274725],0
n3,1,0.507801,0.438596,[18  7] ; [20  5],[19.  6.] ; [19.  6.],0
s8,1,0.546173,0.364218,[38 53] ; [47 55],[40.07772021 50.92227979] ; [44.92227979 57.07772021],0
p3,1,0.566239,0.329016,[48 43] ; [58 44],[49.97927461 41.02072539] ; [56.02072539 45.97927461],0
s4,1,0.584043,0.299744,[16 74] ; [15 86],[14.60732984 75.39267016] ; [16.39267016 84.60732984],0
b4,1,0.597248,0.279167,[51 40] ; [61 41],[52.80829016 38.19170984] ; [59.19170984 42.80829016],0
u2,1,0.764334,0.089877,[14 14] ; [13 11],[14.53846154 13.46153846] ; [12.46153846 11.53846154],0
s5,1,0.779829,0.078144,[31 56] ; [33 65],[30.0972973 56.9027027] ; [33.9027027 64.0972973],0
u3,1,0.805415,0.060686,[17 11] ; [16  9],[17.43396226 10.56603774] ; [15.56603774  9.43396226],0
a1,1,0.816707,0.053723,[ 3 88] ; [ 4 98],[ 3.30051813 87.69948187] ; [ 3.69948187 98.30051813],0
p7,1,0.824617,0.049111,[44 46] ; [51 50],[44.76439791 45.23560209] ; [50.23560209 50.76439791],0
p5,1,0.829707,0.046258,[ 7 81] ; [ 9 93],[ 7.41052632 80.58947368] ; [ 8.58947368 93.41052632],0
a4,1,0.863579,0.029522,[47 43] ; [52 50],[46.40625 43.59375] ; [52.59375 49.40625],0
b5,1,0.901329,0.015372,[59 32] ; [67 35],[59.40932642 31.59067358] ; [66.59067358 35.40932642],0
s2,1,0.973018,0.001144,[53 38] ; [58 42],[52.88481675 38.11518325] ; [58.11518325 41.88481675],0
