Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,4e-06,21.449589,[12 29] ; [65 25],[24.09923664 16.90076336] ; [52.90076336 37.09923664],1
u2,1,0.73568,0.11396,[7 6] ; [13 14],[6.5 6.5] ; [13.5 13.5],0
v3,1,0.736404,0.113313,[13 27] ; [26 62],[12.1875 27.8125] ; [26.8125 61.1875],0
a4,1,0.764045,0.090104,[18 23] ; [37 53],[17.21374046 23.78625954] ; [37.78625954 52.21374046],0
s3,1,0.772388,0.083667,[29 11] ; [63 27],[28.30769231 11.69230769] ; [63.69230769 26.30769231],0
b2,1,0.835885,0.042915,[ 5 21] ; [10 37],[ 5.34246575 20.65753425] ; [ 9.65753425 37.34246575],0
b3,1,0.835885,0.042915,[ 5 21] ; [10 37],[ 5.34246575 20.65753425] ; [ 9.65753425 37.34246575],0
a3,1,0.844024,0.03871,[28 13] ; [63 27],[28.48091603 12.51908397] ; [62.51908397 27.48091603],0
v1,1,0.85029,0.035626,[21 20] ; [44 45],[20.5 20.5] ; [44.5 44.5],0
r1,1,0.861417,0.030475,[32  9] ; [69 21],[31.61068702  9.38931298] ; [69.38931298 20.61068702],0
s8,1,0.878652,0.023311,[22 19] ; [47 43],[21.59541985 19.40458015] ; [47.40458015 42.59541985],0
d2,1,0.915176,0.011345,[20 21] ; [43 47],[19.71755725 21.28244275] ; [43.28244275 46.71755725],0
r3,1,0.922823,0.009385,[39  2] ; [85  4],[39.10769231  1.89230769] ; [84.89230769  4.10769231],0
d5,1,0.948245,0.004213,[33  8] ; [72 18],[32.86259542  8.13740458] ; [72.13740458 17.86259542],0
s6,1,0.948884,0.00411,[33  6] ; [74 13],[33.11904762  5.88095238] ; [73.88095238 13.11904762],0
p6,1,0.953174,0.003448,[18 22] ; [41 49],[18.15384615 21.84615385] ; [40.84615385 49.15384615],0
p5,1,0.965465,0.001875,[ 4 37] ; [ 9 81],[ 4.06870229 36.93129771] ; [ 8.93129771 81.06870229],0
n3,1,1.0,0.0,[9 3] ; [15  5],[9. 3.] ; [15.  5.],0
