Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,2.8e-05,17.529561,[23 10] ; [218 425],[11.7647929 21.2352071] ; [229.2352071 413.7647929],1
a6,1,0.299152,1.077968,[26  7] ; [451 190],[23.35459941  9.64540059] ; [453.64540059 187.35459941],0
b5,1,0.312924,1.018294,[17 16] ; [388 255],[19.77071006 13.22928994] ; [385.22928994 257.77071006],0
a5,1,0.323484,0.974808,[23 10] ; [496 147],[25.33579882  7.66420118] ; [493.66420118 149.33579882],0
u1,1,0.324209,0.971891,[ 4 29] ; [122 521],[ 6.15088757 26.84911243] ; [119.84911243 523.15088757],0
s3,1,0.337921,0.918303,[22 11] ; [371 266],[19.35671642 13.64328358] ; [373.64328358 263.35671642],0
s5,1,0.355556,0.85353,[10 23] ; [236 380],[12.50847458 20.49152542] ; [233.49152542 382.50847458],0
a3,1,0.36615,0.816688,[22 11] ; [473 168],[24.23590504  8.76409496] ; [470.76409496 170.23590504],0
d1,1,0.376827,0.781028,[18 15] ; [400 243],[20.40532544 12.59467456] ; [397.59467456 245.40532544],0
a8,1,0.390759,0.736579,[ 6 25] ; [ 81 504],[ 4.37824675 26.62175325] ; [ 82.62175325 502.37824675],0
d4,1,0.404753,0.69416,[26  7] ; [540 101],[27.71216617  5.28783383] ; [538.28783383 102.71216617],0
v2,1,0.426357,0.632725,[17 15] ; [369 244],[19.1503876 12.8496124] ; [366.8496124 246.1503876],0
s8,1,0.446395,0.57979,[14 19] ; [315 325],[16.13224368 16.86775632] ; [312.86775632 327.13224368],0
s2,1,0.462402,0.540074,[16 17] ; [351 287],[18.04918033 14.95081967] ; [348.95081967 289.04918033],0
b4,1,0.478534,0.502202,[21 12] ; [369 274],[19.03846154 13.96153846] ; [370.96153846 272.03846154],0
n4,1,0.490117,0.47627,[28  5] ; [514 129],[26.45857988  6.54142012] ; [515.54142012 127.45857988],0
s7,1,0.511768,0.430451,[18 13] ; [320 295],[16.21981424 14.78018576] ; [321.78018576 293.21981424],0
p1,1,0.53774,0.379745,[ 2 31] ; [ 59 581],[ 2.9910847 30.0089153] ; [ 58.0089153 581.9910847],0
v4,1,0.554585,0.349168,[31  1] ; [632  11],[31.43111111  0.56888889] ; [631.56888889  11.43111111],0
p11,1,0.555709,0.347188,[27  6] ; [550  93],[28.16715976  4.83284024] ; [548.83284024  94.16715976],0
d3,1,0.56746,0.326951,[22 11] ; [457 184],[23.45252226  9.54747774] ; [455.54747774 185.45252226],0
n5,1,0.633758,0.227,[25  8] ; [507 133],[26.08618128  6.91381872] ; [505.91381872 134.08618128],0
r1,1,0.652701,0.202512,[29  4] ; [545  96],[28.10385757  4.89614243] ; [545.89614243  95.10385757],0
u3,1,0.685351,0.164164,[6 5] ; [102  66],[6.63687151 4.36312849] ; [101.36312849  66.63687151],0
d2,1,0.692265,0.156644,[15 18] ; [314 327],[16.10830861 16.89169139] ; [312.89169139 328.10830861],0
u2,1,0.703127,0.145239,[6 5] ; [102  67],[6.6 4.4] ; [101.4  67.6],0
v3,1,0.714421,0.133901,[13 20] ; [263 354],[14.01230769 18.98769231] ; [261.98769231 355.01230769],0
a7,1,0.91,0.012778,[25  8] ; [480 161],[24.72551929  8.27448071] ; [480.27448071 160.72551929],0
p7,1,0.927331,0.008318,[21 10] ; [431 198],[21.23030303  9.76969697] ; [430.76969697 198.23030303],0
