Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,6e-06,20.418262,[85  9] ; [11 11],[77.79310345 16.20689655] ; [18.20689655  3.79310345],1
d4,1,0.29649,1.089916,[74 22] ; [20  3],[75.83193277 20.16806723] ; [18.16806723  4.83193277],0
p5,1,0.296965,1.087775,[17 80] ; [ 2 21],[15.35833333 81.64166667] ; [ 3.64166667 19.35833333],0
s4,1,0.316895,1.001719,[27 68] ; [ 9 14],[28.98305085 66.01694915] ; [ 7.01694915 15.98305085],0
s7,1,0.318777,0.993957,[60 31] ; [12 10],[57.98230088 33.01769912] ; [14.01769912  7.98230088],0
a8,1,0.327033,0.960612,[10 76] ; [ 1 21],[ 8.75925926 77.24074074] ; [ 2.24074074 19.75925926],0
p1,1,0.351092,0.869505,[10 86] ; [ 4 19],[11.29411765 84.70588235] ; [ 2.70588235 20.29411765],0
r2,1,0.372619,0.79491,[92  4] ; [21  2],[91.15966387  4.84033613] ; [21.84033613  1.15966387],0
b4,1,0.386179,0.75094,[58 39] ; [16  7],[59.81666667 37.18333333] ; [14.18333333  8.81666667],0
d5,1,0.434785,0.610007,[75 22] ; [16  7],[73.55833333 23.44166667] ; [17.44166667  5.55833333],0
a6,1,0.450855,0.568501,[63 34] ; [13 10],[61.43333333 35.56666667] ; [14.56666667  8.43333333],0
u1,1,0.531557,0.391415,[18 79] ; [ 3 20],[16.975 80.025] ; [ 4.025 18.975],0
n6,1,0.599737,0.275393,[87  9] ; [20  3],[86.31932773  9.68067227] ; [20.68067227  2.31932773],0
d1,1,0.761877,0.091819,[54 43] ; [12 11],[53.35 43.65] ; [12.65 10.35],0
v3,1,0.778667,0.078993,[29 67] ; [ 7 14],[29.53846154 66.46153846] ; [ 6.46153846 14.53846154],0
a3,1,0.794895,0.067579,[66 31] ; [15  8],[65.475 31.525] ; [15.525  7.475],0
b5,1,0.800944,0.063567,[45 52] ; [10 13],[44.45833333 52.54166667] ; [10.54166667 12.45833333],0
s8,1,0.802798,0.062364,[39 57] ; [10 13],[39.52941176 56.47058824] ; [ 9.47058824 13.52941176],0
r3,1,0.840336,0.040587,[87  7] ; [21  2],[86.76923077  7.23076923] ; [21.23076923  1.76923077],0
a4,1,0.901341,0.015368,[45 52] ; [11 12],[45.26666667 51.73333333] ; [10.73333333 12.26666667],0
b2,1,0.936046,0.006439,[20 35] ; [ 6 11],[19.86111111 35.13888889] ; [ 6.13888889 10.86111111],0
b3,1,0.936046,0.006439,[20 35] ; [ 6 11],[19.86111111 35.13888889] ; [ 6.13888889 10.86111111],0
a5,1,0.975343,0.000955,[72 25] ; [17  6],[71.94166667 25.05833333] ; [17.05833333  5.94166667],0
a2,1,0.992514,8.8e-05,[21 76] ; [ 5 18],[21.01666667 75.98333333] ; [ 4.98333333 18.01666667],0
