Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,3e-06,21.596349,[ 1 28] ; [20 14],[ 9.66666667 19.33333333] ; [11.33333333 22.66666667],1
p7,1,0.185442,1.753463,[10 19] ; [ 6 25],[ 7.73333333 21.26666667] ; [ 8.26666667 22.73333333],0
r1,1,0.214798,1.538793,[10 19] ; [17 17],[12.42857143 16.57142857] ; [14.57142857 19.42857143],0
p10,1,0.233456,1.419677,[ 9 19] ; [16 18],[11.29032258 16.70967742] ; [13.70967742 20.29032258],0
n2,1,0.238259,1.390865,[10  7] ; [ 7 11],[8.25714286 8.74285714] ; [8.74285714 9.25714286],0
v3,1,0.240831,1.375724,[ 4 24] ; [ 9 25],[ 5.87096774 22.12903226] ; [ 7.12903226 26.87096774],0
b1,1,0.29687,1.088199,[15 14] ; [22 12],[17.03174603 11.96825397] ; [19.96825397 14.03174603],0
n3,1,0.324324,0.971429,[8 8] ; [ 6 12],[6.58823529 9.41176471] ; [ 7.41176471 10.58823529],0
s2,1,0.333934,0.933583,[ 6 23] ; [ 4 30],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
p3,1,0.426089,0.633461,[ 7 22] ; [11 22],[ 8.41935484 20.58064516] ; [ 9.58064516 23.41935484],0
b2,1,0.432075,0.617239,[ 8 11] ; [ 7 16],[ 6.78571429 12.21428571] ; [ 8.21428571 14.78571429],0
b3,1,0.432075,0.617239,[ 8 11] ; [ 7 16],[ 6.78571429 12.21428571] ; [ 8.21428571 14.78571429],0
s8,1,0.440594,0.594736,[ 3 25] ; [ 6 28],[ 4.06451613 23.93548387] ; [ 4.93548387 29.06451613],0
b4,1,0.440766,0.594286,[16 13] ; [22 12],[17.49206349 11.50793651] ; [20.50793651 13.49206349],0
s7,1,0.451737,0.56629,[ 4 23] ; [ 7 24],[ 5.12068966 21.87931034] ; [ 5.87931034 25.12068966],0
n5,1,0.512414,0.429133,[21  8] ; [22 12],[19.79365079  9.20634921] ; [23.20634921 10.79365079],0
p1,1,0.535807,0.383367,[ 5 24] ; [ 4 30],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
n6,1,0.599058,0.276419,[13 16] ; [17 16],[14.03225806 14.96774194] ; [15.96774194 17.03225806],0
a1,1,0.676509,0.174082,[ 4 25] ; [ 6 28],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
v1,1,0.681153,0.168831,[ 8 21] ; [11 23],[ 8.74603175 20.25396825] ; [10.25396825 23.74603175],0
s6,1,0.747894,0.103309,[ 8 20] ; [11 23],[ 8.58064516 19.41935484] ; [10.41935484 23.58064516],0
p4,1,0.764003,0.090137,[ 8 21] ; [ 8 25],[ 7.48387097 21.51612903] ; [ 8.51612903 24.48387097],0
r4,1,0.783705,0.075347,[ 5 24] ; [ 5 29],[ 4.6031746 24.3968254] ; [ 5.3968254 28.6031746],0
p9,1,0.809001,0.058426,[11 15] ; [15 18],[11.45762712 14.54237288] ; [14.54237288 18.45762712],0
n4,1,0.828461,0.046949,[18 11] ; [22 12],[18.41269841 10.58730159] ; [21.58730159 12.41269841],0
p8,1,0.82907,0.04661,[ 7 20] ; [ 8 26],[ 6.63934426 20.36065574] ; [ 8.36065574 25.63934426],0
s1,1,0.837551,0.042036,[ 3 26] ; [ 3 31],[ 2.76190476 26.23809524] ; [ 3.23809524 30.76190476],0
s3,1,0.840263,0.040625,[ 8 19] ; [ 9 24],[ 7.65 19.35] ; [ 9.35 23.65],0
n1,1,0.876682,0.02408,[8 9] ; [ 8 10],[7.77142857 9.22857143] ; [8.22857143 9.77142857],0
p11,1,0.888757,0.019566,[ 9 20] ; [10 24],[ 8.74603175 20.25396825] ; [10.25396825 23.74603175],0
p12,1,0.908901,0.013093,[ 1 28] ; [ 1 33],[ 0.92063492 28.07936508] ; [ 1.07936508 32.92063492],0
s4,1,0.917809,0.010649,[ 4 25] ; [ 5 29],[ 4.14285714 24.85714286] ; [ 4.85714286 29.14285714],0
a8,1,0.920745,0.009899,[ 1 26] ; [ 1 30],[ 0.93103448 26.06896552] ; [ 1.06896552 29.93103448],0
s5,1,0.966279,0.001787,[ 5 24] ; [ 6 28],[ 5.06349206 23.93650794] ; [ 5.93650794 28.06349206],0
